           TimeStamp             Session           ChannelID            Polarity           Impedance               Power   DistalTemperature ProximalTemperature                   
             4646612               34407                   0                 UNI              99.750              14.125              54.875               0.000                   
             4646712               34407                   0                 UNI              99.750              14.250              54.875               0.000                   
             4646812               34407                   0                 UNI              99.250              13.875              55.000               0.000                   
             4646912               34407                   0                 UNI              99.250              14.000              55.000               0.000                   
             4647012               34407                   0                 UNI              99.000              14.000              54.875               0.000                   
             4647112               34407                   0                 UNI              99.750              14.375              55.000               0.000                   
             4647212               34407                   0                 UNI              99.750              14.250              54.875               0.000                   
             4647312               34407                   0                 UNI              99.750              13.875              54.875               0.000                   
             4647412               34407                   0                 UNI              99.250              14.000              55.000               0.000                   
             4647512               34407                   0                 UNI              99.750              13.750              55.000               0.000                   
             4647612               34407                   0                 UNI              99.250              14.125              55.000               0.000                   
             4647712               34407                   0                 UNI              99.250              14.375              54.875               0.000                   
             4647812               34407                   0                 UNI              99.250              13.750              54.875               0.000                   
             4647912               34407                   0                 UNI              99.750              14.250              55.000               0.000                   
             4648012               34407                   0                 UNI              99.750              14.125              55.000               0.000                   
             4648112               34407                   0                 UNI              99.250              14.125              55.000               0.000                   
             4648212               34407                   0                 UNI              99.750              13.875              55.000               0.000                   
             4648312               34407                   0                 UNI              99.250              14.125              55.000               0.000                   
             4648412               34407                   0                 UNI              99.750              14.125              55.125               0.000                   
             4648512               34407                   0                 UNI              99.250              13.875              55.000               0.000                   
             4648612               34407                   0                 UNI              99.250              14.000              55.000               0.000                   
             4648711               34407                   0                 UNI              99.000              13.875              55.000               0.000                   
             4648812               34407                   0                 UNI              99.000              13.875              55.000               0.000                   
             4648912               34407                   0                 UNI              99.750              14.375              55.000               0.000                   
             4649011               34407                   0                 UNI              99.750              13.875              55.000               0.000                   
             4649112               34407                   0                 UNI              99.250              14.125              55.125               0.000                   
             4649211               34407                   0                 UNI              99.750              13.750              55.000               0.000                   
             4649311               34407                   0                 UNI              99.000              14.000              55.000               0.000                   
             4649411               34407                   0                 UNI              99.000              14.125              55.125               0.000                   
             4649511               34407                   0                 UNI              99.250              14.250              55.000               0.000                   
             4649611               34407                   0                 UNI              99.000              14.250              55.125               0.000                   
             4649711               34407                   0                 UNI              99.000              13.875              55.000               0.000                   
             4649811               34407                   0                 UNI              99.250              13.625              55.250               0.000                   
             4649911               34407                   0                 UNI              99.750              13.875              55.000               0.000                   
             4650011               34407                   0                 UNI              99.250              14.000              55.000               0.000                   
             4650111               34407                   0                 UNI              99.750              13.500              55.000               0.000                   
             4650211               34407                   0                 UNI              99.250              14.125              55.000               0.000                   
             4650311               34407                   0                 UNI              99.250              14.125              55.000               0.000                   
             4650411               34407                   0                 UNI              99.000              14.125              55.125               0.000                   
             4650511               34407                   0                 UNI              99.750              14.000              55.000               0.000                   
             4650611               34407                   0                 UNI              99.000              14.000              55.250               0.000                   
             4650711               34407                   0                 UNI              99.000              14.000              55.250               0.000                   
             4650811               34407                   0                 UNI              99.750              13.875              55.125               0.000                   
             4650911               34407                   0                 UNI              99.750              13.875              55.000               0.000                   
             4651011               34407                   0                 UNI              99.000              13.875              55.125               0.000                   
             4651111               34407                   0                 UNI              99.000              13.625              55.125               0.000                   
             4651211               34407                   0                 UNI              99.250              13.875              55.250               0.000                   
             4651311               34407                   0                 UNI              99.000              13.875              55.250               0.000                   
             4651411               34407                   0                 UNI              99.750              14.000              55.125               0.000                   
             4651511               34407                   0                 UNI              99.750              13.625              55.125               0.000                   
             4651611               34407                   0                 UNI              99.750              13.750              55.000               0.000                   
             4651711               34407                   0                 UNI              99.250              13.875              55.000               0.000                   
             4651811               34407                   0                 UNI              99.000              13.625              55.000               0.000                   
             4651911               34407                   0                 UNI              99.750              13.750              55.000               0.000                   
             4652011               34407                   0                 UNI              99.000              13.875              55.000               0.000                   
             4652111               34407                   0                 UNI              99.250              14.000              55.125               0.000                   
             4652211               34407                   0                 UNI              99.250              13.750              55.000               0.000                   
             4652311               34407                   0                 UNI              99.250              14.000              55.125               0.000                   
             4652411               34407                   0                 UNI              99.250              13.750              55.125               0.000                   
             4652511               34407                   0                 UNI              99.250              14.125              55.000               0.000                   
             4652611               34407                   0                 UNI              99.250              13.750              55.000               0.000                   
             4652711               34407                   0                 UNI              99.750              13.875              55.000               0.000                   
             4652811               34407                   0                 UNI              99.750              13.500              55.125               0.000                   
             4652911               34407                   0                 UNI              99.000              13.500              55.125               0.000                   
             4653011               34407                   0                 UNI              99.750              13.750              55.125               0.000                   
             4653111               34407                   0                 UNI              99.000              13.375              55.000               0.000                   
             4653211               34407                   0                 UNI              99.250              13.875              55.000               0.000                   
             4653311               34407                   0                 UNI              99.250              13.750              55.000               0.000                   
             4653411               34407                   0                 UNI              99.000              13.750              55.000               0.000                   
             4653511               34407                   0                 UNI              99.250              14.125              55.000               0.000                   
             4653611               34407                   0                 UNI              99.000              14.000              55.000               0.000                   
             4653711               34407                   0                 UNI              99.750              13.625              55.000               0.000                   
             4653811               34407                   0                 UNI              99.250              13.875              55.125               0.000                   
             4653911               34407                   0                 UNI              99.000              13.750              55.000               0.000                   
             4654013               34407                   0                 UNI              99.250              13.875              54.875               0.000                   
             4654113               34407                   0                 UNI              99.250              13.875              55.000               0.000                   
             4654213               34407                   0                 UNI              99.000              13.875              55.000               0.000                   
             4654313               34407                   0                 UNI              99.250              14.125              55.000               0.000                   
             4654413               34407                   0                 UNI              99.250              13.625              55.000               0.000                   
             4654513               34407                   0                 UNI              99.250              13.875              55.125               0.000                   
             4654612               34407                   0                 UNI              99.250              13.500              55.000               0.000                   
             4654712               34407                   0                 UNI              99.000              13.750              54.875               0.000                   
             4654812               34407                   0                 UNI              99.000              14.125              55.000               0.000                   
             4654912               34407                   0                 UNI              99.250              13.625              55.125               0.000                   
             4655012               34407                   0                 UNI              99.250              13.250              55.125               0.000                   
             4655112               34407                   0                 UNI              99.750              14.000              55.000               0.000                   
             4655212               34407                   0                 UNI              99.000              14.000              55.000               0.000                   
             4655312               34407                   0                 UNI              99.250              13.875              55.000               0.000                   
             4655412               34407                   0                 UNI              99.250              13.625              55.000               0.000                   
             4655512               34407                   0                 UNI              98.750              13.750              55.000               0.000                   
             4655612               34407                   0                 UNI              99.250              13.750              55.000               0.000                   
             4655712               34407                   0                 UNI              99.250              13.750              55.000               0.000                   
             4655812               34407                   0                 UNI              99.250              13.750              55.000               0.000                   
             4655912               34407                   0                 UNI              99.750              14.000              55.000               0.000                   
             4656012               34407                   0                 UNI              99.750              13.750              55.000               0.000                   
             4656112               34407                   0                 UNI              99.000              13.875              55.000               0.000                   
             4656212               34407                   0                 UNI              99.000              13.625              55.000               0.000                   
             4656312               34407                   0                 UNI              99.250              13.375              55.125               0.000                   
             4656412               34407                   0                 UNI              99.000              13.875              55.000               0.000                   
             4656512               34407                   0                 UNI              99.250              13.750              55.000               0.000                   
             4656612               34407                   0                 UNI              99.250              13.750              55.000               0.000                   
             4656712               34407                   0                 UNI              99.250              13.625              55.125               0.000                   
             4656812               34407                   0                 UNI              99.250              13.875              55.000               0.000                   
             4656912               34407                   0                 UNI              99.000              14.000              55.000               0.000                   
             4657012               34407                   0                 UNI              99.250              13.625              55.000               0.000                   
             4657112               34407                   0                 UNI              99.000              13.750              55.000               0.000                   
             4657212               34407                   0                 UNI              99.000              14.000              55.125               0.000                   
             4657312               34407                   0                 UNI              99.750              13.875              55.125               0.000                   
             4657412               34407                   0                 UNI              98.750              13.500              55.125               0.000                   
             4657512               34407                   0                 UNI              99.250              13.500              55.000               0.000                   
             4657612               34407                   0                 UNI              99.250              13.625              55.000               0.000                   
             4657712               34407                   0                 UNI              99.250              13.625              55.000               0.000                   
             4657812               34407                   0                 UNI              99.000              13.875              55.000               0.000                   
             4657912               34407                   0                 UNI              99.250              13.875              55.125               0.000                   
             4658012               34407                   0                 UNI              99.250              13.500              55.000               0.000                   
             4658112               34407                   0                 UNI              99.250              13.750              55.125               0.000                   
             4658212               34407                   0                 UNI              99.250              13.375              55.000               0.000                   
             4658312               34407                   0                 UNI              99.250              13.625              55.000               0.000                   
             4667613               34408                   0                 UNI             100.000               9.500              46.250               0.000                   
             4667713               34408                   0                 UNI             100.000               9.750              46.375               0.000                   
             4667813               34408                   0                 UNI             100.000               9.750              46.625               0.000                   
             4667913               34408                   0                 UNI             100.000               9.625              46.875               0.000                   
             4668013               34408                   0                 UNI              99.750               9.625              47.125               0.000                   
             4668113               34408                   0                 UNI             100.000              10.125              47.250               0.000                   
             4668213               34408                   0                 UNI             100.000              10.000              47.375               0.000                   
             4668313               34408                   0                 UNI              99.750              10.250              47.500               0.000                   
             4668413               34408                   0                 UNI              99.750              10.000              47.750               0.000                   
             4668513               34408                   0                 UNI              99.750              10.375              48.000               0.000                   
             4668613               34408                   0                 UNI              99.750              10.125              48.250               0.000                   
             4668713               34408                   0                 UNI              99.750              10.500              48.250               0.000                   
             4668813               34408                   0                 UNI              99.750              10.500              48.375               0.000                   
             4668913               34408                   0                 UNI              99.750              10.625              48.625               0.000                   
             4669013               34408                   0                 UNI              99.750              10.625              48.875               0.000                   
             4669113               34408                   0                 UNI              99.750              10.500              48.750               0.000                   
             4669213               34408                   0                 UNI              99.750              10.875              49.125               0.000                   
             4669313               34408                   0                 UNI              99.750              10.750              49.125               0.000                   
             4669413               34408                   0                 UNI              99.750              11.000              49.250               0.000                   
             4669513               34408                   0                 UNI              99.750              11.125              49.375               0.000                   
             4669613               34408                   0                 UNI              99.750              11.125              49.625               0.000                   
             4669713               34408                   0                 UNI             100.000              11.125              49.625               0.000                   
             4669813               34408                   0                 UNI              99.750              11.125              49.750               0.000                   
             4669913               34408                   0                 UNI              99.750              11.625              50.000               0.000                   
             4670013               34408                   0                 UNI              99.250              11.375              50.125               0.000                   
             4670113               34408                   0                 UNI              99.250              11.375              50.125               0.000                   
             4670213               34408                   0                 UNI              99.250              11.375              50.125               0.000                   
             4670313               34408                   0                 UNI              99.250              11.500              50.375               0.000                   
             4670413               34408                   0                 UNI              99.250              11.500              50.375               0.000                   
             4670513               34408                   0                 UNI              99.250              11.500              50.500               0.000                   
             4670613               34408                   0                 UNI              99.750              11.625              50.625               0.000                   
             4670713               34408                   0                 UNI              99.250              11.875              50.875               0.000                   
             4670813               34408                   0                 UNI              99.750              11.875              50.875               0.000                   
             4670913               34408                   0                 UNI              99.250              11.875              50.875               0.000                   
             4671013               34408                   0                 UNI              99.750              12.125              51.125               0.000                   
             4671113               34408                   0                 UNI              99.250              12.000              51.250               0.000                   
             4671213               34408                   0                 UNI              99.250              11.875              51.250               0.000                   
             4671313               34408                   0                 UNI              99.750              12.250              51.250               0.000                   
             4671413               34408                   0                 UNI              99.250              12.250              51.500               0.000                   
             4671513               34408                   0                 UNI              99.250              12.375              51.625               0.000                   
             4671613               34408                   0                 UNI              99.250              12.000              51.500               0.000                   
             4671713               34408                   0                 UNI              99.250              12.250              51.750               0.000                   
             4671813               34408                   0                 UNI              99.750              12.375              51.750               0.000                   
             4671913               34408                   0                 UNI              99.750              12.250              51.625               0.000                   
             4672013               34408                   0                 UNI              99.250              12.000              51.875               0.000                   
             4672113               34408                   0                 UNI              99.750              12.375              52.000               0.000                   
             4672213               34408                   0                 UNI              99.000              12.500              52.125               0.000                   
             4672312               34408                   0                 UNI              99.250              12.500              52.125               0.000                   
             4672413               34408                   0                 UNI              99.750              12.750              52.125               0.000                   
             4672512               34408                   0                 UNI              99.000              12.500              52.250               0.000                   
             4672613               34408                   0                 UNI              99.750              12.875              52.375               0.000                   
             4672712               34408                   0                 UNI              99.000              12.750              52.250               0.000                   
             4672812               34408                   0                 UNI              99.250              12.750              52.375               0.000                   
             4672912               34408                   0                 UNI              99.250              12.875              52.500               0.000                   
             4673012               34408                   0                 UNI              99.250              12.500              52.500               0.000                   
             4673112               34408                   0                 UNI              99.750              12.750              52.500               0.000                   
             4673212               34408                   0                 UNI              99.750              13.125              52.625               0.000                   
             4673312               34408                   0                 UNI              99.250              12.875              52.625               0.000                   
             4673412               34408                   0                 UNI              99.250              13.000              52.750               0.000                   
             4673512               34408                   0                 UNI              99.750              12.750              52.750               0.000                   
             4673612               34408                   0                 UNI              99.250              13.125              52.875               0.000                   
             4673712               34408                   0                 UNI              99.250              13.125              53.000               0.000                   
             4673812               34408                   0                 UNI              99.000              13.250              53.000               0.000                   
             4673912               34408                   0                 UNI              99.250              13.125              53.000               0.000                   
             4674006               34408                   0                 UNI              99.000              13.000              53.125               0.000                   
             4674106               34408                   0                 UNI              99.000              13.000              53.125               0.000                   
             4674206               34408                   0                 UNI              99.000              13.000              53.125               0.000                   
             4674306               34408                   0                 UNI              99.250              13.000              53.250               0.000                   
             4674406               34408                   0                 UNI              99.000              13.125              53.250               0.000                   
             4674506               34408                   0                 UNI              99.750              13.500              53.375               0.000                   
             4674606               34408                   0                 UNI              99.250              13.125              53.375               0.000                   
             4674706               34408                   0                 UNI              99.000              13.500              53.375               0.000                   
             4674806               34408                   0                 UNI              99.000              13.500              53.500               0.000                   
             4674906               34408                   0                 UNI              99.750              13.125              53.375               0.000                   
             4675006               34408                   0                 UNI              99.250              13.500              53.500               0.000                   
             4675106               34408                   0                 UNI              99.750              13.125              53.500               0.000                   
             4675206               34408                   0                 UNI              99.250              13.375              53.500               0.000                   
             4675306               34408                   0                 UNI              99.750              13.500              53.625               0.000                   
             4675406               34408                   0                 UNI              99.250              13.125              53.625               0.000                   
             4675506               34408                   0                 UNI              99.000              13.375              53.750               0.000                   
             4675606               34408                   0                 UNI              99.000              13.375              53.750               0.000                   
             4675706               34408                   0                 UNI              99.250              12.875              53.750               0.000                   
             4675806               34408                   0                 UNI              99.250              13.750              53.750               0.000                   
             4675906               34408                   0                 UNI              99.250              13.500              53.750               0.000                   
             4676006               34408                   0                 UNI              99.000              13.500              53.750               0.000                   
             4676106               34408                   0                 UNI              99.250              13.375              54.000               0.000                   
             4676206               34408                   0                 UNI              99.250              13.750              54.000               0.000                   
             4676306               34408                   0                 UNI              99.250              13.250              53.875               0.000                   
             4676406               34408                   0                 UNI              99.250              13.250              54.000               0.000                   
             4676506               34408                   0                 UNI              99.000              13.625              53.875               0.000                   
             4676606               34408                   0                 UNI              99.250              13.375              54.000               0.000                   
             4676706               34408                   0                 UNI              99.250              13.625              54.000               0.000                   
             4676806               34408                   0                 UNI              98.750              13.250              54.125               0.000                   
             4676906               34408                   0                 UNI              99.250              13.625              54.125               0.000                   
             4677006               34408                   0                 UNI              99.250              13.375              54.000               0.000                   
             4677106               34408                   0                 UNI              99.000              13.250              54.125               0.000                   
             4677206               34408                   0                 UNI              99.250              13.500              54.250               0.000                   
             4677306               34408                   0                 UNI              98.750              13.750              54.250               0.000                   
             4677406               34408                   0                 UNI              99.000              13.625              54.250               0.000                   
             4677506               34408                   0                 UNI              99.000              13.250              54.250               0.000                   
             4677606               34408                   0                 UNI              98.750              13.750              54.375               0.000                   
             4677705               34408                   0                 UNI              99.000              13.625              54.375               0.000                   
             4677805               34408                   0                 UNI              98.750              13.375              54.375               0.000                   
             4677905               34408                   0                 UNI              98.750              13.625              54.375               0.000                   
             4678005               34408                   0                 UNI              99.250              13.750              54.375               0.000                   
             4678105               34408                   0                 UNI              99.000              13.500              54.500               0.000                   
             4678205               34408                   0                 UNI              99.000              13.375              54.375               0.000                   
             4678305               34408                   0                 UNI              99.250              13.750              54.500               0.000                   
             4678405               34408                   0                 UNI              99.250              13.625              54.500               0.000                   
             4678505               34408                   0                 UNI              99.250              13.375              54.500               0.000                   
             4678605               34408                   0                 UNI              99.250              13.625              54.500               0.000                   
             4678705               34408                   0                 UNI              99.000              13.250              54.625               0.000                   
             4678805               34408                   0                 UNI              99.250              13.500              54.500               0.000                   
             4678905               34408                   0                 UNI              98.750              13.625              54.625               0.000                   
             4679005               34408                   0                 UNI              99.250              13.625              54.625               0.000                   
             4679105               34408                   0                 UNI              98.750              13.375              54.625               0.000                   
             4679205               34408                   0                 UNI              99.000              13.625              54.625               0.000                   
             4679305               34408                   0                 UNI              98.750              13.250              54.750               0.000                   
             4679405               34408                   0                 UNI              99.250              13.375              54.625               0.000                   
             4679505               34408                   0                 UNI              99.250              13.375              54.625               0.000                   
             4679605               34408                   0                 UNI              99.250              13.625              54.750               0.000                   
             4679705               34408                   0                 UNI              99.000              13.500              54.750               0.000                   
             4679805               34408                   0                 UNI              99.000              13.500              54.750               0.000                   
             4679905               34408                   0                 UNI              99.000              13.500              54.750               0.000                   
             4680005               34408                   0                 UNI              98.750              13.375              54.750               0.000                   
             4680105               34408                   0                 UNI              99.000              13.500              54.750               0.000                   
             4680205               34408                   0                 UNI              99.250              13.500              54.750               0.000                   
             4680305               34408                   0                 UNI              99.250              13.500              54.875               0.000                   
             4680405               34408                   0                 UNI              98.750              13.250              54.750               0.000                   
             4680505               34408                   0                 UNI              99.000              13.500              54.750               0.000                   
             4680605               34408                   0                 UNI              99.250              13.250              54.875               0.000                   
