           TimeStamp             Session           ChannelID            Polarity           Impedance               Power   DistalTemperature ProximalTemperature                   
             4207375               34398                   0                 UNI             110.500              24.000              51.625               0.000                   
             4207475               34398                   0                 UNI             110.750              23.750              51.750               0.000                   
             4207575               34398                   0                 UNI             110.750              24.000              52.000               0.000                   
             4207675               34398                   0                 UNI             110.750              24.250              52.000               0.000                   
             4207775               34398                   0                 UNI             110.500              23.500              51.875               0.000                   
             4207875               34398                   0                 UNI             110.750              24.250              52.000               0.000                   
             4207975               34398                   0                 UNI             110.500              24.625              52.000               0.000                   
             4208075               34398                   0                 UNI             110.500              24.250              52.250               0.000                   
             4208175               34398                   0                 UNI             110.500              24.375              52.125               0.000                   
             4208275               34398                   0                 UNI             110.500              24.000              52.125               0.000                   
             4208375               34398                   0                 UNI             110.750              24.125              52.250               0.000                   
             4208475               34398                   0                 UNI             110.250              24.750              52.375               0.000                   
             4208575               34398                   0                 UNI             110.250              25.000              52.375               0.000                   
             4208675               34398                   0                 UNI             110.750              24.625              52.375               0.000                   
             4208775               34398                   0                 UNI             110.750              24.875              52.375               0.000                   
             4208875               34398                   0                 UNI             110.500              24.875              52.500               0.000                   
             4208975               34398                   0                 UNI             110.500              24.250              52.375               0.000                   
             4304560               34399                   0                 UNI             112.500               8.125              34.250               0.000                   
             4304660               34399                   0                 UNI             112.500               9.500              34.500               0.000                   
             4304760               34399                   0                 UNI             112.500               9.875              34.875               0.000                   
             4304860               34399                   0                 UNI             112.250               9.875              35.375               0.000                   
             4304960               34399                   0                 UNI             112.250              10.250              35.750               0.000                   
             4305060               34399                   0                 UNI             111.500              10.250              36.250               0.000                   
             4305160               34399                   0                 UNI             111.750              10.625              36.625               0.000                   
             4305260               34399                   0                 UNI             111.750              11.625              37.125               0.000                   
             4305360               34399                   0                 UNI             111.250              11.750              37.625               0.000                   
             4305460               34399                   0                 UNI             111.500              12.000              38.125               0.000                   
             4305560               34399                   0                 UNI             111.250              11.625              38.625               0.000                   
             4305660               34399                   0                 UNI             111.250              11.875              39.000               0.000                   
             4305760               34399                   0                 UNI             111.250              12.125              39.500               0.000                   
             4305860               34399                   0                 UNI             110.500              12.625              40.000               0.000                   
