              UniqID                   X                   Y                   Z             MaxTime           TotalTime        MaxImpedance      MaxTemperature            MaxPower     MaxAverageForce                   
           510579521              21.500              79.500              10.500               9.150               9.150             109.540              52.000              21.625               2.137                   
           509574520              20.500              74.500               9.500               6.383               6.383             101.393              48.750              23.250               1.308                   
           510577545              45.500              77.500              10.500               0.050               0.050          -10000.000              30.000               0.750              26.555                   
           509578522              22.500              78.500               9.500               9.150               9.150             109.540              52.000              21.625               2.137                   
           511578545              45.500              78.500              11.500               0.050               0.050          -10000.000              30.000               0.750              26.555                   
           509569542              42.500              69.500               9.500              46.450              46.449             141.262              55.250              16.000              20.554                   
           510578522              22.500              78.500              10.500               9.150               9.150             109.540              52.000              21.625               2.137                   
           509579522              22.500              79.500               9.500               9.150               9.150             109.540              52.000              21.625               2.137                   
           508580522              22.500              80.500               8.500               9.150               9.150             109.540              52.000              21.625               2.137                   
           505556516              16.500              56.500               5.500              27.950              27.950             102.286              55.125              17.750               1.914                   
           509580522              22.500              80.500               9.500               9.150               9.150             109.540              52.000              21.625               2.137                   
           510580522              22.500              80.500              10.500               9.150               9.150             109.540              52.000              21.625               2.137                   
           503528507               7.500              28.500               3.500              17.550              17.550              99.212              55.125              12.875               8.126                   
           509578523              23.500              78.500               9.500               9.150               9.150             109.540              52.000              21.625               2.137                   
           502528505               5.500              28.500               2.500              16.850              16.850              99.212              55.125              12.875               8.126                   
           508579523              23.500              79.500               8.500               9.150               9.150             109.540              52.000              21.625               2.137                   
           505559516              16.500              59.500               5.500               0.517               0.517             101.095              54.875              20.375               1.540                   
           509562540              40.500              62.500               9.500              45.000              44.999             128.955              55.250              22.000              17.552                   
           510573522              22.500              73.500              10.500              13.300              13.300             101.393              52.000              30.375               1.523                   
           505560517              17.500              60.500               5.500              28.750              28.750             102.633              54.875              22.750               1.649                   
           503538527              27.500              38.500               3.500              38.317              38.316             101.704              55.250              23.000              14.896                   
           508573521              21.500              73.500               8.500              13.300              13.300             101.393              52.000              30.375               1.523                   
           505561517              17.500              61.500               5.500              25.217              25.216             102.633              54.875              22.750               1.649                   
           503526510              10.500              26.500               3.500               8.050               8.050              98.784              55.500              14.625               7.330                   
           510579523              23.500              79.500              10.500               9.150               9.150             109.540              52.000              21.625               2.137                   
           510572543              43.500              72.500              10.500              26.317              26.316             148.617              55.375              15.750              22.500                   
           505555517              17.500              55.500               5.500              27.950              27.950             102.286              55.125              17.750               1.914                   
           509572522              22.500              72.500               9.500              13.300              13.300             101.393              52.000              30.375               1.523                   
           506557536              36.500              57.500               6.500              45.250              45.249             121.565              55.250              23.000              12.936                   
           502533526              26.500              33.500               2.500              42.550              42.550              99.621              55.125              20.000              18.922                   
           510573520              20.500              73.500              10.500               6.383               6.383             101.393              48.750              23.250               1.308                   
           504544511              11.500              44.500               4.500              28.550              28.550             101.442              55.250              14.250               7.253                   
           509580523              23.500              80.500               9.500               9.150               9.150             109.540              52.000              21.625               2.137                   
           508574542              42.500              74.500               8.500              19.867              19.867             148.330              55.375              15.875              22.502                   
           509572520              20.500              72.500               9.500               6.383               6.383             101.393              48.750              23.250               1.308                   
           503545530              30.500              45.500               3.500              46.150              46.149             105.464              55.250              30.625              11.833                   
           508573520              20.500              73.500               8.500               6.383               6.383             101.393              48.750              23.250               1.308                   
           507568522              22.500              68.500               7.500               7.867               7.867              99.341              52.625              30.500               1.323                   
           506522524              24.500              22.500               6.500              44.950              44.949              99.777              55.000              20.500              22.656                   
           502526507               7.500              26.500               2.500               0.400               0.400              98.885              55.000              12.625               7.418                   
           509573520              20.500              73.500               9.500               6.383               6.383             101.393              48.750              23.250               1.308                   
           510573521              21.500              73.500              10.500              13.300              13.300             101.393              52.000              30.375               1.523                   
           509567543              43.500              67.500               9.500              46.450              46.449             141.262              55.250              16.000              20.554                   
           501532525              25.500              32.500               1.500              42.550              42.550              99.621              55.125              20.000              18.922                   
           509572521              21.500              72.500               9.500              13.300              13.300             101.393              52.000              30.375               1.523                   
           504534508               8.500              34.500               4.500              27.833              27.833              99.792              55.250              14.500               7.506                   
           504527509               9.500              27.500               4.500               0.583               0.583              98.823              55.000              12.625               7.362                   
           505556517              17.500              56.500               5.500              27.950              27.950             102.286              55.125              17.750               1.914                   
           508573522              22.500              73.500               8.500              13.300              13.300             101.393              52.000              30.375               1.523                   
           503528508               8.500              28.500               3.500               0.783               0.783              98.885              55.000              12.625               7.418                   
           508574521              21.500              74.500               8.500               6.383               6.383             101.393              48.750              23.250               1.308                   
           503527511              11.500              27.500               3.500               7.717               7.717              98.735              55.500              14.625               7.281                   
           509574521              21.500              74.500               9.500              13.300              13.300             101.393              52.000              30.375               1.523                   
           509573522              22.500              73.500               9.500              13.300              13.300             101.393              52.000              30.375               1.523                   
           505563518              18.500              63.500               5.500              28.300              28.300             104.250              54.875              21.125               1.449                   
           511578544              44.500              78.500              11.500               0.050               0.050          -10000.000              30.000               0.750              26.555                   
           509574522              22.500              74.500               9.500              13.300              13.300             101.393              52.000              30.375               1.523                   
           504545512              12.500              45.500               4.500              28.550              28.550             101.442              55.250              14.250               7.253                   
           510572522              22.500              72.500              10.500               6.917               6.917             100.987              52.000              30.375               1.523                   
           508574522              22.500              74.500               8.500               6.917               6.917             100.987              52.000              30.375               1.523                   
           509572523              23.500              72.500               9.500               6.917               6.917             100.987              52.000              30.375               1.523                   
           508573523              23.500              73.500               8.500               6.917               6.917             100.987              52.000              30.375               1.523                   
           504555515              15.500              55.500               4.500               8.583               8.583             101.575              55.125              17.750               1.914                   
           508573542              42.500              73.500               8.500              26.317              26.316             148.617              55.375              15.750              22.500                   
           510573523              23.500              73.500              10.500               6.917               6.917             100.987              52.000              30.375               1.523                   
           501533526              26.500              33.500               1.500              42.550              42.550              99.621              55.125              20.000              18.922                   
           509574523              23.500              74.500               9.500               6.917               6.917             100.987              52.000              30.375               1.523                   
