                Time             Session           ChannelID               Force          AxialAngle        LateralAngle  InAccurateSeverity       MetalSeverity         NeedZeroing                   
             4202542               34398                   0               3.004              -3.156               1.561                   0                   0                   0                   
             4202592               34398                   0               2.877              -3.194               1.103                   0                   0                   0                   
             4202642               34398                   0               2.865              -3.160               1.326                   0                   0                   0                   
             4202692               34398                   0               2.696              -3.199               1.556                   0                   0                   0                   
             4202742               34398                   0              -2.311              -3.209               1.812                   0                   0                   0                   
             4202792               34398                   0              -2.134              -3.255               1.693                   0                   0                   0                   
             4202842               34398                   0              -2.383              -3.180               1.782                   0                   0                   0                   
             4202892               34398                   0              -3.184              -3.392               1.993                   0                   0                   0                   
             4202942               34398                   0               3.014              -3.198               1.393                   0                   0                   0                   
             4202992               34398                   0               3.069              -3.197               1.448                   0                   0                   0                   
             4203042               34398                   0              -2.649              -3.235               1.913                   0                   0                   0                   
             4203092               34398                   0              -2.601              -3.021               1.715                   0                   0                   0                   
             4203142               34398                   0               2.608              -3.174               1.434                   0                   0                   0                   
             4203192               34398                   0              -3.480              -3.209               1.967                   0                   0                   0                   
             4203242               34398                   0              -2.852              -3.310               1.951                   0                   0                   0                   
             4203292               34398                   0              -3.253              -3.247               1.758                   0                   0                   0                   
             4203342               34398                   0               2.756              -3.226               1.395                   0                   0                   0                   
             4203392               34398                   0               2.998              -3.207               1.474                   0                   0                   0                   
             4203442               34398                   0               2.797              -3.175               1.248                   0                   0                   0                   
             4203492               34398                   0              -2.705              -3.223               1.798                   0                   0                   0                   
             4203542               34398                   0              -3.470              -3.199               2.152                   0                   0                   0                   
             4203592               34398                   0              -2.594              -3.188               1.676                   0                   0                   0                   
             4203642               34398                   0              -3.046              -3.022               2.171                   0                   0                   0                   
             4203692               34398                   0              -3.113              -3.056               1.647                   0                   0                   0                   
             4203742               34398                   0              -3.141              -3.252               1.618                   0                   0                   0                   
             4203792               34398                   0               2.473              -3.152               1.344                   0                   0                   0                   
             4203842               34398                   0              -2.826              -3.139               1.952                   0                   0                   0                   
             4203892               34398                   0               2.506              -3.177               1.353                   0                   0                   0                   
             4203942               34398                   0              -3.048              -3.383               1.994                   0                   0                   0                   
             4203992               34398                   0              -2.987              -3.097               1.727                   0                   0                   0                   
             4204042               34398                   0               2.800              -3.283               1.275                   0                   0                   0                   
             4204092               34398                   0              -2.634              -3.311               1.974                   0                   0                   0                   
             4204142               34398                   0               2.625              -3.218               1.050                   0                   0                   0                   
             4204192               34398                   0              -2.975              -3.068               2.051                   0                   0                   0                   
             4204242               34398                   0               2.928              -3.237               1.296                   0                   0                   0                   
             4204292               34398                   0               2.558              -3.378               1.390                   0                   0                   0                   
             4204342               34398                   0               3.028              -3.192               1.467                   0                   0                   0                   
             4204392               34398                   0               2.947              -3.184               1.101                   0                   0                   0                   
             4204442               34398                   0               3.207              -3.113               0.991                   0                   0                   0                   
             4204492               34398                   0              -2.895              -3.169               1.603                   0                   0                   0                   
             4204542               34398                   0               3.135              -3.175               1.292                   0                   0                   0                   
             4204592               34398                   0              -2.798              -3.304               2.031                   0                   0                   0                   
             4204642               34398                   0              -2.643              -3.205               1.730                   0                   0                   0                   
             4204692               34398                   0              -3.556              -3.119               2.013                   0                   0                   0                   
             4204742               34398                   0              -3.527              -3.169               2.263                   0                   0                   0                   
             4204792               34398                   0              -2.823              -3.205               1.614                   0                   0                   0                   
             4204842               34398                   0               3.205              -3.114               1.520                   0                   0                   0                   
             4204892               34398                   0               2.569              -3.068               1.567                   0                   0                   0                   
             4204942               34398                   0               2.546              -3.271               1.324                   0                   0                   0                   
             4204992               34398                   0              -3.531              -3.169               2.263                   0                   0                   0                   
             4205042               34398                   0               2.975              -3.075               1.550                   0                   0                   0                   
             4205092               34398                   0               2.747              -3.158               1.451                   0                   0                   0                   
             4205142               34398                   0              -3.151              -3.226               1.995                   0                   0                   0                   
             4205192               34398                   0               2.625              -3.245               1.229                   0                   0                   0                   
             4205242               34398                   0               2.715              -3.221               1.464                   0                   0                   0                   
             4205292               34398                   0              -3.062              -3.290               2.180                   0                   0                   0                   
             4205342               34398                   0               2.647              -3.211               1.422                   0                   0                   0                   
             4205392               34398                   0              -2.363              -3.233               1.953                   0                   0                   0                   
             4205442               34398                   0              -2.628              -3.392               1.732                   0                   0                   0                   
             4205492               34398                   0              -3.590              -3.072               2.345                   0                   0                   0                   
             4205542               34398                   0               2.595              -3.077               1.422                   0                   0                   0                   
             4205592               34398                   0              -2.743              -3.242               1.922                   0                   0                   0                   
             4205642               34398                   0               2.983              -3.110               1.333                   0                   0                   0                   
             4205692               34398                   0              -2.703              -3.163               1.998                   0                   0                   0                   
             4205742               34398                   0              -2.781              -3.101               2.026                   0                   0                   0                   
             4205792               34398                   0              -3.237              -3.157               2.066                   0                   0                   0                   
             4205842               34398                   0               2.118              -3.341               1.534                   0                   0                   0                   
             4205892               34398                   0               3.170              -3.213               1.336                   0                   0                   0                   
             4205942               34398                   0              -2.943              -3.181               1.810                   0                   0                   0                   
             4205992               34398                   0              -2.793              -3.175               2.004                   0                   0                   0                   
             4206042               34398                   0              -2.404              -3.001               1.697                   0                   0                   0                   
             4206092               34398                   0              -2.796              -3.189               1.611                   0                   0                   0                   
             4206142               34398                   0              -2.837              -3.162               1.842                   0                   0                   0                   
             4206192               34398                   0               3.013              -3.087               1.299                   0                   0                   0                   
             4206242               34398                   0               2.915              -3.113               1.498                   0                   0                   0                   
             4206292               34398                   0               2.964              -3.291               1.298                   0                   0                   0                   
             4206342               34398                   0              -2.934              -3.211               1.991                   0                   0                   0                   
             4206392               34398                   0              -3.045              -3.145               1.817                   0                   0                   0                   
             4206442               34398                   0              -3.062              -3.221               2.152                   0                   0                   0                   
             4206492               34398                   0               2.638              -3.148               1.407                   0                   0                   0                   
             4206542               34398                   0              -3.390              -3.111               2.067                   0                   0                   0                   
             4206592               34398                   0              -2.642              -3.252               1.890                   0                   0                   0                   
             4206642               34398                   0               2.933              -2.922               1.193                   0                   0                   0                   
             4206692               34398                   0               2.573              -3.002               1.530                   0                   0                   0                   
             4206742               34398                   0               2.928              -3.202               1.554                   0                   0                   0                   
             4206792               34398                   0              -2.504              -3.053               1.798                   0                   0                   0                   
             4206842               34398                   0               2.311              -3.174               1.319                   0                   0                   0                   
             4206892               34398                   0              -3.376              -3.039               2.174                   0                   0                   0                   
             4206942               34398                   0              -2.638              -3.107               2.065                   0                   0                   0                   
             4206992               34398                   0              -2.662              -3.307               1.915                   0                   0                   0                   
             4207042               34398                   0              -2.702              -3.222               2.267                   0                   0                   0                   
             4207092               34398                   0              -2.907              -3.125               1.943                   0                   0                   0                   
             4207142               34398                   0               3.073              -3.078               1.421                   0                   0                   0                   
             4207192               34398                   0              -2.511              -3.278               1.800                   0                   0                   0                   
             4207242               34398                   0              -2.526              -3.159               1.813                   0                   0                   0                   
             4207292               34398                   0               2.911              -3.257               1.131                   0                   0                   0                   
             4207342               34398                   0              -2.517              -3.209               2.106                   0                   0                   0                   
             4207392               34398                   0              -2.474              -3.172               1.845                   0                   0                   0                   
             4207442               34398                   0              -2.254              -3.118               1.889                   0                   0                   0                   
             4207492               34398                   0              -2.455              -3.039               1.925                   0                   0                   0                   
             4207542               34398                   0              -3.470              -3.059               2.267                   0                   0                   0                   
             4207592               34398                   0              -2.751              -3.083               1.575                   0                   0                   0                   
             4207642               34398                   0               2.955              -3.124               1.301                   0                   0                   0                   
             4207692               34398                   0               2.899              -3.089               1.162                   0                   0                   0                   
             4207742               34398                   0              -3.041              -3.281               2.247                   0                   0                   0                   
             4207792               34398                   0              -2.408              -3.139               1.712                   0                   0                   0                   
             4207842               34398                   0              -2.408              -3.077               1.689                   0                   0                   0                   
             4207892               34398                   0               2.302              -3.217               1.515                   0                   0                   0                   
             4207942               34398                   0              -2.973              -3.050               1.712                   0                   0                   0                   
             4207992               34398                   0              -2.936              -3.049               1.696                   0                   0                   0                   
             4208042               34398                   0              -2.501              -3.127               1.666                   0                   0                   0                   
             4208092               34398                   0              -2.946              -2.996               1.632                   0                   0                   0                   
             4208142               34398                   0              -2.712              -3.036               1.905                   0                   0                   0                   
             4208192               34398                   0               2.762              -3.134               1.542                   0                   0                   0                   
             4208242               34398                   0              -2.653              -3.099               1.677                   0                   0                   0                   
             4208292               34398                   0              -2.900              -3.096               2.110                   0                   0                   0                   
             4208342               34398                   0              -2.795              -3.100               1.686                   0                   0                   0                   
             4208392               34398                   0              -2.721              -3.309               1.629                   0                   0                   0                   
             4208442               34398                   0               2.513              -3.321               1.391                   0                   0                   0                   
             4208492               34398                   0              -3.138              -3.048               1.742                   0                   0                   0                   
             4208542               34398                   0              -3.477              -3.340               1.941                   0                   0                   0                   
             4208592               34398                   0              -3.217              -3.171               2.042                   0                   0                   0                   
             4208642               34398                   0              -2.876              -3.263               2.013                   0                   0                   0                   
             4208692               34398                   0              -2.768              -3.218               2.015                   0                   0                   0                   
             4208742               34398                   0              -3.161              -3.229               2.150                   0                   0                   0                   
             4208792               34398                   0              -2.826              -3.115               1.959                   0                   0                   0                   
             4208842               34398                   0              -2.826              -3.115               1.959                   0                   0                   0                   
             4304542               34399                   0               2.332              -2.899               0.707                   0                   0                   0                   
             4304592               34399                   0               1.535              -3.140               1.489                   0                   0                   0                   
             4304642               34399                   0               2.232              -3.225               0.908                   0                   0                   0                   
             4304692               34399                   0               1.845              -2.908               1.305                   0                   0                   0                   
             4304742               34399                   0               2.037              -2.973               0.991                   0                   0                   0                   
             4304792               34399                   0               1.491              -3.048               1.084                   0                   0                   0                   
             4304842               34399                   0               2.069              -2.821               0.718                   0                   0                   0                   
