                Time             Session           ChannelID               Force          AxialAngle        LateralAngle  InAccurateSeverity       MetalSeverity         NeedZeroing                   
             4413492               34401                   0               0.882              -3.442               0.984                   0                   0                   0                   
             4413542               34401                   0              -1.053              -3.667               1.669                   0                   0                   0                   
             4413592               34401                   0              -0.962              -4.201               2.063                   0                   0                   0                   
             4413642               34401                   0               1.458              -4.226               0.680                   0                   0                   0                   
             4413692               34401                   0               1.000              -3.978               1.013                   0                   0                   0                   
             4413742               34401                   0               1.475              -3.426               0.700                   0                   0                   0                   
             4413792               34401                   0              -1.194              -3.531               2.577                   0                   0                   0                   
             4413842               34401                   0               1.351              -4.057               1.186                   0                   0                   0                   
             4413892               34401                   0              -0.810               1.564               2.203                   0                   0                   0                   
             4413942               34401                   0              -1.371              -4.038               2.198                   0                   0                   0                   
             4413992               34401                   0              -0.624              -3.900               1.767                   0                   0                   0                   
             4414042               34401                   0               1.031              -3.227               0.753                   0                   0                   0                   
             4414092               34401                   0               0.875              -3.946               1.490                   0                   0                   0                   
             4414142               34401                   0               2.318              -3.200               0.592                   0                   0                   0                   
             4414192               34401                   0              -1.541              -3.591               2.069                   0                   0                   0                   
             4414242               34401                   0               0.616              -4.413               0.925                   0                   0                   0                   
             4414292               34401                   0              -0.985              -3.332               2.628                   0                   0                   0                   
             4414342               34401                   0               0.498              -3.544               0.460                   0                   0                   0                   
             4414392               34401                   0              -1.302              -3.881               1.977                   0                   0                   0                   
             4414442               34401                   0              -0.752              -4.058               1.719                   0                   0                   0                   
             4414492               34401                   0              -1.042              -3.153               1.723                   0                   0                   0                   
             4414542               34401                   0              -0.661              -3.591               2.072                   0                   0                   0                   
             4414592               34401                   0               1.270              -3.986               1.531                   0                   0                   0                   
             4414642               34401                   0              -1.488              -3.656               2.549                   0                   0                   0                   
             4414692               34401                   0              -1.111              -4.091               2.072                   0                   0                   0                   
             4414742               34401                   0               1.146              -3.422               0.770                   0                   0                   0                   
             4414792               34401                   0              -1.025              -3.815               2.236                   0                   0                   0                   
             4414842               34401                   0              -0.637              -3.867               1.612                   0                   0                   0                   
             4414892               34401                   0              -0.693              -3.657               2.105                   0                   0                   0                   
             4414942               34401                   0               0.440              -3.930               0.321                   0                   0                   0                   
             4414992               34401                   0               0.570              -2.699               1.464                   0                   0                   0                   
             4415042               34401                   0               1.474              -4.049               0.690                   0                   0                   0                   
             4415092               34401                   0              -1.290              -3.760               1.953                   0                   0                   0                   
             4415142               34401                   0              -0.831              -3.162               2.313                   0                   0                   0                   
             4415192               34401                   0              -0.827              -4.080               2.164                   0                   0                   0                   
             4415242               34401                   0              -1.322              -3.293               2.573                   0                   0                   0                   
             4415292               34401                   0              -0.799              -3.640               1.580                   0                   0                   0                   
             4415342               34401                   0               1.201              -3.970               0.290                   0                   0                   0                   
             4415392               34401                   0               1.347              -3.884               0.607                   0                   0                   0                   
             4415442               34401                   0              -1.356              -3.526               2.528                   0                   0                   0                   
             4415492               34401                   0              -0.775              -3.453               1.827                   0                   0                   0                   
             4415542               34401                   0              -1.492              -3.422               2.675                   0                   0                   0                   
             4415592               34401                   0               0.924              -4.033               1.095                   0                   0                   0                   
             4415642               34401                   0              -1.165              -3.675               1.997                   0                   0                   0                   
             4415692               34401                   0              -0.939              -4.456               2.311                   0                   0                   0                   
             4415742               34401                   0              -1.117              -3.272               2.504                   0                   0                   0                   
             4415792               34401                   0              -1.128              -3.979               2.561                   0                   0                   0                   
             4415842               34401                   0              -0.218               0.562               2.815                   0                   0                   0                   
             4415892               34401                   0               0.923              -3.867               1.529                   0                   0                   0                   
             4415942               34401                   0              -0.837              -4.005               2.008                   0                   0                   0                   
             4415992               34401                   0              -1.271              -4.155               2.377                   0                   0                   0                   
             4416042               34401                   0              -1.022              -3.404               2.453                   0                   0                   0                   
             4416092               34401                   0               1.128              -3.499               1.032                   0                   0                   0                   
             4416142               34401                   0              -1.107              -3.821               1.880                   0                   0                   0                   
             4416192               34401                   0              -0.399              -3.584               1.714                   0                   0                   0                   
             4416242               34401                   0              -0.925              -3.739               2.011                   0                   0                   0                   
             4416292               34401                   0               1.351              -4.453               0.291                   0                   0                   0                   
             4416342               34401                   0               0.364              -3.000               0.960                   0                   0                   0                   
             4416392               34401                   0              -1.028              -3.058               2.166                   0                   0                   0                   
             4416442               34401                   0              -1.256              -2.651               2.897                   0                   0                   0                   
             4416492               34401                   0              -0.689              -3.455               1.758                   0                   0                   0                   
             4416542               34401                   0              -2.721              -3.460               2.676                   0                   0                   0                   
             4416592               34401                   0              -1.121              -4.348               2.564                   0                   0                   0                   
             4416642               34401                   0              -0.816              -3.887               2.149                   0                   0                   0                   
             4416692               34401                   0               1.102              -4.068               1.428                   0                   0                   0                   
             4416742               34401                   0              -1.203              -3.682               2.427                   0                   0                   0                   
             4416792               34401                   0               0.853              -3.730               0.550                   0                   0                   0                   
             4416842               34401                   0               0.722              -3.413               1.272                   0                   0                   0                   
             4416892               34401                   0              -1.271              -3.511               2.369                   0                   0                   0                   
             4416942               34401                   0              -1.764              -4.307               2.715                   0                   0                   0                   
             4416992               34401                   0               0.720              -3.898               0.752                   0                   0                   0                   
             4417042               34401                   0              -1.063              -3.516               2.002                   0                   0                   0                   
             4417092               34401                   0               0.753              -3.193               1.488                   0                   0                   0                   
             4417142               34401                   0              -1.552              -3.592               2.484                   0                   0                   0                   
             4417192               34401                   0              -1.411              -3.700               2.382                   0                   0                   0                   
             4417242               34401                   0               0.884              -3.975               1.002                   0                   0                   0                   
             4417292               34401                   0              -0.702              -3.763               1.965                   0                   0                   0                   
             4417342               34401                   0              -0.947              -3.572               1.977                   0                   0                   0                   
             4417392               34401                   0              -0.764              -3.833               2.229                   0                   0                   0                   
             4417442               34401                   0              -1.658              -3.958               2.458                   0                   0                   0                   
             4417492               34401                   0              -0.859              -3.441               1.845                   0                   0                   0                   
             4417542               34401                   0              -1.790              -3.555               2.980                   0                   0                   0                   
             4417592               34401                   0              -1.104              -3.185               2.037                   0                   0                   0                   
             4417642               34401                   0               0.771              -3.375               1.403                   0                   0                   0                   
             4417692               34401                   0              -0.595              -3.275               1.585                   0                   0                   0                   
             4417742               34401                   0               0.781              -3.844               0.833                   0                   0                   0                   
             4417792               34401                   0              -2.079              -3.176               2.883                   0                   0                   0                   
             4417842               34401                   0              -1.992              -3.781               2.738                   0                   0                   0                   
             4417892               34401                   0              -1.367              -3.528               2.615                   0                   0                   0                   
             4417942               34401                   0              -1.211              -3.822               2.189                   0                   0                   0                   
             4417992               34401                   0              -1.614              -3.540               2.865                   0                   0                   0                   
             4418042               34401                   0              -1.309              -3.696               2.638                   0                   0                   0                   
             4418092               34401                   0              -1.104              -3.622               2.199                   0                   0                   0                   
             4418142               34401                   0               0.312              -4.219               1.257                   0                   0                   0                   
             4418192               34401                   0              -0.927              -3.242               2.640                   0                   0                   0                   
             4418242               34401                   0              -1.577              -3.387               2.770                   0                   0                   0                   
             4418292               34401                   0              -1.095              -3.238               2.403                   0                   0                   0                   
             4418342               34401                   0              -1.101              -4.208               2.500                   0                   0                   0                   
             4418392               34401                   0              -1.655              -3.599               2.776                   0                   0                   0                   
             4418442               34401                   0              -1.576              -2.933               2.670                   0                   0                   0                   
             4418492               34401                   0              -3.010              -3.532               2.732                   0                   0                   0                   
             4418542               34401                   0              -0.953              -4.201               2.378                   0                   0                   0                   
             4418592               34401                   0               1.312              -3.665               0.468                   0                   0                   0                   
             4418642               34401                   0              -1.505              -3.611               2.713                   0                   0                   0                   
             4418692               34401                   0              -0.940              -3.323               2.266                   0                   0                   0                   
             4418742               34401                   0              -0.778               1.485               2.313                   0                   0                   0                   
             4418792               34401                   0              -0.942              -3.502               1.789                   0                   0                   0                   
             4418842               34401                   0              -0.581              -3.368               2.357                   0                   0                   0                   
             4418892               34401                   0              -2.096              -3.473               2.967                   0                   0                   0                   
             4418942               34401                   0              -2.717              -3.751               2.761                   0                   0                   0                   
             4418992               34401                   0              -1.687              -4.521               2.990                   0                   0                   0                   
             4419042               34401                   0              -0.969              -3.107               2.265                   0                   0                   0                   
             4419092               34401                   0              -1.493              -2.929               2.837                   0                   0                   0                   
             4419142               34401                   0              -1.104              -3.736               2.259                   0                   0                   0                   
             4419192               34401                   0               0.471              -3.427               1.414                   0                   0                   0                   
             4419242               34401                   0              -2.339              -3.945               2.890                   0                   0                   0                   
             4419292               34401                   0               0.426              -3.329               1.385                   0                   0                   0                   
             4419342               34401                   0               0.845              -4.004               1.137                   0                   0                   0                   
             4419392               34401                   0              -2.537              -3.783               2.905                   0                   0                   0                   
             4419442               34401                   0              -0.763              -3.391               1.875                   0                   0                   0                   
             4419492               34401                   0              -1.344              -4.149               2.610                   0                   0                   0                   
             4419542               34401                   0              -2.099              -3.797               2.954                   0                   0                   0                   
             4419592               34401                   0              -1.700              -3.084               2.768                   0                   0                   0                   
             4419642               34401                   0               0.841              -3.970               1.093                   0                   0                   0                   
             4419692               34401                   0              -2.080              -4.107               2.676                   0                   0                   0                   
             4419742               34401                   0              -1.078              -3.380               2.764                   0                   0                   0                   
             4419792               34401                   0              -0.970              -3.798               1.678                   0                   0                   0                   
             4419842               34401                   0              -1.762              -4.022               2.755                   0                   0                   0                   
             4419892               34401                   0              -2.341              -4.222               2.920                   0                   0                   0                   
             4419942               34401                   0              -1.801              -3.999               2.413                   0                   0                   0                   
             4419992               34401                   0              -0.963              -3.910               1.776                   0                   0                   0                   
             4420042               34401                   0              -0.558              -4.320               2.525                   0                   0                   0                   
             4420092               34401                   0              -1.220              -3.212               2.271                   0                   0                   0                   
             4420142               34401                   0              -1.512              -4.155               2.929                   0                   0                   0                   
             4420192               34401                   0              -2.061              -3.979               2.885                   0                   0                   0                   
             4420242               34401                   0              -1.244              -3.903               2.409                   0                   0                   0                   
             4420292               34401                   0              -1.606              -3.386               2.845                   0                   0                   0                   
             4420342               34401                   0              -2.396              -3.710               2.650                   0                   0                   0                   
             4420392               34401                   0              -1.575              -3.335               2.611                   0                   0                   0                   
             4420442               34401                   0              -1.560              -3.165               2.329                   0                   0                   0                   
             4420492               34401                   0              -1.239              -3.208               2.543                   0                   0                   0                   
             4420542               34401                   0              -0.991              -4.291               2.684                   0                   0                   0                   
             4420592               34401                   0              -1.316              -3.663               2.425                   0                   0                   0                   
             4420642               34401                   0              -1.289              -3.135               2.663                   0                   0                   0                   
             4420692               34401                   0              -1.244              -3.778               2.206                   0                   0                   0                   
             4420742               34401                   0              -0.998              -3.577               2.468                   0                   0                   0                   
             4420792               34401                   0              -2.385              -3.881               3.023                   0                   0                   0                   
             4420842               34401                   0              -1.832              -3.285               2.712                   0                   0                   0                   
             4420892               34401                   0              -1.074              -3.724               2.214                   0                   0                   0                   
             4420942               34401                   0              -1.297              -3.470               2.136                   0                   0                   0                   
             4420992               34401                   0               0.762              -3.860               0.909                   0                   0                   0                   
             4421042               34401                   0              -2.944              -3.274               2.657                   0                   0                   0                   
             4421092               34401                   0              -0.877              -4.375               1.834                   0                   0                   0                   
             4421142               34401                   0              -1.579              -3.697               2.592                   0                   0                   0                   
             4421192               34401                   0              -2.254              -3.434               2.777                   0                   0                   0                   
             4421242               34401                   0              -2.535              -3.764               2.926                   0                   0                   0                   
             4421292               34401                   0              -1.121              -3.558               2.635                   0                   0                   0                   
             4421342               34401                   0              -1.075              -4.541               2.696                   0                   0                   0                   
             4421392               34401                   0              -1.416              -4.019               2.631                   0                   0                   0                   
             4421442               34401                   0              -1.132              -3.858               2.446                   0                   0                   0                   
             4421492               34401                   0              -1.931              -3.859               2.740                   0                   0                   0                   
             4421542               34401                   0              -1.432              -3.716               2.795                   0                   0                   0                   
             4421592               34401                   0              -1.555              -3.183               2.822                   0                   0                   0                   
             4421642               34401                   0              -0.728              -3.408               2.242                   0                   0                   0                   
             4421692               34401                   0              -1.643              -2.851               2.690                   0                   0                   0                   
             4421742               34401                   0              -1.879              -3.530               2.680                   0                   0                   0                   
             4421792               34401                   0              -1.271              -3.316               2.796                   0                   0                   0                   
             4421842               34401                   0              -1.102              -3.572               2.536                   0                   0                   0                   
             4421892               34401                   0              -2.004              -3.699               2.603                   0                   0                   0                   
             4421942               34401                   0              -0.861              -3.284               1.966                   0                   0                   0                   
             4421992               34401                   0              -1.259              -3.451               3.043                   0                   0                   0                   
             4422042               34401                   0              -1.559              -3.567               2.748                   0                   0                   0                   
             4422092               34401                   0              -2.590              -3.810               2.849                   0                   0                   0                   
             4422142               34401                   0              -1.884              -4.263               2.556                   0                   0                   0                   
             4422192               34401                   0              -1.278              -3.692               2.757                   0                   0                   0                   
             4422242               34401                   0              -1.884              -4.273               2.531                   0                   0                   0                   
             4422292               34401                   0              -1.938              -4.673               2.733                   0                   0                   0                   
             4422342               34401                   0              -1.742              -3.768               2.773                   0                   0                   0                   
             4422392               34401                   0              -1.083              -2.677               2.709                   0                   0                   0                   
             4422442               34401                   0              -1.310              -3.734               2.426                   0                   0                   0                   
             4422492               34401                   0              -2.574              -3.421               2.693                   0                   0                   0                   
             4422542               34401                   0              -0.129               1.292               2.160                   0                   0                   0                   
             4422592               34401                   0              -1.474              -4.242               2.771                   0                   0                   0                   
             4422642               34401                   0              -1.791              -3.333               2.418                   0                   0                   0                   
             4422692               34401                   0              -1.312              -3.683               2.606                   0                   0                   0                   
             4422742               34401                   0              -2.038              -3.941               2.888                   0                   0                   0                   
             4422792               34401                   0               0.181              -2.953               0.968                   0                   0                   0                   
             4422842               34401                   0              -1.706              -3.227               2.580                   0                   0                   0                   
             4422892               34401                   0              -1.411              -3.202               2.419                   0                   0                   0                   
             4422942               34401                   0              -2.533              -3.175               2.771                   0                   0                   0                   
             4422992               34401                   0              -1.374              -3.989               2.613                   0                   0                   0                   
             4423042               34401                   0               0.625              -3.312               1.550                   0                   0                   0                   
             4423092               34401                   0              -2.176              -3.998               2.786                   0                   0                   0                   
             4423142               34401                   0              -1.282              -3.864               2.547                   0                   0                   0                   
             4423192               34401                   0              -0.887              -4.003               1.978                   0                   0                   0                   
             4423242               34401                   0              -1.754              -4.045               2.706                   0                   0                   0                   
             4423292               34401                   0              -1.816              -4.655               2.800                   0                   0                   0                   
             4423342               34401                   0              -2.072              -3.729               2.872                   0                   0                   0                   
             4423392               34401                   0              -1.076              -3.595               2.841                   0                   0                   0                   
             4423442               34401                   0              -2.165              -4.008               2.895                   0                   0                   0                   
             4423492               34401                   0              -2.075              -3.501               2.617                   0                   0                   0                   
             4423542               34401                   0              -2.332              -3.911               2.607                   0                   0                   0                   
             4423592               34401                   0              -2.179              -3.953               2.881                   0                   0                   0                   
             4423642               34401                   0              -1.171              -4.084               2.394                   0                   0                   0                   
             4423692               34401                   0              -2.679              -4.026               2.754                   0                   0                   0                   
             4423742               34401                   0              -1.783              -3.472               2.719                   0                   0                   0                   
             4423792               34401                   0              -0.770              -2.180               2.889                   0                   0                   0                   
             4423842               34401                   0              -2.709              -4.051               2.840                   0                   0                   0                   
             4423892               34401                   0              -1.595              -4.435               2.717                   0                   0                   0                   
             4423942               34401                   0              -1.745              -3.624               2.539                   0                   0                   0                   
             4423992               34401                   0              -1.737              -3.403               2.671                   0                   0                   0                   
             4424042               34401                   0              -1.250              -4.514               2.355                   0                   0                   0                   
             4424092               34401                   0              -0.794              -3.755               2.074                   0                   0                   0                   
             4424142               34401                   0              -2.722              -3.625               2.956                   0                   0                   0                   
             4424192               34401                   0              -0.522              -3.071               2.757                   0                   0                   0                   
             4424242               34401                   0              -1.896              -3.328               2.677                   0                   0                   0                   
             4424292               34401                   0              -1.471              -3.602               2.484                   0                   0                   0                   
             4424342               34401                   0              -0.262              -1.774               2.395                   0                   0                   0                   
             4424392               34401                   0              -1.271              -3.607               2.614                   0                   0                   0                   
             4424442               34401                   0              -3.206              -3.308               2.829                   0                   0                   0                   
             4424492               34401                   0              -1.154              -3.664               2.611                   0                   0                   0                   
             4424542               34401                   0              -1.492              -3.200               2.528                   0                   0                   0                   
             4424592               34401                   0              -0.854              -3.692               2.907                   0                   0                   0                   
             4424642               34401                   0               0.556              -4.315               0.613                   0                   0                   0                   
