TimeStamp	ForceValue	AxialAngle	LateralAngle	MetalSeverity	InAccurateSeverity	NeedZeroing	
  9740992	  20.94228	       -86	          92	            0	                 0	          0	
  9741042	  20.67478	       -86	          93	            0	                 0	          0	
  9741092	  20.70871	       -86	          93	            0	                 0	          0	
  9741142	  20.91509	       -85	          91	            0	                 0	          0	
  9741192	  20.68175	       -85	          92	            0	                 0	          0	
  9741242	  20.43789	       -85	          92	            0	                 0	          0	
  9741292	  20.35055	       -85	          92	            0	                 0	          0	
  9741342	  20.63842	       -85	          91	            0	                 0	          0	
  9741392	  20.70186	       -85	          91	            0	                 0	          0	
  9741442	  20.50982	       -86	          93	            0	                 0	          0	
  9741492	  20.52338	       -85	          94	            0	                 0	          0	
  9741542	   20.6194	       -85	          94	            0	                 0	          0	
  9741592	  20.69664	       -86	          93	            0	                 0	          0	
  9741642	  20.15111	       -87	          90	            0	                 0	          0	
  9741692	  19.98658	       -85	          91	            0	                 0	          0	
  9741742	  20.36992	       -84	          92	            0	                 0	          0	
  9741792	  20.64887	       -85	          93	            0	                 0	          0	
  9741842	   20.6876	       -85	          95	            0	                 0	          0	
  9741892	  20.63213	       -86	          94	            0	                 0	          0	
  9741942	  20.48755	       -86	          92	            0	                 0	          0	
  9741992	  20.29437	       -85	          92	            0	                 0	          0	
  9742042	  20.67745	       -85	          93	            0	                 0	          0	
  9742092	  20.75076	       -85	          94	            0	                 0	          0	
  9742142	  20.55485	       -85	          95	            0	                 0	          0	
  9742192	  20.75414	       -86	          93	            0	                 0	          0	
  9742242	  20.97348	       -86	          92	            0	                 0	          0	
  9742292	  20.58637	       -86	          93	            0	                 0	          0	
  9742342	  20.40555	       -86	          94	            0	                 0	          0	
  9742392	  20.52573	       -85	          93	            0	                 0	          0	
  9742442	  20.68269	       -85	          92	            0	                 0	          0	
  9742492	  20.77871	       -85	          94	            0	                 0	          0	
  9742542	  20.52066	       -85	          96	            0	                 0	          0	
  9742592	  20.26246	       -85	          95	            0	                 0	          0	
  9742642	  20.39379	       -85	          94	            0	                 0	          0	
  9742692	  20.50535	       -86	          95	            0	                 0	          0	
  9742742	    20.491	       -85	          97	            0	                 0	          0	
  9742792	  20.36593	       -85	          94	            0	                 0	          0	
  9742842	   20.4325	       -86	          92	            0	                 0	          0	
  9742892	  20.50546	       -85	          97	            0	                 0	          0	
  9742942	   20.4239	       -85	          97	            0	                 0	          0	
  9742992	  20.39591	       -86	          93	            0	                 0	          0	
  9743042	   20.5449	       -86	          92	            0	                 0	          0	
  9743092	  20.54817	       -86	          94	            0	                 0	          0	
  9743142	  20.58049	       -85	          98	            0	                 0	          0	
  9743192	  20.60826	       -86	          96	            0	                 0	          0	
  9743242	  20.71782	       -85	          95	            0	                 0	          0	
  9743292	  20.78537	       -86	          95	            0	                 0	          0	
  9743342	  20.58149	       -86	          94	            0	                 0	          0	
  9743392	  20.24883	       -86	          96	            0	                 0	          0	
  9743442	  20.12066	       -85	          95	            0	                 0	          0	
  9743492	  20.41543	       -84	          94	            0	                 0	          0	
  9743542	  20.48795	       -84	          95	            0	                 0	          0	
  9743592	  20.53651	       -85	          97	            0	                 0	          0	
  9743642	  20.61595	       -85	          96	            0	                 0	          0	
  9743692	  20.72371	       -85	          94	            0	                 0	          0	
  9743742	  20.56814	       -85	          97	            0	                 0	          0	
  9743792	  20.19683	       -85	          98	            0	                 0	          0	
  9743842	  20.31506	       -85	          95	            0	                 0	          0	
  9743892	  20.72526	       -85	          96	            0	                 0	          0	
  9743942	  20.79566	       -85	          97	            0	                 0	          0	
  9743992	  20.48147	       -84	          96	            0	                 0	          0	
  9744042	  20.47919	       -85	          97	            0	                 0	          0	
  9744092	  20.72448	       -85	          96	            0	                 0	          0	
  9744142	  20.58845	       -85	          95	            0	                 0	          0	
  9744192	  20.53663	       -85	          94	            0	                 0	          0	
  9744242	  20.60598	       -85	          97	            0	                 0	          0	
  9744292	  20.25138	       -84	          96	            0	                 0	          0	
  9744342	  20.23516	       -85	          94	            0	                 0	          0	
  9744392	   20.8283	       -85	          95	            0	                 0	          0	
  9744442	  20.77939	       -85	          96	            0	                 0	          0	
  9744492	  20.49991	       -85	          97	            0	                 0	          0	
  9744542	   20.6158	       -85	          95	            0	                 0	          0	
  9744592	  20.68809	       -84	          95	            0	                 0	          0	
  9744642	  20.58858	       -85	          96	            0	                 0	          0	
  9744692	  20.18234	       -85	          94	            0	                 0	          0	
  9744742	  20.02737	       -85	          95	            0	                 0	          0	
  9744792	  20.39871	       -85	          96	            0	                 0	          0	
  9744842	  20.48446	       -84	          97	            0	                 0	          0	
  9744892	  20.40164	       -85	          96	            0	                 0	          0	
  9744942	  20.43755	       -85	          96	            0	                 0	          0	
  9744992	  20.27653	       -85	          96	            0	                 0	          0	
  9745042	  20.48755	       -85	          96	            0	                 0	          0	
  9745092	  20.65865	       -85	          95	            0	                 0	          0	
  9745142	  20.49447	       -85	          97	            0	                 0	          0	
  9745192	  20.30853	       -84	          96	            0	                 0	          0	
  9745242	  20.13898	       -84	          95	            0	                 0	          0	
  9745292	  20.16865	       -84	          93	            0	                 0	          0	
  9745342	    20.146	       -84	          94	            0	                 0	          0	
  9745392	  20.40656	       -85	          98	            0	                 0	          0	
  9745442	  20.52074	       -85	          97	            0	                 0	          0	
  9745492	  20.34034	       -85	          99	            0	                 0	          0	
  9745542	  20.19818	       -84	          99	            0	                 0	          0	
  9745592	  20.16277	       -84	          98	            0	                 0	          0	
  9745642	  20.32213	       -85	          98	            0	                 0	          0	
  9745692	  20.29249	       -85	          97	            0	                 0	          0	
  9745742	  20.00943	       -84	          97	            0	                 0	          0	
  9745792	  20.27997	       -84	          98	            0	                 0	          0	
  9745842	  20.41544	       -84	          98	            0	                 0	          0	
  9745892	  20.53454	       -84	          98	            0	                 0	          0	
  9745942	  20.73412	       -84	          99	            0	                 0	          0	
  9745992	  20.36008	       -84	          98	            0	                 0	          0	
  9746042	  20.25418	       -83	          98	            0	                 0	          0	
  9746092	  20.53252	       -84	          98	            0	                 0	          0	
  9746142	  20.48652	       -84	          97	            0	                 0	          0	
  9746192	   20.1927	       -84	          95	            0	                 0	          0	
  9746242	  20.16764	       -84	          94	            0	                 0	          0	
  9746292	  20.04852	       -84	          95	            0	                 0	          0	
  9746342	  20.16151	       -84	          96	            0	                 0	          0	
  9746392	  20.26442	       -84	          94	            0	                 0	          0	
  9746442	  20.09702	       -84	          93	            0	                 0	          0	
  9746492	  20.22026	       -84	          96	            0	                 0	          0	
  9746542	  20.55616	       -84	          99	            0	                 0	          0	
  9746592	  20.40915	       -84	          97	            0	                 0	          0	
  9746642	  20.19857	       -83	          96	            0	                 0	          0	
  9746692	  20.28977	       -85	         100	            0	                 0	          0	
  9746742	  20.40031	       -85	          98	            0	                 0	          0	
  9746792	  20.45976	       -84	          96	            0	                 0	          0	
  9746842	  20.48244	       -85	          96	            0	                 0	          0	
  9746892	  20.24179	       -85	          97	            0	                 0	          0	
  9746942	  20.03413	       -84	          97	            0	                 0	          0	
  9746992	  20.05441	       -84	          96	            0	                 0	          0	
  9747042	  20.11932	       -84	          97	            0	                 0	          0	
  9747092	  20.21666	       -84	          95	            0	                 0	          0	
  9747142	  20.50963	       -84	          93	            0	                 0	          0	
  9747192	  20.39345	       -84	          94	            0	                 0	          0	
  9747242	  20.27557	       -85	          96	            0	                 0	          0	
  9747292	  20.27046	       -84	          96	            0	                 0	          0	
  9747342	  19.88254	       -83	          93	            0	                 0	          0	
  9747392	  19.91201	       -83	          94	            0	                 0	          0	
  9747442	  20.18331	       -84	          97	            0	                 0	          0	
  9747492	  20.17224	       -85	          97	            0	                 0	          0	
  9747542	   19.9833	       -86	          96	            0	                 0	          0	
  9747592	  20.08558	       -84	          96	            0	                 0	          0	
  9747642	  20.28256	       -85	          95	            0	                 0	          0	
  9747692	  20.31321	       -85	          96	            0	                 0	          0	
  9747742	  20.26519	       -84	          96	            0	                 0	          0	
  9747792	  20.10956	       -84	          97	            0	                 0	          0	
  9747842	  19.88168	       -85	          96	            0	                 0	          0	
  9747892	  19.94513	       -84	          96	            0	                 0	          0	
  9747942	  20.29661	       -84	          96	            0	                 0	          0	
  9747992	  20.44266	       -85	          96	            0	                 0	          0	
  9748042	  20.53572	       -84	          96	            0	                 0	          0	
  9748092	  20.54988	       -84	          96	            0	                 0	          0	
  9748142	  20.21674	       -85	          96	            0	                 0	          0	
  9748192	  19.97092	       -85	          96	            0	                 0	          0	
  9748242	  19.85563	       -84	          97	            0	                 0	          0	
  9748292	  19.94802	       -84	          99	            0	                 0	          0	
  9748342	  20.09181	       -84	          97	            0	                 0	          0	
  9748392	  20.07879	       -84	          95	            0	                 0	          0	
  9748442	  20.12315	       -84	          94	            0	                 0	          0	
  9748492	  20.23623	       -84	          95	            0	                 0	          0	
  9748542	  20.24657	       -84	          98	            0	                 0	          0	
  9748592	  20.07647	       -85	          97	            0	                 0	          0	
  9748642	  20.02485	       -85	          93	            0	                 0	          0	
  9748692	  20.14787	       -84	          93	            0	                 0	          0	
  9748742	  20.08524	       -83	          95	            0	                 0	          0	
  9748792	  20.21544	       -83	          98	            0	                 0	          0	
  9748842	  20.42117	       -83	          98	            0	                 0	          0	
  9748892	  20.31828	       -83	          95	            0	                 0	          0	
  9748942	  20.37859	       -83	          96	            0	                 0	          0	
  9748992	  20.18833	       -84	          97	            0	                 0	          0	
  9749042	   20.1916	       -84	          99	            0	                 0	          0	
  9749092	  20.20718	       -84	          98	            0	                 0	          0	
  9749142	  19.95099	       -84	          97	            0	                 0	          0	
  9749192	   19.8784	       -84	          97	            0	                 0	          0	
  9749242	  20.04512	       -85	          98	            0	                 0	          0	
  9749292	   20.3135	       -84	         100	            0	                 0	          0	
  9749342	  20.47132	       -84	         100	            0	                 0	          0	
  9749392	  20.42554	       -84	          95	            0	                 0	          0	
  9749442	  20.22211	       -83	          93	            0	                 0	          0	
  9749492	  20.02959	       -83	          97	            0	                 0	          0	
  9749542	  19.90602	       -83	          99	            0	                 0	          0	
  9749592	  19.81843	       -84	          95	            0	                 0	          0	
  9749642	  19.94374	       -84	          94	            0	                 0	          0	
  9749692	  20.09424	       -84	          96	            0	                 0	          0	
  9749742	  20.17315	       -84	          98	            0	                 0	          0	
  9749792	  19.95849	       -84	          97	            0	                 0	          0	
  9749842	   19.8052	       -83	          95	            0	                 0	          0	
  9749892	   20.1871	       -84	          97	            0	                 0	          0	
  9749942	  19.89487	       -85	          97	            0	                 0	          0	
  9749992	  19.69251	       -84	          97	            0	                 0	          0	
  9750042	  20.30359	       -84	          97	            0	                 0	          0	
  9750092	  20.41494	       -84	          95	            0	                 0	          0	
  9750142	  20.28665	       -84	          96	            0	                 0	          0	
  9750192	  20.41101	       -83	          97	            0	                 0	          0	
  9750242	  20.46432	       -84	          97	            0	                 0	          0	
  9750292	  20.26039	       -84	          99	            0	                 0	          0	
  9750342	  20.22235	       -83	         100	            0	                 0	          0	
  9750392	  20.25648	       -84	          99	            0	                 0	          0	
  9750442	  20.29324	       -84	          99	            0	                 0	          0	
  9750492	  20.34607	       -84	          97	            0	                 0	          0	
  9750542	  20.12734	       -84	          96	            0	                 0	          0	
  9750592	   20.1052	       -84	          96	            0	                 0	          0	
  9750642	  20.16847	       -84	          96	            0	                 0	          0	
  9750692	  20.13481	       -84	          96	            0	                 0	          0	
  9750742	  20.08052	       -84	          99	            0	                 0	          0	
  9750792	  20.03413	       -84	         100	            0	                 0	          0	
  9750842	  19.93439	       -84	          97	            0	                 0	          0	
  9750892	  19.77092	       -84	          98	            0	                 0	          0	
  9750942	  19.93045	       -84	          98	            0	                 0	          0	
  9750992	  20.11957	       -83	          96	            0	                 0	          0	
  9751042	   20.1833	       -83	          97	            0	                 0	          0	
  9751092	  20.31353	       -84	          98	            0	                 0	          0	
  9751142	  20.16652	       -83	          96	            0	                 0	          0	
  9751192	  20.06672	       -83	          95	            0	                 0	          0	
  9751242	  20.16305	       -83	          97	            0	                 0	          0	
  9751292	  19.88874	       -84	          96	            0	                 0	          0	
  9751342	  19.69092	       -84	          93	            0	                 0	          0	
  9751392	   20.1764	       -83	          94	            0	                 0	          0	
  9751442	  20.34831	       -83	          96	            0	                 0	          0	
  9751492	   20.1475	       -83	          97	            0	                 0	          0	
  9751542	  20.23253	       -83	          98	            0	                 0	          0	
  9751592	  19.95395	       -83	          97	            0	                 0	          0	
  9751642	  19.77551	       -83	          96	            0	                 0	          0	
  9751692	   20.0571	       -84	          96	            0	                 0	          0	
  9751742	  20.29121	       -84	          97	            0	                 0	          0	
  9751792	  19.96069	       -84	          98	            0	                 0	          0	
  9751842	  19.77267	       -84	          97	            0	                 0	          0	
