TimeStamp	ForceValue	AxialAngle	LateralAngle	MetalSeverity	InAccurateSeverity	NeedZeroing	
 10115492	  22.82597	       -83	         119	            0	                 0	          0	
 10115542	  22.40429	       -83	         118	            0	                 0	          0	
 10115592	  22.12926	       -84	         117	            0	                 0	          0	
 10115642	  22.45709	       -84	         117	            0	                 0	          0	
 10115692	  23.02956	       -84	         118	            0	                 0	          0	
 10115742	   22.9225	       -84	         118	            0	                 0	          0	
 10115792	  22.80679	       -84	         119	            0	                 0	          0	
 10115842	  22.67143	       -84	         120	            0	                 0	          0	
 10115892	  22.63782	       -85	         119	            0	                 0	          0	
 10115942	  22.95502	       -85	         121	            0	                 0	          0	
 10115992	    23.278	       -84	         121	            0	                 0	          0	
 10116042	  23.28702	       -84	         121	            0	                 0	          0	
 10116092	  22.96148	       -84	         121	            0	                 0	          0	
 10116142	  22.79431	       -83	         119	            0	                 0	          0	
 10116192	  22.54592	       -84	         118	            0	                 0	          0	
 10116242	  22.56766	       -84	         119	            0	                 0	          0	
 10116292	  22.89368	       -84	         119	            0	                 0	          0	
 10116342	  22.91444	       -84	         119	            0	                 0	          0	
 10116392	  22.19332	       -85	         117	            0	                 0	          0	
 10116442	  21.81852	       -84	         115	            0	                 0	          0	
 10116492	  21.99469	       -84	         116	            0	                 0	          0	
 10116542	  22.36574	       -83	         117	            0	                 0	          0	
 10116592	  22.95758	       -84	         119	            0	                 0	          0	
 10116642	  23.10733	       -84	         119	            0	                 0	          0	
 10116692	  22.82764	       -84	         119	            0	                 0	          0	
 10116742	  22.54107	       -84	         118	            0	                 0	          0	
 10116792	   22.7321	       -84	         118	            0	                 0	          0	
 10116842	  22.88547	       -84	         119	            0	                 0	          0	
 10116892	  22.44535	       -83	         119	            0	                 0	          0	
 10116942	  22.15977	       -84	         119	            0	                 0	          0	
 10116992	   22.4405	       -84	         118	            0	                 0	          0	
 10117042	  22.70658	       -84	         119	            0	                 0	          0	
 10117092	  22.82139	       -85	         119	            0	                 0	          0	
 10117142	  22.94568	       -85	         119	            0	                 0	          0	
 10117192	  22.21952	       -84	         115	            0	                 0	          0	
 10117242	  22.09134	       -84	         115	            0	                 0	          0	
 10117292	  22.05651	       -85	         117	            0	                 0	          0	
 10117342	  22.20972	       -85	         117	            0	                 0	          0	
 10117392	  22.66462	       -84	         119	            0	                 0	          0	
 10117442	  22.89471	       -84	         121	            0	                 0	          0	
 10117492	  23.04953	       -84	         121	            0	                 0	          0	
 10117542	  22.47816	       -84	         119	            0	                 0	          0	
 10117592	  22.28596	       -85	         118	            0	                 0	          0	
 10117642	  22.63368	       -84	         118	            0	                 0	          0	
 10117692	  22.70559	       -84	         119	            0	                 0	          0	
 10117742	  22.58628	       -84	         119	            0	                 0	          0	
 10117792	  22.42332	       -84	         118	            0	                 0	          0	
 10117842	  22.66554	       -85	         119	            0	                 0	          0	
 10117892	   22.6862	       -84	         120	            0	                 0	          0	
 10117942	  22.15301	       -84	         118	            0	                 0	          0	
