ECG_Export_4.0
Raw ECG to MV (gain) = 0.003000
Unipolar Mapping Channel=M1 Bipolar Mapping Channel=M1-M2 Reference Channel=I
M1(1)                         M2(2)                         M3(3)                         M4(4)                         M7(7)                         M8(8)                         M9(9)                         M10(10)                       WCT_GND(21)                   V1(22)                        V2(23)                        V3(24)                        V4(25)                        V5(26)                        V6(27)                        LA(28)                        RA(29)                        LL(30)                        M1-M2(92)                     M3-M4(94)                     I(110)                        II(111)                       III(112)                      aVL(171)                      aVR(172)                      aVF(173)                      
149                           150                           -19                           -21                           12                            0                             -90                           99                            -141                          -175                          -26                           -67                           -35                           -35                           -46                           -69                           -11                           19                            1                             0                             -57                           31                            89                            -73                           13                            60                            
77                            76                            -309                          -310                          37                            -27                           -25                           31                            -140                          -172                          -23                           -58                           -32                           -30                           -41                           -29                           -2                            18                            2                             0                             -26                           20                            48                            -37                           3                             34                            
-170                          -173                          -298                          -297                          15                            -6                            5                             5                             -141                          -132                          -11                           -32                           -18                           -16                           -24                           14                            6                             13                            2                             0                             8                             6                             0                             4                             -7                            2                             
-344                          -346                          9                             9                             6                             4                             1                             6                             -141                          -102                          -5                            -20                           -11                           -10                           -16                           31                            4                             -4                            -4                            0                             27                            -9                            -36                           31                            -8                            -22                           
-160                          -158                          231                           230                           36                            -27                           -1                            7                             -140                          -100                          -11                           -30                           -17                           -16                           -21                           24                            -4                            -29                           0                             1                             28                            -24                           -53                           40                            -1                            -39                           
138                           141                           274                           273                           2                             3                             -34                           41                            -141                          -111                          -23                           -52                           -28                           -29                           -33                           11                            -13                           -50                           -2                            0                             24                            -37                           -61                           43                            6                             -49                           
267                           269                           186                           185                           -50                           57                            -46                           51                            -140                          -107                          -30                           -67                           -34                           -37                           -40                           12                            -14                           -58                           1                             0                             26                            -43                           -70                           48                            8                             -57                           
241                           240                           0                             0                             7                             -3                            0                             -1                            -141                          -70                           -27                           -61                           -27                           -32                           -33                           31                            -6                            -50                           1                             0                             38                            -43                           -81                           60                            2                             -62                           
95                            93                            -158                          -159                          56                            -56                           7                             -5                            -140                          -4                            -13                           -35                           -9                            -16                           -12                           58                            4                             -31                           1                             0                             53                            -35                           -89                           71                            -8                            -63                           
-90                           -92                           -207                          -208                          0                             0                             -49                           52                            -141                          72                            5                             -1                            13                            5                             13                            77                            14                            -12                           0                             0                             63                            -26                           -89                           76                            -17                           -58                           
