ECG_Export_4.0
Raw ECG to MV (gain) = 0.003000
Unipolar Mapping Channel=M1 Bipolar Mapping Channel=M1-M2 Reference Channel=I
M1(1)                         M2(2)                         M3(3)                         M4(4)                         M7(7)                         M8(8)                         M9(9)                         M10(10)                       WCT_GND(21)                   V1(22)                        V2(23)                        V3(24)                        V4(25)                        V5(26)                        V6(27)                        LA(28)                        RA(29)                        LL(30)                        M1-M2(92)                     M3-M4(94)                     I(110)                        II(111)                       III(112)                      aVL(171)                      aVR(172)                      aVF(173)                      
-86                           -88                           -199                          -198                          -58                           25                            37                            -61                           -140                          71                            6                             4                             16                            9                             16                            77                            14                            -11                           2                             -1                            62                            -27                           -89                           75                            -17                           -58                           
-185                          -186                          -18                           -16                           -6                            -23                           20                            -57                           -141                          123                           17                            25                            31                            22                            32                            70                            14                            -5                            0                             0                             55                            -19                           -75                           65                            -17                           -47                           
-120                          -119                          292                           293                           38                            -69                           26                            -59                           -140                          122                           13                            15                            27                            17                            26                            32                            3                             -12                           -4                            1                             28                            -16                           -44                           36                            -6                            -30                           
146                           149                           293                           292                           -14                           -16                           24                            -50                           -139                          87                            0                             -8                            14                            1                             9                             -10                           -7                            -17                           0                             0                             -3                            -10                           -6                            1                             7                             -8                            
333                           334                           9                             8                             -88                           57                            20                            -51                           -141                          62                            -3                            -19                           7                             -5                            0                             -28                           -7                            -6                            2                             1                             -21                           0                             21                            -21                           10                            11                            
163                           161                           -188                          -189                          -91                           56                            10                            -47                           -141                          61                            3                             -10                           13                            -1                            3                             -23                           0                             14                            1                             0                             -24                           14                            38                            -31                           5                             26                            
-105                          -107                          -241                          -241                          -78                           41                            11                            -44                           -139                          70                            15                            10                            24                            9                             14                            -14                           9                             37                            1                             0                             -23                           29                            52                            -37                           -2                            40                            
-226                          -227                          -175                          -175                          -74                           40                            14                            -46                           -140                          65                            24                            25                            31                            18                            21                            -15                           12                            52                            0                             0                             -28                           41                            68                            -48                           -6                            54                            
-221                          -221                          -13                           -13                           -38                           4                             -13                           -22                           -140                          25                            22                            20                            25                            15                            15                            -35                           6                             53                            -1                            0                             -41                           47                            88                            -65                           -2                            67                            
-97                           -96                           112                           112                           -21                           -14                           -32                           0                             -140                          -45                           7                             -5                            6                             0                             -3                            -61                           -3                            42                            -1                            0                             -58                           46                            103                           -81                           5                             75                            
64                            65                            145                           146                           -61                           29                            21                            -49                           -140                          -125                          -12                           -40                           -18                           -20                           -28                           -78                           -12                           28                            0                             0                             -66                           40                            106                           -86                           12                            73                            
140                           140                           -16                           -15                           -69                           38                            65                            -100                          -140                          -178                          -25                           -60                           -33                           -33                           -43                           -68                           -12                           19                            0                             0                             -56                           31                            88                            -72                           11                            59                            
71                            69                            -310                          -310                          -45                           10                            45                            -82                           -140                          -172                          -20                           -49                           -30                           -26                           -36                           -27                           -2                            18                            3                             0                             -25                           21                            46                            -35                           1                             33                            
-178                          -181                          -296                          -297                          -60                           24                            13                            -45                           -140                          -130                          -8                            -22                           -16                           -11                           -19                           15                            6                             13                            2                             0                             9                             6                             -2                            5                             -8                            2                             
-348                          -349                          26                            26                            -62                           29                            14                            -49                           -140                          -100                          -2                            -11                           -9                            -4                            -10                           32                            4                             -5                            -3                            0                             27                            -9                            -37                           32                            -8                            -23                           
-145                          -143                          252                           252                           -39                           4                             33                            -71                           -140                          -98                           -8                            -21                           -14                           -10                           -16                           23                            -4                            -30                           -1                            0                             28                            -26                           -54                           41                            -1                            -40                           
161                           163                           280                           280                           -60                           22                            18                            -52                           -140                          -109                          -20                           -44                           -26                           -24                           -29                           10                            -13                           -52                           -2                            1                             24                            -39                           -63                           43                            7                             -51                           
281                           281                           177                           176                           -72                           38                            -11                           -19                           -139                          -105                          -29                           -58                           -33                           -33                           -36                           12                            -14                           -61                           0                             0                             26                            -46                           -72                           49                            10                            -59                           
239                           238                           -2                            -2                            -40                           7                             -40                           12                            -140                          -68                           -26                           -53                           -28                           -29                           -30                           31                            -7                            -52                           1                             -2                            38                            -44                           -83                           61                            3                             -64                           
87                            86                            -148                          -148                          -44                           7                             -49                           20                            -140                          -3                            -13                           -28                           -10                           -12                           -9                            57                            4                             -32                           1                             0                             53                            -36                           -89                           71                            -8                            -62                           
-88                           -89                           -190                          -190                          -76                           42                            -30                           -2                            -140                          71                            5                             5                             11                            9                             16                            75                            13                            -12                           0                             0                             62                            -26                           -88                           75                            -17                           -57                           
-184                          -184                          -9                            -9                            -67                           34                            4                             -40                           -139                          125                           17                            27                            27                            25                            33                            69                            13                            -5                            0                             0                             55                            -18                           -74                           64                            -18                           -46                           
-116                          -115                          295                           294                           -37                           3                             27                            -61                           -140                          125                           14                            20                            24                            21                            29                            31                            3                             -11                           -3                            0                             28                            -15                           -43                           36                            -6                            -29                           
151                           154                           287                           287                           -50                           15                            19                            -51                           -140                          92                            4                             -2                            13                            8                             13                            -9                            -6                            -15                           -1                            -1                            -3                            -9                            -6                            1                             6                             -7                            
333                           334                           0                             0                             -65                           30                            -23                           -13                           -140                          68                            0                             -12                           8                             2                             5                             -26                           -5                            -4                            2                             0                             -21                           1                             22                            -21                           10                            11                            
155                           154                           -195                          -195                          -58                           21                            -50                           11                            -140                          68                            8                             -2                            15                            8                             10                            -21                           2                             17                            0                             0                             -24                           15                            38                            -31                           4                             26                            
-113                          -114                          -240                          -240                          -55                           18                            -25                           -7                            -140                          75                            19                            17                            26                            18                            20                            -13                           10                            39                            3                             -1                            -23                           29                            52                            -37                           -2                            40                            
-228                          -229                          -172                          -171                          -45                           14                            -21                           -10                           -140                          65                            25                            29                            31                            23                            24                            -16                           11                            52                            0                             0                             -28                           40                            69                            -49                           -6                            54                            
-217                          -218                          -7                            -6                            -30                           1                             -26                           -4                            -140                          21                            20                            20                            23                            16                            14                            -37                           5                             51                            -1                            0                             -42                           46                            88                            -65                           -2                            67                            
-91                           -90                           125                           124                           -28                           -4                            -29                           6                             -140                          -52                           3                             -7                            4                             -2                            -7                            -63                           -5                            39                            -1                            0                             -58                           45                            103                           -80                           6                             74                            
72                            73                            149                           148                           -49                           15                            -34                           7                             -140                          -131                          -15                           -42                           -20                           -24                           -32                           -79                           -12                           26                            0                             0                             -66                           39                            106                           -86                           13                            72                            
148                           148                           -25                           -25                           -49                           15                            -3                            -35                           -140                          -180                          -26                           -60                           -34                           -35                           -46                           -67                           -10                           19                            0                             0                             -56                           30                            87                            -71                           12                            58                            
68                            66                            -307                          -307                          -49                           9                             15                            -54                           -139                          -171                          -20                           -46                           -30                           -26                           -36                           -25                           0                             18                            3                             0                             -25                           19                            44                            -35                           3                             32                            
-181                          -184                          -279                          -278                          -89                           49                            -24                           -7                            -140                          -127                          -6                            -17                           -15                           -9                            -17                           17                            8                             13                            1                             0                             8                             5                             -3                            5                             -6                            0                             
-334                          -336                          29                            29                            -85                           52                            -51                           16                            -141                          -97                           0                             -4                            -9                            -2                            -8                            32                            5                             -5                            -3                            0                             26                            -11                           -37                           31                            -7                            -24                           
-134                          -132                          239                           239                           -43                           11                            13                            -50                           -139                          -98                           -8                            -17                           -15                           -10                           -15                           23                            -4                            -30                           -2                            0                             27                            -26                           -54                           40                            0                             -40                           
153                           156                           274                           274                           -56                           22                            27                            -60                           -140                          -111                          -21                           -41                           -27                           -26                           -29                           10                            -13                           -52                           -1                            0                             23                            -38                           -62                           43                            7                             -50                           
271                           272                           177                           175                           -86                           54                            -60                           27                            -139                          -108                          -30                           -57                           -34                           -35                           -38                           11                            -15                           -60                           1                             1                             26                            -45                           -71                           49                            9                             -58                           
237                           237                           -9                            -10                           -76                           43                            -48                           11                            -140                          -71                           -27                           -52                           -28                           -32                           -32                           31                            -7                            -51                           1                             0                             39                            -43                           -82                           61                            2                             -63                           
84                            82                            -156                          -157                          -69                           30                            7                             -43                           -139                          -5                            -13                           -26                           -9                            -15                           -12                           58                            4                             -31                           1                             0                             53                            -36                           -90                           72                            -8                            -63                           
-96                           -98                           -188                          -188                          -76                           39                            3                             -38                           -139                          71                            5                             7                             13                            6                             14                            76                            13                            -12                           1                             0                             62                            -26                           -89                           76                            -17                           -57                           
-188                          -189                          -8                            -8                            -67                           34                            20                            -59                           -139                          125                           18                            29                            29                            21                            31                            70                            14                            -5                            -1                            0                             55                            -19                           -75                           65                            -17                           -47                           
-114                          -112                          285                           285                           -51                           17                            -2                            -32                           -140                          125                           15                            22                            27                            17                            27                            32                            4                             -11                           -3                            0                             28                            -15                           -43                           36                            -6                            -29                           
149                           153                           280                           280                           -63                           30                            -59                           27                            -140                          91                            4                             -1                            15                            4                             12                            -8                            -5                            -15                           0                             0                             -3                            -9                            -5                            1                             6                             -7                            
324                           325                           1                             1                             -98                           66                            -45                           9                             -140                          66                            0                             -11                           10                            -1                            4                             -26                           -4                            -3                            3                             1                             -21                           1                             23                            -22                           10                            12                            
150                           148                           -191                          -191                          -91                           57                            -4                            -32                           -140                          64                            5                             -2                            16                            3                             7                             -22                           2                             17                            0                             0                             -24                           15                            40                            -33                           4                             27                            
-109                          -112                          -236                          -236                          -49                           15                            -20                           -10                           -140                          71                            16                            15                            26                            13                            17                            -14                           9                             39                            2                             0                             -24                           29                            53                            -39                           -2                            41                            
-223                          -225                          -168                          -168                          -42                           11                            -78                           47                            -140                          61                            23                            28                            31                            20                            22                            -17                           11                            52                            0                             0                             -29                           41                            70                            -50                           -5                            55                            
-215                          -215                          -4                            -4                            -33                           0                             -87                           51                            -139                          19                            19                            20                            24                            14                            14                            -37                           5                             51                            -1                            0                             -43                           46                            89                            -66                           -1                            68                            
-90                           -89                           129                           129                           -21                           -17                           -33                           0                             -141                          -50                           5                             -5                            5                             -2                            -5                            -63                           -4                            40                            -2                            -1                            -58                           44                            103                           -81                           6                             74                            
76                            78                            156                           152                           -46                           8                             18                            -49                           -140                          -129                          -14                           -39                           -18                           -24                           -30                           -78                           -12                           26                            -1                            0                             -66                           38                            105                           -85                           14                            72                            
156                           157                           -20                           -29                           -49                           15                            60                            -96                           -140                          -180                          -26                           -58                           -33                           -37                           -45                           -67                           -11                           17                            0                             0                             -56                           29                            85                            -70                           13                            57                            
73                            72                            -308                          -313                          -32                           -2                            52                            -88                           -140                          -172                          -20                           -45                           -29                           -30                           -38                           -26                           -1                            17                            2                             0                             -25                           18                            43                            -33                           3                             30                            
-183                          -186                          -281                          -280                          -49                           15                            -31                           0                             -140                          -131                          -8                            -18                           -16                           -14                           -20                           16                            7                             11                            1                             0                             9                             4                             -4                            6                             -6                            0                             
-337                          -339                          30                            30                            -45                           16                            -67                           42                            -140                          -102                          -3                            -7                            -10                           -6                            -11                           31                            5                             -6                            -3                            0                             26                            -10                           -37                           32                            -7                            -23                           
-133                          -131                          242                           242                           -27                           -2                            3                             -21                           -139                          -101                          -9                            -19                           -16                           -13                           -16                           22                            -4                            -30                           -2                            0                             26                            -26                           -53                           40                            0                             -39                           
157                           159                           273                           272                           -60                           26                            23                            -47                           -140                          -112                          -21                           -40                           -28                           -25                           -28                           10                            -12                           -51                           -1                            0                             23                            -38                           -62                           42                            7                             -50                           
272                           273                           171                           170                           -84                           50                            -42                           4                             -139                          -106                          -28                           -54                           -34                           -32                           -34                           13                            -13                           -58                           1                             -1                            26                            -45                           -71                           49                            9                             -58                           
