PiuTimeStamp	Irrigation	Power Mode	AblTime1	Power1	Impedance1	DistalTemperature1	ProximalTemperature1	
      4386246	         -1	          0	     800	     9	       103	                34	                   0	
      4386346	         -1	          0	     900	    10	       103	                35	                   0	
      4386446	         -1	          0	    1000	     9	       104	                35	                   0	
      4386546	         -1	          0	    1100	    10	       104	                36	                   0	
      4386646	         -1	          0	    1200	    10	       104	                36	                   0	
      4386746	         -1	          0	    1300	    11	       104	                36	                   0	
      4386846	         -1	          0	    1400	    11	       104	                37	                   0	
      4386946	         -1	          0	    1500	    11	       104	                37	                   0	
      4387046	         -1	          0	    1600	    11	       103	                38	                   0	
      4387146	         -1	          0	    1700	    11	       103	                38	                   0	
      4387246	         -1	          0	    1800	    12	       103	                39	                   0	
      4387346	         -1	          0	    1900	    12	       103	                39	                   0	
      4387446	         -1	          0	    2000	    12	       103	                39	                   0	
      4387546	         -1	          0	    2100	    12	       103	                40	                   0	
      4387646	         -1	          0	    2200	    12	       103	                40	                   0	
      4387746	         -1	          0	    2300	    13	       103	                40	                   0	
      4387846	         -1	          0	    2400	    13	       103	                41	                   0	
      4387946	         -1	          0	    2500	    14	       102	                41	                   0	
      4388046	         -1	          0	    2600	    14	       103	                41	                   0	
      4388146	         -1	          0	    2700	    14	       103	                42	                   0	
      4388246	         -1	          0	    2800	    14	       103	                42	                   0	
      4388346	         -1	          0	    2900	    14	       103	                42	                   0	
      4388446	         -1	          0	    3000	    15	       102	                42	                   0	
      4388546	         -1	          0	    3100	    15	       103	                43	                   0	
      4388646	         -1	          0	    3200	    15	       102	                43	                   0	
      4388746	         -1	          0	    3300	    15	       102	                43	                   0	
      4388846	         -1	          0	    3400	    15	       102	                43	                   0	
      4388946	         -1	          0	    3500	    15	       102	                43	                   0	
      4389046	         -1	          0	    3600	    16	       102	                44	                   0	
      4389146	         -1	          0	    3700	    16	       102	                44	                   0	
      4389246	         -1	          0	    3800	    16	       102	                44	                   0	
      4389346	         -1	          0	    3900	    16	       102	                44	                   0	
      4389446	         -1	          0	    4000	    17	       102	                44	                   0	
      4389546	         -1	          0	    4100	    17	       102	                45	                   0	
      4389645	         -1	          0	    4200	    16	       102	                45	                   0	
      4389745	         -1	          0	    4300	    17	       102	                45	                   0	
      4389845	         -1	          0	    4400	    17	       102	                45	                   0	
      4389945	         -1	          0	    4500	    17	       102	                45	                   0	
      4390045	         -1	          0	    4600	    17	       101	                45	                   0	
      4390145	         -1	          0	    4700	    18	       102	                46	                   0	
      4390245	         -1	          0	    4800	    19	       102	                46	                   0	
      4390345	         -1	          0	    4900	    18	       102	                46	                   0	
      4390445	         -1	          0	    5000	    18	       102	                46	                   0	
      4390545	         -1	          0	    5100	    18	       102	                46	                   0	
      4390645	         -1	          0	    5200	    19	       102	                46	                   0	
      4390745	         -1	          0	    5300	    19	       101	                46	                   0	
      4390845	         -1	          0	    5400	    19	       102	                46	                   0	
      4390945	         -1	          0	    5500	    20	       101	                47	                   0	
      4391045	         -1	          0	    5600	    19	       101	                47	                   0	
      4391145	         -1	          0	    5700	    20	       101	                47	                   0	
      4391245	         -1	          0	    5800	    20	       101	                47	                   0	
      4391345	         -1	          0	    5900	    20	       101	                47	                   0	
      4391445	         -1	          0	    6000	    20	       102	                47	                   0	
      4391545	         -1	          0	    6100	    21	       102	                47	                   0	
      4391645	         -1	          0	    6200	    20	       101	                47	                   0	
      4391745	         -1	          0	    6300	    21	       101	                47	                   0	
      4391845	         -1	          0	    6400	    21	       101	                47	                   0	
      4391945	         -1	          0	    6500	    22	       101	                48	                   0	
      4392045	         -1	          0	    6600	    21	       101	                48	                   0	
      4392145	         -1	          0	    6700	    22	       101	                48	                   0	
      4392245	         -1	          0	    6800	    22	       101	                48	                   0	
      4392345	         -1	          0	    6900	    22	       101	                48	                   0	
      4392445	         -1	          0	    7000	    22	       101	                48	                   0	
      4392545	         -1	          0	    7100	    23	       101	                48	                   0	
      4392645	         -1	          0	    7200	    23	       101	                48	                   0	
      4392745	         -1	          0	    7300	    23	       101	                48	                   0	
      4392845	         -1	          0	    7400	    23	       101	                48	                   0	
      4392945	         -1	          0	    7500	    23	       101	                49	                   0	
      4393045	         -1	          0	    7600	    24	       101	                49	                   0	
      4393145	         -1	          0	    7700	    24	       101	                49	                   0	
      4393245	         -1	          0	    7800	    24	       100	                49	                   0	
      4393345	         -1	          0	    7900	    24	       101	                49	                   0	
      4393445	         -1	          0	    8000	    24	       100	                49	                   0	
      4393545	         -1	          0	    8100	    24	       101	                49	                   0	
      4393645	         -1	          0	    8200	    24	       100	                49	                   0	
      4393749	         -1	          0	    8300	    25	       101	                49	                   0	
      4393849	         -1	          0	    8400	    25	       101	                49	                   0	
      4393949	         -1	          0	    8500	    24	       100	                49	                   0	
      4394049	         -1	          0	    8600	    25	       100	                49	                   0	
      4394149	         -1	          0	    8700	    26	       101	                49	                   0	
      4394249	         -1	          0	    8800	    26	       100	                49	                   0	
      4394349	         -1	          0	    8900	    26	       100	                50	                   0	
      4394449	         -1	          0	    9000	    26	       100	                50	                   0	
      4394549	         -1	          0	    9100	    25	       100	                50	                   0	
      4394649	         -1	          0	    9200	    26	       100	                50	                   0	
      4394749	         -1	          0	    9300	    26	       100	                50	                   0	
      4394849	         -1	          0	    9400	    26	       100	                50	                   0	
      4394948	         -1	          0	    9500	    26	       100	                50	                   0	
      4395049	         -1	          0	    9600	    27	       100	                50	                   0	
      4395149	         -1	          0	    9700	    26	       100	                50	                   0	
      4395249	         -1	          0	    9800	    27	       100	                50	                   0	
      4395348	         -1	          0	    9900	    27	       100	                50	                   0	
      4395449	         -1	          0	   10000	    27	       100	                50	                   0	
      4395548	         -1	          0	   10100	    27	       100	                50	                   0	
      4395648	         -1	          0	   10200	    27	       100	                50	                   0	
      4395749	         -1	          0	   10300	    28	       100	                51	                   0	
      4395848	         -1	          0	   10400	    27	       100	                50	                   0	
      4395948	         -1	          0	   10500	    28	       100	                51	                   0	
      4396048	         -1	          0	   10600	    28	       100	                51	                   0	
      4396148	         -1	          0	   10700	    28	       100	                51	                   0	
      4396248	         -1	          0	   10800	    28	       100	                51	                   0	
      4396348	         -1	          0	   10900	    28	       100	                51	                   0	
      4396448	         -1	          0	   11000	    28	       100	                51	                   0	
      4396548	         -1	          0	   11100	    29	       100	                51	                   0	
      4396648	         -1	          0	   11200	    29	       100	                51	                   0	
      4396748	         -1	          0	   11300	    29	       100	                51	                   0	
      4396848	         -1	          0	   11400	    29	       100	                51	                   0	
      4396948	         -1	          0	   11500	    29	       100	                51	                   0	
      4397048	         -1	          0	   11600	    29	        99	                51	                   0	
      4397148	         -1	          0	   11700	    29	       100	                51	                   0	
      4397248	         -1	          0	   11800	    30	        99	                51	                   0	
      4397348	         -1	          0	   11900	    30	        99	                51	                   0	
      4397448	         -1	          0	   12000	    29	       100	                51	                   0	
      4397548	         -1	          0	   12100	    29	       100	                51	                   0	
      4397648	         -1	          0	   12200	    29	       100	                51	                   0	
      4397748	         -1	          0	   12300	    29	       100	                51	                   0	
      4397848	         -1	          0	   12400	    30	       100	                51	                   0	
      4397948	         -1	          0	   12500	    29	       100	                51	                   0	
