TimeStamp	ForceValue	AxialAngle	LateralAngle	MetalSeverity	InAccurateSeverity	NeedZeroing	
  9847642	   12.6975	       -94	          86	            0	                 0	          0	
  9847692	  13.04824	       -94	          86	            0	                 0	          0	
  9847742	  13.27288	       -94	          86	            0	                 0	          0	
  9847792	  13.10288	       -94	          85	            0	                 0	          0	
  9847842	  13.18612	       -94	          86	            0	                 0	          0	
  9847892	  13.00694	       -93	          89	            0	                 0	          0	
  9847942	  12.73815	       -93	          84	            0	                 0	          0	
  9847992	  12.86202	       -94	          83	            0	                 0	          0	
  9848042	  12.74893	       -93	          86	            0	                 0	          0	
  9848092	  12.70515	       -93	          85	            0	                 0	          0	
  9848142	  12.65336	       -93	          84	            0	                 0	          0	
  9848192	  12.45208	       -93	          83	            0	                 0	          0	
  9848242	  12.75154	       -93	          81	            0	                 0	          0	
  9848292	  12.82828	       -93	          84	            0	                 0	          0	
  9848342	  12.59023	       -92	          87	            0	                 0	          0	
  9848392	  12.71117	       -90	          85	            0	                 0	          0	
  9848442	  12.86389	       -91	          90	            0	                 0	          0	
  9848492	  12.90603	       -92	          90	            0	                 0	          0	
  9848542	  13.05214	       -93	          84	            0	                 0	          0	
  9848592	  12.88996	       -95	          86	            0	                 0	          0	
  9848642	  12.62366	       -94	          91	            0	                 0	          0	
  9848692	  12.56767	       -92	          88	            0	                 0	          0	
  9848742	  12.64495	       -92	          86	            0	                 0	          0	
  9848792	  12.76344	       -92	          88	            0	                 0	          0	
  9848842	  12.63482	       -91	          90	            0	                 0	          0	
  9848892	  12.50597	       -91	          90	            0	                 0	          0	
  9848942	  12.57092	       -93	          91	            0	                 0	          0	
  9848992	  12.82192	       -92	          87	            0	                 0	          0	
  9849042	   13.1141	       -93	          84	            0	                 0	          0	
  9849092	  12.83866	       -94	          89	            0	                 0	          0	
  9849142	  12.20444	       -93	          91	            0	                 0	          0	
  9849192	  12.45811	       -93	          88	            0	                 0	          0	
  9849242	  12.88977	       -93	          88	            0	                 0	          0	
  9849292	  13.13764	       -93	          89	            0	                 0	          0	
  9849342	  13.10505	       -93	          86	            0	                 0	          0	
  9849392	  12.55147	       -92	          88	            0	                 0	          0	
  9849442	  12.76168	       -92	          91	            0	                 0	          0	
  9849492	  12.77711	       -92	          88	            0	                 0	          0	
  9849542	  12.74313	       -94	          81	            0	                 0	          0	
  9849592	  12.87159	       -93	          82	            0	                 0	          0	
  9849642	  12.70107	       -93	          89	            0	                 0	          0	
  9849692	  12.97457	       -93	          86	            0	                 0	          0	
  9849742	  13.13373	       -92	          85	            0	                 0	          0	
  9849792	  12.75447	       -93	          88	            0	                 0	          0	
  9849842	  12.80298	       -92	          89	            0	                 0	          0	
  9849892	  12.85707	       -92	          90	            0	                 0	          0	
  9849942	  12.60458	       -93	          90	            0	                 0	          0	
  9849992	   12.5581	       -93	          90	            0	                 0	          0	
  9850042	  12.81952	       -92	          89	            0	                 0	          0	
  9850092	  12.95307	       -92	          89	            0	                 0	          0	
  9850142	  12.77722	       -92	          90	            0	                 0	          0	
  9850192	  12.71028	       -93	          91	            0	                 0	          0	
  9850242	  12.83614	       -94	          93	            0	                 0	          0	
  9850292	  12.61543	       -93	          89	            0	                 0	          0	
  9850342	  12.48802	       -92	          88	            0	                 0	          0	
  9850392	  12.53906	       -93	          92	            0	                 0	          0	
  9850442	  12.73207	       -94	          91	            0	                 0	          0	
  9850492	   12.6455	       -93	          90	            0	                 0	          0	
  9850542	  12.82303	       -91	          91	            0	                 0	          0	
  9850592	  13.10543	       -91	          92	            0	                 0	          0	
  9850642	  12.98962	       -91	          95	            0	                 0	          0	
  9850692	   12.8696	       -92	          92	            0	                 0	          0	
  9850742	  12.91866	       -93	          91	            0	                 0	          0	
  9850792	  12.84509	       -92	          93	            0	                 0	          0	
  9850842	  12.45584	       -91	          92	            0	                 0	          0	
  9850892	  12.65987	       -91	          91	            0	                 0	          0	
  9850942	  12.77396	       -92	          95	            0	                 0	          0	
  9850992	  12.71036	       -92	          91	            0	                 0	          0	
  9851042	  12.59956	       -91	          85	            0	                 0	          0	
  9851092	  12.45348	       -91	          89	            0	                 0	          0	
  9851142	  12.80522	       -91	          91	            0	                 0	          0	
  9851192	   12.7946	       -92	          89	            0	                 0	          0	
  9851242	  12.80206	       -92	          90	            0	                 0	          0	
  9851292	  12.96241	       -93	          88	            0	                 0	          0	
  9851342	  12.85569	       -94	          87	            0	                 0	          0	
  9851392	  12.65084	       -92	          91	            0	                 0	          0	
  9851442	  12.53501	       -91	          92	            0	                 0	          0	
  9851492	  12.51358	       -91	          94	            0	                 0	          0	
  9851542	  12.52717	       -91	          94	            0	                 0	          0	
  9851592	  12.68693	       -91	          92	            0	                 0	          0	
  9851642	  12.71911	       -93	          92	            0	                 0	          0	
  9851692	  12.57796	       -93	          90	            0	                 0	          0	
  9851742	  12.73773	       -91	          92	            0	                 0	          0	
  9851792	  12.88767	       -92	          93	            0	                 0	          0	
  9851842	  12.80866	       -93	          92	            0	                 0	          0	
  9851892	  12.69593	       -92	          91	            0	                 0	          0	
  9851942	  12.74958	       -93	          93	            0	                 0	          0	
  9851992	  12.98063	       -93	          93	            0	                 0	          0	
  9852042	  13.04895	       -91	          92	            0	                 0	          0	
  9852092	  12.66193	       -90	          92	            0	                 0	          0	
  9852142	  12.47826	       -91	          90	            0	                 0	          0	
  9852192	  12.72807	       -92	          88	            0	                 0	          0	
  9852242	  12.87614	       -93	          91	            0	                 0	          0	
  9852292	  13.25031	       -94	          98	            0	                 0	          0	
  9852342	  13.00771	       -93	          96	            0	                 0	          0	
  9852392	  12.80842	       -92	          92	            0	                 0	          0	
  9852442	  13.12214	       -93	          92	            0	                 0	          0	
  9852492	  13.09764	       -94	          93	            0	                 0	          0	
  9852542	  12.65814	       -92	          95	            0	                 0	          0	
  9852592	  12.48049	       -92	          95	            0	                 0	          0	
  9852642	  12.91973	       -94	          94	            0	                 0	          0	
  9852692	  13.16536	       -93	          96	            0	                 0	          0	
  9852742	  12.95844	       -92	          93	            0	                 0	          0	
  9852792	  12.91664	       -93	          91	            0	                 0	          0	
  9852842	  13.23956	       -93	          92	            0	                 0	          0	
  9852892	  13.29363	       -92	          92	            0	                 0	          0	
  9852942	  12.88167	       -92	          93	            0	                 0	          0	
  9852992	  12.82412	       -92	          92	            0	                 0	          0	
  9853042	  12.61029	       -91	          91	            0	                 0	          0	
  9853092	  12.51363	       -91	          94	            0	                 0	          0	
  9853142	  12.66523	       -92	          95	            0	                 0	          0	
  9853192	  12.84209	       -91	          93	            0	                 0	          0	
  9853242	  12.91782	       -92	          92	            0	                 0	          0	
  9853292	  13.04086	       -92	          93	            0	                 0	          0	
  9853342	  13.33771	       -92	          95	            0	                 0	          0	
  9853392	  13.01726	       -93	          91	            0	                 0	          0	
  9853442	  12.64331	       -93	          88	            0	                 0	          0	
  9853492	   12.5839	       -92	          94	            0	                 0	          0	
  9853542	   12.9546	       -92	          96	            0	                 0	          0	
  9853592	  13.06448	       -93	          93	            0	                 0	          0	
  9853642	  12.84003	       -93	          93	            0	                 0	          0	
  9853692	  12.66453	       -91	          95	            0	                 0	          0	
  9853742	  12.59649	       -92	          94	            0	                 0	          0	
  9853792	   12.5954	       -92	          89	            0	                 0	          0	
  9853842	  12.75334	       -93	          91	            0	                 0	          0	
  9853892	  12.86712	       -93	          98	            0	                 0	          0	
  9853942	  12.73322	       -92	          99	            0	                 0	          0	
  9853992	  12.74773	       -93	          94	            0	                 0	          0	
  9854042	  12.84611	       -93	          95	            0	                 0	          0	
  9854092	  12.89102	       -92	          94	            0	                 0	          0	
  9854142	  12.81962	       -91	          88	            0	                 0	          0	
  9854192	  12.82255	       -91	          87	            0	                 0	          0	
  9854242	  12.78244	       -92	          92	            0	                 0	          0	
  9854292	   12.7997	       -91	          95	            0	                 0	          0	
  9854342	  13.04096	       -91	          95	            0	                 0	          0	
  9854392	  13.20532	       -92	          95	            0	                 0	          0	
  9854442	  13.11444	       -93	          97	            0	                 0	          0	
  9854492	  12.90879	       -92	          98	            0	                 0	          0	
  9854542	  12.58177	       -92	          97	            0	                 0	          0	
  9854592	  12.53706	       -92	          91	            0	                 0	          0	
  9854642	  12.77896	       -91	          93	            0	                 0	          0	
  9854692	  12.93412	       -92	          97	            0	                 0	          0	
  9854742	  13.05502	       -92	          96	            0	                 0	          0	
  9854792	  12.85617	       -92	          94	            0	                 0	          0	
  9854842	  12.66239	       -92	          97	            0	                 0	          0	
  9854892	  12.71138	       -91	          99	            0	                 0	          0	
  9854942	  12.79887	       -90	          96	            0	                 0	          0	
  9854992	  12.87144	       -91	          95	            0	                 0	          0	
  9855042	  12.61846	       -92	          94	            0	                 0	          0	
  9855092	  12.76501	       -91	          94	            0	                 0	          0	
  9855142	  13.33434	       -90	          95	            0	                 0	          0	
  9855192	  13.26436	       -92	          92	            0	                 0	          0	
  9855242	  12.83094	       -93	          96	            0	                 0	          0	
  9855292	  12.69075	       -93	          99	            0	                 0	          0	
  9855342	  12.90206	       -92	          94	            0	                 0	          0	
  9855392	  13.09907	       -91	          94	            0	                 0	          0	
  9855442	  12.99671	       -91	          94	            0	                 0	          0	
  9855492	  12.94939	       -91	          94	            0	                 0	          0	
  9855542	  12.81407	       -91	          95	            0	                 0	          0	
  9855592	   12.7711	       -91	          96	            0	                 0	          0	
  9855642	  12.60365	       -93	          94	            0	                 0	          0	
  9855692	  12.43764	       -93	          92	            0	                 0	          0	
  9855742	   12.9906	       -90	          97	            0	                 0	          0	
  9855792	  12.97299	       -91	          97	            0	                 0	          0	
  9855842	  12.67521	       -92	          95	            0	                 0	          0	
  9855892	  12.80909	       -92	          94	            0	                 0	          0	
  9855942	  13.02179	       -92	          96	            0	                 0	          0	
  9855992	  12.99199	       -93	          93	            0	                 0	          0	
  9856042	  12.56387	       -94	          90	            0	                 0	          0	
  9856092	  12.57777	       -92	          95	            0	                 0	          0	
  9856142	  12.77123	       -91	          95	            0	                 0	          0	
  9856192	  12.84363	       -93	          93	            0	                 0	          0	
  9856242	  13.08627	       -93	          96	            0	                 0	          0	
  9856292	  12.98237	       -90	          96	            0	                 0	          0	
  9856342	  12.69277	       -90	          93	            0	                 0	          0	
  9856392	  12.49547	       -93	          94	            0	                 0	          0	
  9856442	  12.69618	       -91	          97	            0	                 0	          0	
  9856492	  12.70912	       -90	          94	            0	                 0	          0	
  9856542	  12.65415	       -91	          89	            0	                 0	          0	
  9856592	  12.75117	       -92	          93	            0	                 0	          0	
  9856642	  12.98836	       -92	         101	            0	                 0	          0	
  9856692	  13.02653	       -91	         101	            0	                 0	          0	
  9856742	  12.55665	       -91	          93	            0	                 0	          0	
  9856792	  12.72886	       -91	          92	            0	                 0	          0	
  9856842	  13.01296	       -91	          91	            0	                 0	          0	
  9856892	  12.90132	       -91	          91	            0	                 0	          0	
  9856942	  13.02339	       -92	          94	            0	                 0	          0	
  9856992	  12.97108	       -93	          97	            0	                 0	          0	
  9857042	  12.51205	       -92	          94	            0	                 0	          0	
  9857092	  12.78871	       -91	          89	            0	                 0	          0	
  9857142	   12.9686	       -91	          93	            0	                 0	          0	
  9857192	  12.57201	       -91	          91	            0	                 0	          0	
  9857242	  12.69618	       -92	          92	            0	                 0	          0	
  9857292	  12.77068	       -93	          93	            0	                 0	          0	
  9857342	  12.75548	       -92	          92	            0	                 0	          0	
  9857392	   12.8258	       -92	          94	            0	                 0	          0	
  9857442	  12.42346	       -93	          93	            0	                 0	          0	
  9857492	  12.38525	       -91	          96	            0	                 0	          0	
  9857542	  13.02816	       -92	         102	            0	                 0	          0	
  9857592	  13.17535	       -94	          99	            0	                 0	          0	
  9857642	  12.93586	       -92	          94	            0	                 0	          0	
  9857692	  12.65617	       -93	          93	            0	                 0	          0	
  9857742	  12.60791	       -93	          95	            0	                 0	          0	
  9857792	  12.69036	       -92	          96	            0	                 0	          0	
  9857842	  12.62595	       -92	          92	            0	                 0	          0	
  9857892	  12.74764	       -91	          92	            0	                 0	          0	
  9857942	  12.73694	       -92	          98	            0	                 0	          0	
  9857992	  12.93846	       -93	         102	            0	                 0	          0	
  9858042	  12.95426	       -92	         100	            0	                 0	          0	
  9858092	  12.57095	       -92	          96	            0	                 0	          0	
  9858142	  12.68535	       -92	          97	            0	                 0	          0	
  9858192	  13.03299	       -92	          98	            0	                 0	          0	
  9858242	  13.13076	       -92	          97	            0	                 0	          0	
