TimeStamp	ForceValue	AxialAngle	LateralAngle	MetalSeverity	InAccurateSeverity	NeedZeroing	
  9684842	  22.30679	       -73	          74	            0	                 0	          0	
  9684892	  22.67804	       -74	          72	            0	                 0	          0	
  9684942	  22.77784	       -74	          72	            0	                 0	          0	
  9684992	  22.79628	       -75	          72	            0	                 0	          0	
  9685042	  23.06302	       -75	          70	            0	                 0	          0	
  9685092	  22.73425	       -74	          72	            0	                 0	          0	
  9685142	  22.69993	       -74	          71	            0	                 0	          0	
  9685192	  22.96493	       -73	          70	            0	                 0	          0	
  9685242	  22.96826	       -73	          73	            0	                 0	          0	
  9685292	  22.97004	       -73	          73	            0	                 0	          0	
  9685342	  22.64903	       -74	          72	            0	                 0	          0	
  9685392	  22.56959	       -75	          72	            0	                 0	          0	
  9685442	    22.714	       -74	          71	            0	                 0	          0	
  9685492	   22.5844	       -73	          71	            0	                 0	          0	
  9685542	  22.34413	       -74	          74	            0	                 0	          0	
  9685592	  22.13709	       -74	          75	            0	                 0	          0	
  9685642	  22.77407	       -74	          73	            0	                 0	          0	
  9685692	  22.86518	       -74	          74	            0	                 0	          0	
  9685742	  22.76422	       -74	          74	            0	                 0	          0	
  9685792	  22.74735	       -73	          73	            0	                 0	          0	
  9685842	  22.75218	       -74	          72	            0	                 0	          0	
  9685892	  22.81946	       -74	          72	            0	                 0	          0	
  9685942	   22.2107	       -73	          75	            0	                 0	          0	
  9685992	  22.13491	       -73	          76	            0	                 0	          0	
  9686042	  22.22245	       -74	          76	            0	                 0	          0	
  9686092	  22.23174	       -74	          74	            0	                 0	          0	
  9686142	  22.30513	       -73	          74	            0	                 0	          0	
  9686192	  22.08407	       -73	          77	            0	                 0	          0	
  9686242	  22.19798	       -73	          77	            0	                 0	          0	
  9686292	  22.65623	       -74	          74	            0	                 0	          0	
  9686342	  22.60444	       -73	          75	            0	                 0	          0	
  9686392	  22.67826	       -73	          74	            0	                 0	          0	
  9686442	   22.7753	       -73	          72	            0	                 0	          0	
  9686492	  22.85881	       -73	          73	            0	                 0	          0	
  9686542	  23.01098	       -74	          72	            0	                 0	          0	
  9686592	  22.81645	       -74	          72	            0	                 0	          0	
  9686642	  22.48458	       -74	          74	            0	                 0	          0	
  9686692	  22.38545	       -74	          77	            0	                 0	          0	
  9686742	  22.32609	       -74	          77	            0	                 0	          0	
  9686792	  22.27034	       -74	          76	            0	                 0	          0	
  9686842	  22.58487	       -74	          76	            0	                 0	          0	
  9686892	  22.59172	       -73	          77	            0	                 0	          0	
  9686942	  22.26146	       -74	          76	            0	                 0	          0	
  9686992	  22.11384	       -74	          77	            0	                 0	          0	
  9687042	   22.2569	       -74	          76	            0	                 0	          0	
  9687092	  22.53694	       -73	          76	            0	                 0	          0	
  9687142	  22.46016	       -73	          76	            0	                 0	          0	
  9687192	  22.47373	       -73	          76	            0	                 0	          0	
  9687242	  22.39197	       -73	          78	            0	                 0	          0	
  9687292	  21.95912	       -73	          81	            0	                 0	          0	
  9687342	    21.648	       -74	          81	            0	                 0	          0	
  9687392	  21.87321	       -74	          77	            0	                 0	          0	
  9687442	  22.33939	       -74	          76	            0	                 0	          0	
  9687492	  22.36901	       -74	          76	            0	                 0	          0	
  9687542	  21.90719	       -74	          79	            0	                 0	          0	
  9687592	  21.84568	       -74	          80	            0	                 0	          0	
  9687642	  22.43717	       -74	          77	            0	                 0	          0	
  9687692	  22.59913	       -74	          77	            0	                 0	          0	
  9687742	  22.42237	       -74	          80	            0	                 0	          0	
  9687792	  22.02845	       -74	          80	            0	                 0	          0	
  9687842	  22.21739	       -73	          77	            0	                 0	          0	
  9687892	  22.61792	       -73	          77	            0	                 0	          0	
  9687942	  22.48535	       -73	          79	            0	                 0	          0	
  9687992	  22.23988	       -73	          79	            0	                 0	          0	
  9688042	  22.20917	       -73	          78	            0	                 0	          0	
