PiuTimeStamp	Irrigation	Power Mode	AblTime1	Power1	Impedance1	DistalTemperature1	ProximalTemperature1	
      9796012	         -1	          0	     200	     5	       133	                34	                   0	
      9796112	         -1	          0	     300	     6	       133	                34	                   0	
      9796213	         -1	          0	     400	     6	       133	                34	                   0	
      9796313	         -1	          0	     500	     6	       133	                34	                   0	
      9796413	         -1	          0	     600	     7	       133	                35	                   0	
      9796512	         -1	          0	     700	     8	       132	                35	                   0	
      9796612	         -1	          0	     800	     9	       132	                35	                   0	
      9796712	         -1	          0	     900	     9	       132	                36	                   0	
      9796812	         -1	          0	    1000	     9	       132	                36	                   0	
      9796912	         -1	          0	    1100	     9	       132	                36	                   0	
      9797012	         -1	          0	    1200	    10	       131	                37	                   0	
      9797112	         -1	          0	    1300	    10	       132	                37	                   0	
      9797212	         -1	          0	    1400	    11	       131	                38	                   0	
      9797312	         -1	          0	    1500	    10	       131	                38	                   0	
      9797412	         -1	          0	    1600	    10	       131	                39	                   0	
      9797512	         -1	          0	    1700	    11	       131	                39	                   0	
      9797612	         -1	          0	    1800	    11	       131	                40	                   0	
      9797712	         -1	          0	    1900	    11	       131	                40	                   0	
      9797812	         -1	          0	    2000	    11	       130	                40	                   0	
      9797912	         -1	          0	    2100	    11	       131	                41	                   0	
      9798012	         -1	          0	    2200	    11	       131	                41	                   0	
      9798112	         -1	          0	    2300	    12	       131	                41	                   0	
      9798212	         -1	          0	    2400	    12	       130	                42	                   0	
      9798314	         -1	          0	    2500	    12	       130	                42	                   0	
      9798414	         -1	          0	    2600	    12	       130	                42	                   0	
      9798514	         -1	          0	    2700	    12	       130	                43	                   0	
      9798614	         -1	          0	    2800	    12	       130	                43	                   0	
      9798714	         -1	          0	    2900	    12	       130	                43	                   0	
      9798814	         -1	          0	    3000	    13	       130	                43	                   0	
      9798914	         -1	          0	    3100	    13	       130	                44	                   0	
      9799014	         -1	          0	    3200	    13	       130	                44	                   0	
      9799114	         -1	          0	    3300	    13	       130	                44	                   0	
      9799214	         -1	          0	    3400	    13	       130	                44	                   0	
      9799314	         -1	          0	    3500	    13	       129	                45	                   0	
      9799414	         -1	          0	    3600	    14	       130	                45	                   0	
      9799514	         -1	          0	    3700	    14	       130	                45	                   0	
      9799614	         -1	          0	    3800	    14	       130	                45	                   0	
      9799714	         -1	          0	    3900	    14	       130	                46	                   0	
      9799814	         -1	          0	    4000	    14	       129	                46	                   0	
      9799914	         -1	          0	    4100	    14	       129	                46	                   0	
