PiuTimeStamp	Irrigation	Power Mode	AblTime1	Power1	Impedance1	DistalTemperature1	ProximalTemperature1	
      4304560	         -1	          0	     600	     8	       112	                34	                   0	
      4304660	         -1	          0	     700	     9	       112	                34	                   0	
      4304760	         -1	          0	     800	     9	       112	                34	                   0	
      4304860	         -1	          0	     900	     9	       112	                35	                   0	
      4304960	         -1	          0	    1000	    10	       112	                35	                   0	
      4305060	         -1	          0	    1100	    10	       111	                36	                   0	
      4305160	         -1	          0	    1200	    10	       111	                36	                   0	
      4305260	         -1	          0	    1300	    11	       111	                37	                   0	
      4305360	         -1	          0	    1400	    11	       111	                37	                   0	
      4305460	         -1	          0	    1500	    12	       111	                38	                   0	
      4305560	         -1	          0	    1600	    11	       111	                38	                   0	
      4305660	         -1	          0	    1700	    11	       111	                39	                   0	
      4305760	         -1	          0	    1800	    12	       111	                39	                   0	
      4305860	         -1	          0	    1900	    12	       110	                40	                   0	
      4305960	         -1	          0	    2000	    12	       111	                40	                   0	
      4306060	         -1	          0	    2100	    12	       111	                40	                   0	
      4306160	         -1	          0	    2200	    12	       111	                41	                   0	
      4306260	         -1	          0	    2300	    12	       110	                41	                   0	
      4306360	         -1	          0	    2400	    13	       110	                41	                   0	
      4306460	         -1	          0	    2500	    13	       110	                42	                   0	
      4306560	         -1	          0	    2600	    13	       110	                42	                   0	
      4306660	         -1	          0	    2700	    13	       110	                42	                   0	
      4306760	         -1	          0	    2800	    13	       110	                42	                   0	
      4306860	         -1	          0	    2900	    13	       110	                43	                   0	
      4306960	         -1	          0	    3000	    14	       110	                43	                   0	
      4307060	         -1	          0	    3100	    14	       110	                43	                   0	
      4307160	         -1	          0	    3200	    14	       110	                44	                   0	
      4307260	         -1	          0	    3300	    14	       110	                44	                   0	
      4307360	         -1	          0	    3400	    14	       109	                44	                   0	
      4307460	         -1	          0	    3500	    14	       109	                44	                   0	
      4307560	         -1	          0	    3600	    15	       110	                45	                   0	
      4307660	         -1	          0	    3700	    15	       110	                45	                   0	
      4307760	         -1	          0	    3800	    15	       109	                45	                   0	
      4307860	         -1	          0	    3900	    15	       110	                45	                   0	
      4307960	         -1	          0	    4000	    15	       109	                45	                   0	
      4308060	         -1	          0	    4100	    15	       110	                46	                   0	
      4308160	         -1	          0	    4200	    16	       110	                46	                   0	
      4308260	         -1	          0	    4300	    16	       109	                46	                   0	
      4308360	         -1	          0	    4400	    16	       110	                46	                   0	
      4308460	         -1	          0	    4500	    16	       109	                46	                   0	
      4308560	         -1	          0	    4600	    16	       110	                46	                   0	
      4308660	         -1	          0	    4700	    16	       110	                47	                   0	
      4308759	         -1	          0	    4800	    16	       110	                47	                   0	
      4308860	         -1	          0	    4900	    16	       110	                47	                   0	
      4308959	         -1	          0	    5000	    16	       110	                47	                   0	
      4309059	         -1	          0	    5100	    17	       109	                47	                   0	
      4309159	         -1	          0	    5200	    17	       109	                47	                   0	
      4309259	         -1	          0	    5300	    17	       110	                48	                   0	
      4309359	         -1	          0	    5400	    17	       110	                48	                   0	
      4309459	         -1	          0	    5500	    17	       110	                48	                   0	
      4309559	         -1	          0	    5600	    17	       109	                48	                   0	
      4309659	         -1	          0	    5700	    17	       109	                48	                   0	
      4309759	         -1	          0	    5800	    17	       110	                48	                   0	
      4309859	         -1	          0	    5900	    18	       109	                48	                   0	
      4309959	         -1	          0	    6000	    18	       109	                48	                   0	
      4310059	         -1	          0	    6100	    18	       109	                49	                   0	
      4310159	         -1	          0	    6200	    18	       109	                49	                   0	
      4310259	         -1	          0	    6300	    18	       109	                49	                   0	
      4310359	         -1	          0	    6400	    18	       109	                49	                   0	
      4310459	         -1	          0	    6500	    18	       109	                49	                   0	
      4310559	         -1	          0	    6600	    19	       109	                49	                   0	
      4310659	         -1	          0	    6700	    18	       109	                49	                   0	
      4310759	         -1	          0	    6800	    19	       109	                49	                   0	
      4310859	         -1	          0	    6900	    19	       109	                49	                   0	
      4310959	         -1	          0	    7000	    19	       109	                50	                   0	
      4311059	         -1	          0	    7100	    19	       109	                50	                   0	
      4311159	         -1	          0	    7200	    19	       109	                50	                   0	
      4311259	         -1	          0	    7300	    19	       109	                50	                   0	
      4311359	         -1	          0	    7400	    20	       109	                50	                   0	
      4311459	         -1	          0	    7500	    19	       109	                50	                   0	
      4311559	         -1	          0	    7600	    20	       109	                50	                   0	
      4311659	         -1	          0	    7700	    19	       109	                50	                   0	
      4311759	         -1	          0	    7800	    20	       109	                50	                   0	
      4311859	         -1	          0	    7900	    20	       109	                50	                   0	
      4311959	         -1	          0	    8000	    20	       109	                50	                   0	
      4312059	         -1	          0	    8100	    20	       109	                50	                   0	
      4312159	         -1	          0	    8200	    20	       108	                51	                   0	
      4312259	         -1	          0	    8300	    20	       108	                51	                   0	
      4312359	         -1	          0	    8400	    20	       109	                51	                   0	
      4312459	         -1	          0	    8500	    21	       109	                51	                   0	
      4312559	         -1	          0	    8600	    20	       108	                51	                   0	
      4312659	         -1	          0	    8700	    20	       109	                51	                   0	
      4312759	         -1	          0	    8800	    21	       109	                51	                   0	
      4312859	         -1	          0	    8900	    20	       109	                51	                   0	
      4312959	         -1	          0	    9000	    20	       109	                51	                   0	
      4313059	         -1	          0	    9100	    21	       109	                51	                   0	
      4313159	         -1	          0	    9200	    21	       109	                51	                   0	
      4313259	         -1	          0	    9300	    20	       108	                51	                   0	
      4313359	         -1	          0	    9400	    21	       108	                51	                   0	
      4313459	         -1	          0	    9500	    21	       108	                51	                   0	
      4313559	         -1	          0	    9600	    21	       109	                51	                   0	
      4313659	         -1	          0	    9700	    21	       108	                52	                   0	
      4313759	         -1	          0	    9800	    21	       109	                52	                   0	
      4313861	         -1	          0	    9900	    21	       108	                52	                   0	
      4313962	         -1	          0	   10000	    22	       108	                52	                   0	
      4314061	         -1	          0	   10100	    22	       109	                52	                   0	
      4314162	         -1	          0	   10200	    21	       109	                52	                   0	
