PiuTimeStamp	Irrigation	Power Mode	AblTime1	Power1	Impedance1	DistalTemperature1	ProximalTemperature1	
      4511630	         -1	          0	    1800	     8	       104	                41	                   0	
      4511730	         -1	          0	    1900	     9	       103	                41	                   0	
      4511830	         -1	          0	    2000	     9	       103	                41	                   0	
      4511930	         -1	          0	    2100	     9	       103	                42	                   0	
      4512030	         -1	          0	    2200	     9	       103	                42	                   0	
      4512130	         -1	          0	    2300	     9	       103	                42	                   0	
      4512230	         -1	          0	    2400	    10	       103	                42	                   0	
      4512330	         -1	          0	    2500	    10	       103	                43	                   0	
      4512430	         -1	          0	    2600	    10	       103	                43	                   0	
      4512530	         -1	          0	    2700	    10	       103	                43	                   0	
      4512630	         -1	          0	    2800	    10	       103	                43	                   0	
      4512730	         -1	          0	    2900	    10	       103	                44	                   0	
      4512830	         -1	          0	    3000	    10	       103	                44	                   0	
      4512930	         -1	          0	    3100	    10	       103	                44	                   0	
      4513030	         -1	          0	    3200	    10	       103	                44	                   0	
      4513130	         -1	          0	    3300	    10	       103	                45	                   0	
      4513230	         -1	          0	    3400	    11	       103	                45	                   0	
      4513330	         -1	          0	    3500	    11	       103	                45	                   0	
      4513430	         -1	          0	    3600	    11	       103	                45	                   0	
      4513530	         -1	          0	    3700	    11	       103	                46	                   0	
      4513630	         -1	          0	    3800	    11	       103	                46	                   0	
      4513730	         -1	          0	    3900	    11	       103	                46	                   0	
      4513835	         -1	          0	    4000	    11	       103	                46	                   0	
      4513935	         -1	          0	    4100	    11	       102	                46	                   0	
      4514035	         -1	          0	    4200	    11	       103	                47	                   0	
      4514135	         -1	          0	    4300	    12	       102	                47	                   0	
      4514235	         -1	          0	    4400	    12	       103	                47	                   0	
      4514335	         -1	          0	    4500	    12	       103	                47	                   0	
      4514435	         -1	          0	    4600	    12	       102	                47	                   0	
      4514535	         -1	          0	    4700	    12	       103	                48	                   0	
      4514635	         -1	          0	    4800	    12	       102	                48	                   0	
      4514735	         -1	          0	    4900	    12	       102	                48	                   0	
      4514835	         -1	          0	    5000	    12	       103	                48	                   0	
      4514935	         -1	          0	    5100	    12	       103	                48	                   0	
      4515035	         -1	          0	    5200	    12	       102	                48	                   0	
      4515135	         -1	          0	    5300	    13	       103	                48	                   0	
      4515235	         -1	          0	    5400	    13	       103	                49	                   0	
      4515335	         -1	          0	    5500	    13	       103	                49	                   0	
      4515435	         -1	          0	    5600	    13	       103	                49	                   0	
      4515535	         -1	          0	    5700	    13	       102	                49	                   0	
      4515635	         -1	          0	    5800	    13	       102	                49	                   0	
      4515735	         -1	          0	    5900	    13	       102	                49	                   0	
      4515835	         -1	          0	    6000	    13	       102	                49	                   0	
      4515935	         -1	          0	    6100	    13	       102	                49	                   0	
      4516035	         -1	          0	    6200	    13	       102	                50	                   0	
      4516135	         -1	          0	    6300	    13	       102	                50	                   0	
      4516235	         -1	          0	    6400	    13	       102	                50	                   0	
      4516334	         -1	          0	    6500	    14	       102	                50	                   0	
      4516434	         -1	          0	    6600	    13	       102	                50	                   0	
      4516534	         -1	          0	    6700	    13	       102	                50	                   0	
      4516634	         -1	          0	    6800	    13	       102	                50	                   0	
      4516734	         -1	          0	    6900	    14	       102	                50	                   0	
      4516834	         -1	          0	    7000	    14	       102	                50	                   0	
      4516934	         -1	          0	    7100	    14	       102	                50	                   0	
      4517034	         -1	          0	    7200	    14	       102	                51	                   0	
      4517134	         -1	          0	    7300	    14	       102	                51	                   0	
      4517234	         -1	          0	    7400	    14	       102	                51	                   0	
      4517334	         -1	          0	    7500	    14	       102	                51	                   0	
      4517434	         -1	          0	    7600	    14	       102	                51	                   0	
      4517534	         -1	          0	    7700	    14	       102	                51	                   0	
      4517634	         -1	          0	    7800	    14	       102	                51	                   0	
      4517734	         -1	          0	    7900	    14	       102	                51	                   0	
      4517834	         -1	          0	    8000	    15	       102	                51	                   0	
      4517934	         -1	          0	    8100	    14	       102	                51	                   0	
      4518034	         -1	          0	    8200	    14	       102	                51	                   0	
      4518134	         -1	          0	    8300	    14	       102	                51	                   0	
      4518234	         -1	          0	    8400	    15	       102	                51	                   0	
      4518334	         -1	          0	    8500	    14	       102	                52	                   0	
      4518434	         -1	          0	    8600	    15	       102	                52	                   0	
      4518534	         -1	          0	    8700	    14	       102	                52	                   0	
      4518634	         -1	          0	    8800	    14	       102	                52	                   0	
      4518734	         -1	          0	    8900	    15	       102	                52	                   0	
      4518834	         -1	          0	    9000	    15	       102	                52	                   0	
      4518934	         -1	          0	    9100	    15	       102	                52	                   0	
      4519034	         -1	          0	    9200	    15	       102	                52	                   0	
      4519134	         -1	          0	    9300	    15	       102	                52	                   0	
      4519234	         -1	          0	    9400	    15	       102	                52	                   0	
      4519334	         -1	          0	    9500	    15	       102	                52	                   0	
      4519434	         -1	          0	    9600	    15	       102	                52	                   0	
      4519534	         -1	          0	    9700	    15	       102	                52	                   0	
      4519634	         -1	          0	    9800	    15	       102	                52	                   0	
      4519734	         -1	          0	    9900	    15	       102	                53	                   0	
      4519834	         -1	          0	   10000	    15	       102	                52	                   0	
      4519934	         -1	          0	   10100	    15	       102	                52	                   0	
      4520034	         -1	          0	   10200	    15	       102	                53	                   0	
      4520134	         -1	          0	   10300	    15	       102	                53	                   0	
      4520234	         -1	          0	   10400	    15	       101	                53	                   0	
      4520334	         -1	          0	   10500	    16	       101	                53	                   0	
      4520434	         -1	          0	   10600	    15	       101	                53	                   0	
      4520534	         -1	          0	   10700	    15	       102	                53	                   0	
      4520634	         -1	          0	   10800	    15	       102	                53	                   0	
      4520734	         -1	          0	   10900	    15	       101	                53	                   0	
      4520834	         -1	          0	   11000	    15	       102	                53	                   0	
      4520934	         -1	          0	   11100	    16	       102	                53	                   0	
      4521034	         -1	          0	   11200	    15	       101	                53	                   0	
      4521134	         -1	          0	   11300	    16	       102	                53	                   0	
      4521234	         -1	          0	   11400	    16	       101	                53	                   0	
      4521334	         -1	          0	   11500	    15	       101	                53	                   0	
      4521434	         -1	          0	   11600	    16	       102	                53	                   0	
      4521534	         -1	          0	   11700	    15	       102	                53	                   0	
      4521634	         -1	          0	   11800	    15	       102	                53	                   0	
      4521734	         -1	          0	   11900	    15	       101	                53	                   0	
      4521834	         -1	          0	   12000	    16	       101	                53	                   0	
      4521934	         -1	          0	   12100	    16	       101	                53	                   0	
      4522034	         -1	          0	   12200	    16	       102	                53	                   0	
      4522134	         -1	          0	   12300	    16	       102	                53	                   0	
      4522234	         -1	          0	   12400	    15	       102	                53	                   0	
      4522333	         -1	          0	   12500	    16	       102	                53	                   0	
      4522433	         -1	          0	   12600	    16	       101	                53	                   0	
      4522533	         -1	          0	   12700	    16	       101	                53	                   0	
      4522633	         -1	          0	   12800	    16	       102	                53	                   0	
      4522733	         -1	          0	   12900	    16	       102	                54	                   0	
      4522833	         -1	          0	   13000	    16	       102	                53	                   0	
      4522933	         -1	          0	   13100	    16	       102	                54	                   0	
      4523033	         -1	          0	   13200	    16	       102	                54	                   0	
      4523133	         -1	          0	   13300	    16	       102	                54	                   0	
      4523233	         -1	          0	   13400	    16	       102	                54	                   0	
      4523333	         -1	          0	   13500	    16	       101	                54	                   0	
      4523433	         -1	          0	   13600	    16	       101	                54	                   0	
      4523533	         -1	          0	   13700	    16	       102	                54	                   0	
      4523633	         -1	          0	   13800	    16	       101	                54	                   0	
      4523733	         -1	          0	   13900	    16	       102	                54	                   0	
      4523833	         -1	          0	   14000	    16	       102	                54	                   0	
      4523933	         -1	          0	   14100	    16	       102	                54	                   0	
      4524033	         -1	          0	   14200	    16	       102	                54	                   0	
      4524133	         -1	          0	   14300	    16	       102	                54	                   0	
      4524233	         -1	          0	   14400	    16	       101	                54	                   0	
      4524333	         -1	          0	   14500	    16	       102	                54	                   0	
      4524433	         -1	          0	   14600	    16	       102	                54	                   0	
      4524533	         -1	          0	   14700	    16	       102	                54	                   0	
      4524633	         -1	          0	   14800	    16	       102	                54	                   0	
      4524733	         -1	          0	   14900	    16	       101	                54	                   0	
      4524833	         -1	          0	   15000	    16	       102	                54	                   0	
      4524933	         -1	          0	   15100	    16	       101	                54	                   0	
      4525033	         -1	          0	   15200	    16	       101	                54	                   0	
      4525133	         -1	          0	   15300	    16	       102	                54	                   0	
      4525233	         -1	          0	   15400	    16	       101	                54	                   0	
      4525333	         -1	          0	   15500	    16	       101	                54	                   0	
      4525433	         -1	          0	   15600	    16	       101	                54	                   0	
      4525533	         -1	          0	   15700	    16	       101	                54	                   0	
      4525633	         -1	          0	   15800	    16	       102	                54	                   0	
      4525733	         -1	          0	   15900	    16	       101	                54	                   0	
      4525833	         -1	          0	   16000	    16	       101	                54	                   0	
      4525933	         -1	          0	   16100	    16	       101	                54	                   0	
      4526033	         -1	          0	   16200	    16	       101	                54	                   0	
      4526133	         -1	          0	   16300	    16	       101	                54	                   0	
      4526233	         -1	          0	   16400	    16	       102	                54	                   0	
      4526333	         -1	          0	   16500	    16	       101	                54	                   0	
      4526433	         -1	          0	   16600	    16	       101	                54	                   0	
      4526533	         -1	          0	   16700	    16	       102	                54	                   0	
      4526633	         -1	          0	   16800	    16	       101	                54	                   0	
      4526733	         -1	          0	   16900	    16	       101	                54	                   0	
      4526833	         -1	          0	   17000	    16	       101	                54	                   0	
      4526933	         -1	          0	   17100	    16	       102	                54	                   0	
      4527033	         -1	          0	   17200	    16	       101	                54	                   0	
      4527133	         -1	          0	   17300	    16	       102	                54	                   0	
      4527233	         -1	          0	   17400	    16	       101	                54	                   0	
      4527333	         -1	          0	   17500	    16	       101	                54	                   0	
      4527433	         -1	          0	   17600	    16	       102	                54	                   0	
      4527533	         -1	          0	   17700	    16	       101	                54	                   0	
      4527633	         -1	          0	   17800	    16	       102	                54	                   0	
      4527733	         -1	          0	   17900	    16	       101	                54	                   0	
      4527833	         -1	          0	   18000	    16	       101	                54	                   0	
      4527933	         -1	          0	   18100	    16	       102	                54	                   0	
      4528033	         -1	          0	   18200	    16	       101	                54	                   0	
      4528132	         -1	          0	   18300	    16	       101	                54	                   0	
      4528232	         -1	          0	   18400	    16	       101	                54	                   0	
      4528332	         -1	          0	   18500	    16	       101	                54	                   0	
      4528432	         -1	          0	   18600	    16	       102	                54	                   0	
      4528532	         -1	          0	   18700	    16	       101	                54	                   0	
      4528632	         -1	          0	   18800	    16	       102	                54	                   0	
      4528732	         -1	          0	   18900	    16	       102	                54	                   0	
      4528832	         -1	          0	   19000	    16	       101	                54	                   0	
      4528932	         -1	          0	   19100	    16	       101	                54	                   0	
      4529032	         -1	          0	   19200	    16	       101	                54	                   0	
      4529132	         -1	          0	   19300	    16	       101	                54	                   0	
      4529232	         -1	          0	   19400	    16	       102	                54	                   0	
      4529332	         -1	          0	   19500	    16	       101	                54	                   0	
      4529432	         -1	          0	   19600	    16	       101	                54	                   0	
      4529532	         -1	          0	   19700	    16	       101	                54	                   0	
      4529632	         -1	          0	   19800	    16	       101	                54	                   0	
      4529732	         -1	          0	   19900	    16	       101	                54	                   0	
      4529832	         -1	          0	   20000	    16	       101	                54	                   0	
      4529932	         -1	          0	   20100	    16	       102	                55	                   0	
      4530032	         -1	          0	   20200	    16	       101	                54	                   0	
      4530132	         -1	          0	   20300	    16	       101	                54	                   0	
      4530232	         -1	          0	   20400	    16	       101	                54	                   0	
      4530332	         -1	          0	   20500	    16	       101	                54	                   0	
      4530432	         -1	          0	   20600	    16	       101	                54	                   0	
      4530532	         -1	          0	   20700	    16	       101	                54	                   0	
      4530632	         -1	          0	   20800	    16	       101	                54	                   0	
      4530732	         -1	          0	   20900	    16	       101	                54	                   0	
      4530832	         -1	          0	   21000	    16	       101	                54	                   0	
      4530932	         -1	          0	   21100	    16	       101	                54	                   0	
      4531032	         -1	          0	   21200	    16	       101	                54	                   0	
      4531132	         -1	          0	   21300	    16	       102	                54	                   0	
      4531232	         -1	          0	   21400	    16	       101	                54	                   0	
      4531332	         -1	          0	   21500	    16	       101	                54	                   0	
      4531432	         -1	          0	   21600	    16	       101	                54	                   0	
      4531532	         -1	          0	   21700	    16	       101	                54	                   0	
      4531632	         -1	          0	   21800	    16	       101	                54	                   0	
      4531732	         -1	          0	   21900	    16	       101	                54	                   0	
      4531832	         -1	          0	   22000	    16	       101	                54	                   0	
      4531932	         -1	          0	   22100	    16	       101	                54	                   0	
      4532032	         -1	          0	   22200	    16	       101	                54	                   0	
      4532132	         -1	          0	   22300	    16	       101	                54	                   0	
      4532232	         -1	          0	   22400	    16	       101	                54	                   0	
      4532332	         -1	          0	   22500	    16	       101	                54	                   0	
      4532432	         -1	          0	   22600	    16	       101	                54	                   0	
      4532532	         -1	          0	   22700	    17	       101	                54	                   0	
      4532632	         -1	          0	   22800	    16	       101	                54	                   0	
      4532732	         -1	          0	   22900	    16	       101	                54	                   0	
      4532832	         -1	          0	   23000	    16	       101	                54	                   0	
      4532932	         -1	          0	   23100	    16	       101	                54	                   0	
      4533032	         -1	          0	   23200	    16	       101	                54	                   0	
      4533131	         -1	          0	   23300	    16	       101	                54	                   0	
      4533231	         -1	          0	   23400	    16	       101	                54	                   0	
      4533331	         -1	          0	   23500	    16	       101	                54	                   0	
      4533431	         -1	          0	   23600	    16	       101	                54	                   0	
      4533531	         -1	          0	   23700	    16	       101	                54	                   0	
      4533632	         -1	          0	   23800	    16	       101	                55	                   0	
      4533732	         -1	          0	   23900	    16	       101	                54	                   0	
      4533831	         -1	          0	   24000	    16	       101	                54	                   0	
      4533927	         -1	          0	   24100	    16	       101	                54	                   0	
      4534027	         -1	          0	   24200	    16	       101	                54	                   0	
      4534127	         -1	          0	   24300	    16	       101	                54	                   0	
      4534227	         -1	          0	   24400	    16	       101	                54	                   0	
      4534327	         -1	          0	   24500	    16	       101	                54	                   0	
      4534427	         -1	          0	   24600	    16	       101	                54	                   0	
      4534527	         -1	          0	   24700	    16	       101	                54	                   0	
      4534627	         -1	          0	   24800	    16	       101	                54	                   0	
      4534727	         -1	          0	   24900	    16	       101	                55	                   0	
      4534827	         -1	          0	   25000	    16	       101	                54	                   0	
      4534927	         -1	          0	   25100	    16	       101	                54	                   0	
      4535027	         -1	          0	   25200	    16	       101	                55	                   0	
      4535127	         -1	          0	   25300	    16	       101	                55	                   0	
      4535227	         -1	          0	   25400	    16	       101	                55	                   0	
      4535327	         -1	          0	   25500	    16	       101	                55	                   0	
      4535427	         -1	          0	   25600	    16	       101	                54	                   0	
      4535527	         -1	          0	   25700	    16	       101	                55	                   0	
      4535627	         -1	          0	   25800	    16	       101	                55	                   0	
      4535727	         -1	          0	   25900	    16	       101	                54	                   0	
      4535827	         -1	          0	   26000	    16	       101	                55	                   0	
      4535927	         -1	          0	   26100	    16	       101	                55	                   0	
      4536027	         -1	          0	   26200	    16	       101	                55	                   0	
      4536127	         -1	          0	   26300	    16	       101	                55	                   0	
      4536227	         -1	          0	   26400	    16	       101	                55	                   0	
      4536327	         -1	          0	   26500	    16	       101	                55	                   0	
      4536427	         -1	          0	   26600	    16	       101	                55	                   0	
      4536527	         -1	          0	   26700	    16	       100	                55	                   0	
      4536627	         -1	          0	   26800	    16	       100	                54	                   0	
      4536727	         -1	          0	   26900	    16	       100	                55	                   0	
      4536827	         -1	          0	   27000	    16	        99	                55	                   0	
      4536927	         -1	          0	   27100	    16	        99	                54	                   0	
      4537027	         -1	          0	   27200	    16	        99	                54	                   0	
      4537127	         -1	          0	   27300	    16	        99	                54	                   0	
      4537227	         -1	          0	   27400	    16	        99	                54	                   0	
      4537327	         -1	          0	   27500	    16	        99	                54	                   0	
      4537427	         -1	          0	   27600	    16	       100	                54	                   0	
      4537527	         -1	          0	   27700	    16	       100	                54	                   0	
      4537627	         -1	          0	   27800	    16	       100	                54	                   0	
      4537727	         -1	          0	   27900	    16	        99	                54	                   0	
      4537827	         -1	          0	   28000	    17	       100	                54	                   0	
      4537927	         -1	          0	   28100	    17	       100	                54	                   0	
      4538027	         -1	          0	   28200	    17	       100	                54	                   0	
      4538127	         -1	          0	   28300	    17	       100	                54	                   0	
      4538227	         -1	          0	   28400	    17	       100	                54	                   0	
      4538327	         -1	          0	   28500	    17	       100	                54	                   0	
      4538427	         -1	          0	   28600	    17	       100	                54	                   0	
      4538527	         -1	          0	   28700	    17	       100	                54	                   0	
      4538627	         -1	          0	   28800	    17	       101	                54	                   0	
      4538727	         -1	          0	   28900	    17	       101	                54	                   0	
      4538827	         -1	          0	   29000	    17	       100	                54	                   0	
      4538927	         -1	          0	   29100	    17	       100	                54	                   0	
      4539027	         -1	          0	   29200	    17	       101	                54	                   0	
      4539127	         -1	          0	   29300	    17	       100	                54	                   0	
      4539227	         -1	          0	   29400	    17	       100	                54	                   0	
      4539327	         -1	          0	   29500	    17	       100	                54	                   0	
      4539427	         -1	          0	   29600	    17	       100	                54	                   0	
      4539526	         -1	          0	   29700	    17	       100	                54	                   0	
      4539626	         -1	          0	   29800	    17	       100	                54	                   0	
      4539726	         -1	          0	   29900	    17	       100	                54	                   0	
      4539826	         -1	          0	   30000	    17	       100	                54	                   0	
      4539926	         -1	          0	   30100	    17	       100	                54	                   0	
      4540026	         -1	          0	   30200	    17	       100	                55	                   0	
