2-Map_P2_ContactForce.txt_2.0
Rate=50	Number =200	Date:11/25/21	Point Time:15:01:33	System Time:15:01:33	
Mode=0
IntervalGraph=100
7442142	6.64174	137	24	0	0	0	
IntervalNonGraph=1000
7442542	5.97111	132	25	0	0	0	
Index	Time	Timestamp	ForceValue	AxialAngle	LateralAngle	MetalSeverity	InAccurateSeverity	NeedZeroing	
1	-7493	7432592	5.40079	-232	27	0	0	0	
2	-7443	7432642	5.309	-228	24	0	0	0	
3	-7393	7432692	5.26144	-241	25	0	0	0	
4	-7343	7432742	5.09917	-228	29	0	0	0	
5	-7293	7432792	5.16902	-231	29	0	0	0	
6	-7243	7432842	6.46524	-230	21	0	0	0	
7	-7193	7432892	5.68708	-223	22	0	0	0	
8	-7143	7432942	6.30793	-229	28	0	0	0	
9	-7093	7432992	7.03709	-224	18	0	0	0	
10	-7043	7433042	7.09155	-221	17	0	0	0	
11	-6993	7433092	6.4611	-229	22	0	0	0	
12	-6943	7433142	6.09668	-229	23	0	0	0	
13	-6893	7433192	7.11706	-239	19	0	0	0	
14	-6843	7433242	6.18713	-230	28	0	0	0	
15	-6793	7433292	5.58767	-235	27	0	0	0	
16	-6743	7433342	6.53814	-226	25	0	0	0	
17	-6693	7433392	6.76401	-233	21	0	0	0	
18	-6643	7433442	5.31138	-220	29	0	0	0	
19	-6593	7433492	6.2984	-247	24	0	0	0	
20	-6543	7433542	5.14861	-223	29	0	0	0	
21	-6493	7433592	5.52542	-222	26	0	0	0	
22	-6443	7433642	6.38342	-232	25	0	0	0	
23	-6393	7433692	5.91491	-225	25	0	0	0	
24	-6343	7433742	5.83249	-236	23	0	0	0	
25	-6293	7433792	7.5315	-221	22	0	0	0	
26	-6243	7433842	5.9506	-231	26	0	0	0	
27	-6193	7433892	5.37623	-230	23	0	0	0	
28	-6143	7433942	5.30705	-235	27	0	0	0	
29	-6093	7433992	6.34906	-228	21	0	0	0	
30	-6043	7434042	5.92097	-223	25	0	0	0	
31	-5993	7434092	5.08883	-233	29	0	0	0	
32	-5943	7434142	5.78841	-228	30	0	0	0	
33	-5893	7434192	6.32417	-227	29	0	0	0	
34	-5843	7434242	5.72447	-230	23	0	0	0	
35	-5793	7434292	5.90762	-235	18	0	0	0	
36	-5743	7434342	5.89731	-227	31	0	0	0	
37	-5693	7434392	6.58322	-222	24	0	0	0	
38	-5643	7434442	6.05068	-233	23	0	0	0	
39	-5593	7434492	7.10166	-230	23	0	0	0	
40	-5543	7434542	6.32109	-228	25	0	0	0	
41	-5493	7434592	6.45576	-232	23	0	0	0	
42	-5443	7434642	5.2488	-234	25	0	0	0	
43	-5393	7434692	6.19124	-232	23	0	0	0	
44	-5343	7434742	5.23943	-230	33	0	0	0	
45	-5293	7434792	5.58209	-226	29	0	0	0	
46	-5243	7434842	4.48393	0	0	0	0	0	
47	-5193	7434892	5.77542	-225	27	0	0	0	
48	-5143	7434942	5.96529	-234	25	0	0	0	
49	-5093	7434992	5.78424	-233	24	0	0	0	
50	-5043	7435042	6.1446	-229	21	0	0	0	
51	-4993	7435092	6.78705	-234	21	0	0	0	
52	-4943	7435142	5.91928	-231	23	0	0	0	
53	-4893	7435192	4.85213	0	0	0	0	0	
54	-4843	7435242	4.75853	0	0	0	0	0	
55	-4793	7435292	6.21281	-226	22	0	0	0	
56	-4743	7435342	5.86184	-229	23	0	0	0	
57	-4693	7435392	4.34083	0	0	0	0	0	
58	-4643	7435442	5.11512	-225	27	0	0	0	
59	-4593	7435492	4.69669	0	0	0	0	0	
60	-4543	7435542	5.00808	-234	32	0	0	0	
61	-4493	7435592	5.47228	-232	33	0	0	0	
62	-4443	7435642	5.0767	-234	26	0	0	0	
63	-4393	7435692	4.78425	0	0	0	0	0	
64	-4343	7435742	5.27664	-220	24	0	0	0	
65	-4293	7435792	5.86328	-232	25	0	0	0	
66	-4243	7435842	4.58682	0	0	0	0	0	
67	-4193	7435892	6.30694	-231	24	0	0	0	
68	-4143	7435942	5.34798	-217	30	0	0	0	
69	-4093	7435992	5.27064	-220	27	0	0	0	
70	-4043	7436042	6.4845	-238	20	0	0	0	
71	-3993	7436092	6.22909	-230	25	0	0	0	
72	-3943	7436142	5.96502	-236	26	0	0	0	
73	-3893	7436192	4.92817	0	0	0	0	0	
74	-3843	7436242	6.4414	-230	20	0	0	0	
75	-3793	7436292	6.83518	-230	20	0	0	0	
76	-3743	7436342	3.71793	0	0	0	0	0	
77	-3693	7436392	5.233	-234	25	0	0	0	
78	-3643	7436442	5.64431	-227	24	0	0	0	
79	-3593	7436492	6.02731	-229	27	0	0	0	
80	-3543	7436542	6.22161	-236	17	0	0	0	
81	-3493	7436592	5.6502	-227	29	0	0	0	
82	-3443	7436642	6.06491	-229	21	0	0	0	
83	-3393	7436692	6.12025	-231	24	0	0	0	
84	-3343	7436742	4.62756	0	0	0	0	0	
