TimeStamp	ForceValue	AxialAngle	LateralAngle	MetalSeverity	InAccurateSeverity	NeedZeroing	
  9901342	  11.31682	       -90	          81	            0	                 0	          0	
  9901392	  11.73269	       -90	          74	            0	                 0	          0	
  9901442	  12.12921	       -89	          75	            0	                 0	          0	
  9901492	  12.02268	       -88	          78	            0	                 0	          0	
  9901542	  12.19308	       -88	          73	            0	                 0	          0	
  9901592	  12.15611	       -87	          74	            0	                 0	          0	
  9901642	  11.91906	       -88	          74	            0	                 0	          0	
  9901692	  12.23435	       -88	          73	            0	                 0	          0	
  9901742	  12.47439	       -89	          72	            0	                 0	          0	
  9901792	  11.89414	       -90	          74	            0	                 0	          0	
  9901842	  11.78498	       -89	          78	            0	                 0	          0	
  9901892	  12.12905	       -88	          78	            0	                 0	          0	
  9901942	  12.08185	       -89	          73	            0	                 0	          0	
  9901992	  12.19095	       -89	          69	            0	                 0	          0	
  9902042	  11.90643	       -87	          73	            0	                 0	          0	
  9902092	  11.72979	       -88	          78	            0	                 0	          0	
  9902142	  12.01791	       -90	          73	            0	                 0	          0	
  9902192	    11.953	       -89	          74	            0	                 0	          0	
  9902242	  11.55084	       -89	          82	            0	                 0	          0	
  9902292	  11.43486	       -90	          85	            0	                 0	          0	
  9902342	  11.64253	       -89	          82	            0	                 0	          0	
  9902392	  12.05564	       -88	          74	            0	                 0	          0	
  9902442	  11.83884	       -88	          74	            0	                 0	          0	
  9902492	   11.5279	       -89	          79	            0	                 0	          0	
  9902542	  11.61759	       -89	          81	            0	                 0	          0	
  9902592	  11.56617	       -88	          82	            0	                 0	          0	
  9902642	  11.58101	       -90	          78	            0	                 0	          0	
  9902692	  11.74756	       -89	          76	            0	                 0	          0	
  9902742	  11.85054	       -87	          75	            0	                 0	          0	
  9902792	  11.82823	       -88	          79	            0	                 0	          0	
  9902842	  11.93996	       -88	          80	            0	                 0	          0	
  9902892	  11.99936	       -88	          77	            0	                 0	          0	
  9902942	  11.83721	       -88	          77	            0	                 0	          0	
  9902992	   11.8909	       -88	          77	            0	                 0	          0	
  9903042	  12.10918	       -89	          76	            0	                 0	          0	
  9903092	  12.00637	       -88	          76	            0	                 0	          0	
  9903142	  11.84633	       -87	          76	            0	                 0	          0	
  9903192	  11.64967	       -88	          78	            0	                 0	          0	
  9903242	  11.62768	       -88	          79	            0	                 0	          0	
  9903292	  11.94064	       -87	          76	            0	                 0	          0	
  9903342	  11.95545	       -88	          74	            0	                 0	          0	
  9903392	  11.61782	       -89	          77	            0	                 0	          0	
  9903442	  11.72005	       -90	          78	            0	                 0	          0	
  9903492	  12.20627	       -89	          76	            0	                 0	          0	
  9903542	  12.20666	       -89	          75	            0	                 0	          0	
  9903592	  12.01473	       -88	          75	            0	                 0	          0	
  9903642	  12.01114	       -88	          78	            0	                 0	          0	
  9903692	  11.79537	       -88	          81	            0	                 0	          0	
  9903742	  11.51023	       -88	          82	            0	                 0	          0	
  9903792	  11.44268	       -89	          83	            0	                 0	          0	
  9903842	  11.73562	       -87	          81	            0	                 0	          0	
  9903892	  11.53144	       -87	          82	            0	                 0	          0	
  9903942	  11.23329	       -88	          88	            0	                 0	          0	
  9903992	  11.38435	       -89	          86	            0	                 0	          0	
  9904042	  11.54217	       -89	          81	            0	                 0	          0	
  9904092	  11.84825	       -87	          80	            0	                 0	          0	
  9904142	  11.48271	       -87	          82	            0	                 0	          0	
  9904192	  11.25869	       -86	          82	            0	                 0	          0	
  9904242	  11.55902	       -86	          82	            0	                 0	          0	
  9904292	   11.6583	       -87	          81	            0	                 0	          0	
  9904342	  11.55514	       -88	          85	            0	                 0	          0	
  9904392	  11.48453	       -87	          88	            0	                 0	          0	
  9904442	  11.53371	       -88	          87	            0	                 0	          0	
  9904492	  11.63927	       -89	          87	            0	                 0	          0	
  9904542	  11.63528	       -89	          84	            0	                 0	          0	
  9904592	  11.30309	       -88	          87	            0	                 0	          0	
  9904642	  11.65248	       -89	          87	            0	                 0	          0	
  9904692	  11.78366	       -90	          84	            0	                 0	          0	
  9904742	  11.46965	       -89	          84	            0	                 0	          0	
  9904792	  11.78586	       -87	          86	            0	                 0	          0	
  9904842	  11.70282	       -86	          85	            0	                 0	          0	
  9904892	  11.34422	       -86	          87	            0	                 0	          0	
  9904942	  11.47456	       -87	          91	            0	                 0	          0	
  9904992	  11.58016	       -89	          85	            0	                 0	          0	
  9905042	  11.21249	       -88	          83	            0	                 0	          0	
  9905092	  10.96775	       -87	          88	            0	                 0	          0	
  9905142	  11.04818	       -88	          89	            0	                 0	          0	
  9905192	   11.4583	       -87	          84	            0	                 0	          0	
  9905242	  11.75906	       -88	          81	            0	                 0	          0	
  9905292	  11.24437	       -89	          82	            0	                 0	          0	
  9905342	   11.2748	       -90	          84	            0	                 0	          0	
  9905392	  11.50896	       -89	          84	            0	                 0	          0	
  9905442	  11.49337	       -89	          82	            0	                 0	          0	
  9905492	  11.53647	       -89	          80	            0	                 0	          0	
  9905542	   11.4062	       -88	          80	            0	                 0	          0	
  9905592	  11.35439	       -89	          82	            0	                 0	          0	
  9905642	  11.10806	       -88	          85	            0	                 0	          0	
  9905692	  11.27442	       -87	          85	            0	                 0	          0	
  9905742	   11.5295	       -87	          81	            0	                 0	          0	
  9905792	  11.06078	       -87	          85	            0	                 0	          0	
  9905842	  11.33003	       -89	          88	            0	                 0	          0	
  9905892	  11.68425	       -89	          88	            0	                 0	          0	
  9905942	  11.56172	       -87	          88	            0	                 0	          0	
  9905992	  11.72116	       -87	          82	            0	                 0	          0	
  9906042	  11.70956	       -87	          81	            0	                 0	          0	
  9906092	  11.35658	       -87	          87	            0	                 0	          0	
  9906142	  11.21974	       -87	          87	            0	                 0	          0	
  9906192	  11.33178	       -88	          89	            0	                 0	          0	
  9906242	  11.09953	       -88	          89	            0	                 0	          0	
  9906292	   10.9882	       -88	          88	            0	                 0	          0	
  9906342	  11.44071	       -88	          84	            0	                 0	          0	
  9906392	  11.29233	       -87	          80	            0	                 0	          0	
  9906442	  11.30824	       -86	          78	            0	                 0	          0	
  9906492	   11.5092	       -87	          76	            0	                 0	          0	
  9906542	   11.0612	       -88	          83	            0	                 0	          0	
  9906592	  11.31887	       -86	          88	            0	                 0	          0	
  9906642	  11.45211	       -85	          90	            0	                 0	          0	
  9906692	   11.4273	       -86	          89	            0	                 0	          0	
  9906742	  11.40541	       -87	          83	            0	                 0	          0	
  9906792	  11.88117	       -87	          80	            0	                 0	          0	
  9906842	  12.16294	       -88	          82	            0	                 0	          0	
  9906892	  11.67498	       -89	          87	            0	                 0	          0	
  9906942	   11.1327	       -88	          88	            0	                 0	          0	
  9906992	  11.06106	       -87	          85	            0	                 0	          0	
  9907042	  11.27762	       -86	          88	            0	                 0	          0	
  9907092	  11.31307	       -87	          86	            0	                 0	          0	
  9907142	  11.51072	       -89	          81	            0	                 0	          0	
  9907192	  11.55547	       -90	          81	            0	                 0	          0	
  9907242	  11.55864	       -88	          83	            0	                 0	          0	
  9907292	  11.69015	       -87	          85	            0	                 0	          0	
  9907342	  11.53556	       -88	          88	            0	                 0	          0	
  9907392	  11.49089	       -87	          83	            0	                 0	          0	
  9907442	  11.56755	       -88	          79	            0	                 0	          0	
  9907492	  11.23138	       -88	          85	            0	                 0	          0	
  9907542	  11.29939	       -87	          85	            0	                 0	          0	
  9907592	  11.27751	       -87	          86	            0	                 0	          0	
  9907642	  11.62964	       -88	          85	            0	                 0	          0	
  9907692	  11.70204	       -89	          87	            0	                 0	          0	
  9907742	  11.33263	       -88	          90	            0	                 0	          0	
  9907792	  11.24025	       -88	          86	            0	                 0	          0	
  9907842	  11.38943	       -88	          87	            0	                 0	          0	
  9907892	  11.70538	       -87	          86	            0	                 0	          0	
  9907942	  11.39095	       -88	          87	            0	                 0	          0	
  9907992	  11.18137	       -87	          88	            0	                 0	          0	
  9908042	  11.28362	       -87	          84	            0	                 0	          0	
  9908092	  11.22495	       -88	          83	            0	                 0	          0	
