TimeStamp	ForceValue	AxialAngle	LateralAngle	MetalSeverity	InAccurateSeverity	NeedZeroing	
  4703992	   7.55671	      -136	         109	            0	                 0	          0	
  4704042	  7.729645	      -134	         112	            0	                 0	          0	
  4704092	  7.948545	      -134	         119	            0	                 0	          0	
  4704142	  7.936396	      -135	         120	            0	                 0	          0	
  4704192	  7.743279	      -135	         111	            0	                 0	          0	
  4704242	  7.819439	      -135	         109	            0	                 0	          0	
  4704292	  7.942371	      -135	         111	            0	                 0	          0	
  4704342	  7.829042	      -135	         114	            0	                 0	          0	
  4704392	  7.940821	      -136	         115	            0	                 0	          0	
  4704442	  8.112712	      -135	         110	            0	                 0	          0	
  4704492	   7.94402	      -134	         107	            0	                 0	          0	
  4704542	  7.929044	      -136	         106	            0	                 0	          0	
  4704592	  8.219376	      -136	         109	            0	                 0	          0	
  4704642	  8.100286	      -135	         110	            0	                 0	          0	
  4704692	  7.914928	      -132	         110	            0	                 0	          0	
  4704742	  8.349061	      -132	         116	            0	                 0	          0	
  4704792	  8.093748	      -134	         112	            0	                 0	          0	
  4704842	  7.795165	      -134	         107	            0	                 0	          0	
  4704892	  7.853186	      -133	         112	            0	                 0	          0	
  4704942	  7.273461	      -136	         106	            0	                 0	          0	
  4704992	  7.975848	      -136	         111	            0	                 0	          0	
  4705042	  8.909643	      -133	         119	            0	                 0	          0	
  4705092	  8.273281	      -135	         115	            0	                 0	          0	
  4705142	  7.812744	      -136	         112	            0	                 0	          0	
  4705192	  7.479365	      -135	         108	            0	                 0	          0	
  4705242	  8.038819	      -134	         118	            0	                 0	          0	
  4705292	  8.549524	      -135	         122	            0	                 0	          0	
  4705342	  8.905897	      -135	         124	            0	                 0	          0	
  4705392	  8.928473	      -134	         124	            0	                 0	          0	
  4705442	  8.032105	      -134	         117	            0	                 0	          0	
  4705492	  7.858309	      -135	         116	            0	                 0	          0	
  4705542	  7.941815	      -134	         117	            0	                 0	          0	
  4705592	  8.362604	      -134	         119	            0	                 0	          0	
  4705642	  8.730642	      -136	         123	            0	                 0	          0	
  4705692	  8.300733	      -134	         120	            0	                 0	          0	
  4705742	  7.968297	      -134	         117	            0	                 0	          0	
  4705792	  8.272923	      -134	         120	            0	                 0	          0	
  4705842	  8.386031	      -135	         120	            0	                 0	          0	
  4705892	  8.317216	      -135	         117	            0	                 0	          0	
  4705942	   8.27229	      -136	         115	            0	                 0	          0	
  4705992	  8.141917	      -135	         116	            0	                 0	          0	
  4706042	  8.010445	      -136	         116	            0	                 0	          0	
  4706092	  8.029737	      -135	         112	            0	                 0	          0	
  4706142	  8.322784	      -134	         114	            0	                 0	          0	
  4706192	   8.37326	      -135	         116	            0	                 0	          0	
  4706242	  8.134851	      -133	         116	            0	                 0	          0	
  4706292	  7.854305	      -132	         115	            0	                 0	          0	
  4706342	  8.069131	      -135	         117	            0	                 0	          0	
  4706392	  8.593691	      -136	         121	            0	                 0	          0	
  4706442	  7.966926	      -134	         116	            0	                 0	          0	
  4706492	  7.708765	      -133	         112	            0	                 0	          0	
  4706542	  7.716754	      -134	         110	            0	                 0	          0	
  4706592	  7.628977	      -138	         107	            0	                 0	          0	
  4706642	  7.912097	      -136	         113	            0	                 0	          0	
  4706692	  7.719262	      -133	         114	            0	                 0	          0	
  4706742	  7.713622	      -135	         108	            0	                 0	          0	
  4706792	   7.77544	      -137	         108	            0	                 0	          0	
  4706842	  7.856147	      -136	         112	            0	                 0	          0	
  4706892	  8.132784	      -135	         116	            0	                 0	          0	
  4706942	  7.910914	      -137	         111	            0	                 0	          0	
  4706992	  8.044919	      -136	         110	            0	                 0	          0	
  4707042	  7.834509	      -136	         110	            0	                 0	          0	
  4707092	  7.766628	      -137	         113	            0	                 0	          0	
  4707142	  8.098112	      -135	         118	            0	                 0	          0	
  4707192	  7.732939	      -136	         114	            0	                 0	          0	
  4707242	  8.159574	      -137	         116	            0	                 0	          0	
  4707292	  8.314788	      -133	         119	            0	                 0	          0	
  4707342	  7.790762	      -133	         115	            0	                 0	          0	
  4707392	  8.174135	      -134	         118	            0	                 0	          0	
  4707442	  8.368995	      -136	         120	            0	                 0	          0	
  4707492	  8.220668	      -136	         117	            0	                 0	          0	
  4707542	  8.196601	      -135	         111	            0	                 0	          0	
  4707592	  7.946531	      -135	         110	            0	                 0	          0	
