TimeStamp	ForceValue	AxialAngle	LateralAngle	MetalSeverity	InAccurateSeverity	NeedZeroing	
  4595042	  7.299634	      -135	          96	            0	                 0	          0	
  4595092	  7.284437	      -136	          96	            0	                 0	          0	
  4595142	  7.435289	      -136	          93	            0	                 0	          0	
  4595192	  7.255964	      -135	          90	            0	                 0	          0	
  4595242	   7.10368	      -134	          91	            0	                 0	          0	
  4595292	  7.326797	      -133	         100	            0	                 0	          0	
  4595342	  7.149498	      -133	         100	            0	                 0	          0	
  4595392	  7.073924	      -134	          92	            0	                 0	          0	
  4595442	  7.189845	      -138	          89	            0	                 0	          0	
  4595492	  7.556904	      -138	          99	            0	                 0	          0	
  4595542	  7.735161	      -137	         102	            0	                 0	          0	
  4595592	   7.36022	      -137	          95	            0	                 0	          0	
  4595642	   7.29751	      -136	          93	            0	                 0	          0	
  4595692	  7.311577	      -136	          91	            0	                 0	          0	
  4595742	   7.33153	      -136	          94	            0	                 0	          0	
  4595792	  7.403111	      -136	         100	            0	                 0	          0	
  4595842	  7.614336	      -135	         103	            0	                 0	          0	
  4595892	  7.626837	      -135	          97	            0	                 0	          0	
  4595942	  7.649347	      -136	          98	            0	                 0	          0	
  4595992	  7.263206	      -137	         102	            0	                 0	          0	
  4596042	  7.163769	      -134	         103	            0	                 0	          0	
  4596092	  7.408363	      -134	          96	            0	                 0	          0	
  4596142	  7.532055	      -136	          95	            0	                 0	          0	
  4596192	   7.66011	      -134	         102	            0	                 0	          0	
  4596242	  7.312658	      -134	         100	            0	                 0	          0	
  4596292	  7.236847	      -137	         101	            0	                 0	          0	
  4596342	   7.51311	      -138	         105	            0	                 0	          0	
  4596392	  7.499634	      -137	         100	            0	                 0	          0	
  4596442	  7.437727	      -136	          97	            0	                 0	          0	
  4596492	  7.400607	      -134	          99	            0	                 0	          0	
  4596542	   7.55123	      -134	         103	            0	                 0	          0	
  4596592	  7.503898	      -137	         107	            0	                 0	          0	
  4596642	  7.461146	      -136	         104	            0	                 0	          0	
  4596692	  7.636721	      -136	         101	            0	                 0	          0	
  4596742	  7.673782	      -139	         101	            0	                 0	          0	
  4596792	   7.69174	      -139	         105	            0	                 0	          0	
  4596842	  7.458506	      -136	         101	            0	                 0	          0	
  4596892	  7.455039	      -137	         100	            0	                 0	          0	
  4596942	  7.726134	      -137	         108	            0	                 0	          0	
  4596992	  7.448178	      -135	         106	            0	                 0	          0	
  4597042	  7.649996	      -135	         109	            0	                 0	          0	
  4597092	  8.111739	      -137	         107	            0	                 0	          0	
  4597142	  7.846311	      -137	         101	            0	                 0	          0	
  4597192	  7.513997	      -135	          99	            0	                 0	          0	
  4597242	  7.493901	      -136	         103	            0	                 0	          0	
  4597292	  7.936179	      -136	         109	            0	                 0	          0	
  4597342	   7.78043	      -136	         104	            0	                 0	          0	
  4597392	  7.533421	      -134	         104	            0	                 0	          0	
  4597442	  7.805862	      -134	         104	            0	                 0	          0	
  4597492	   7.53985	      -133	         101	            0	                 0	          0	
  4597542	  7.370924	      -133	         101	            0	                 0	          0	
  4597592	  7.438089	      -136	         102	            0	                 0	          0	
  4597642	  7.208898	      -138	          99	            0	                 0	          0	
  4597692	  7.554364	      -136	         104	            0	                 0	          0	
  4597742	  7.722003	      -137	         108	            0	                 0	          0	
  4597792	   7.46879	      -138	         105	            0	                 0	          0	
  4597842	  7.664111	      -137	         108	            0	                 0	          0	
  4597892	  7.812365	      -134	         113	            0	                 0	          0	
  4597942	  7.710065	      -134	         108	            0	                 0	          0	
