PiuTimeStamp	Irrigation	Power Mode	AblTime1	Power1	Impedance1	DistalTemperature1	ProximalTemperature1	
      4412643	         -1	          0	    1100	     9	       102	                36	                   0	
      4412744	         -1	          0	    1200	    10	       101	                36	                   0	
      4412844	         -1	          0	    1300	    10	       101	                37	                   0	
      4412944	         -1	          0	    1400	    11	       101	                37	                   0	
      4413043	         -1	          0	    1500	    11	       101	                37	                   0	
      4413143	         -1	          0	    1600	    11	       101	                38	                   0	
      4413243	         -1	          0	    1700	    11	       101	                38	                   0	
      4413343	         -1	          0	    1800	    11	       101	                39	                   0	
      4413443	         -1	          0	    1900	    12	       100	                39	                   0	
      4413543	         -1	          0	    2000	    12	       100	                39	                   0	
      4413643	         -1	          0	    2100	    12	       101	                40	                   0	
      4413746	         -1	          0	    2200	    12	       100	                40	                   0	
      4413846	         -1	          0	    2300	    12	       100	                40	                   0	
      4413946	         -1	          0	    2400	    13	       100	                41	                   0	
      4414046	         -1	          0	    2500	    13	       100	                41	                   0	
      4414146	         -1	          0	    2600	    13	       100	                41	                   0	
      4414246	         -1	          0	    2700	    13	       100	                42	                   0	
      4414346	         -1	          0	    2800	    13	       100	                42	                   0	
      4414446	         -1	          0	    2900	    14	       100	                42	                   0	
      4414546	         -1	          0	    3000	    14	       100	                42	                   0	
      4414646	         -1	          0	    3100	    14	       100	                43	                   0	
      4414746	         -1	          0	    3200	    14	       100	                43	                   0	
      4414846	         -1	          0	    3300	    14	       100	                43	                   0	
      4414946	         -1	          0	    3400	    14	       100	                43	                   0	
      4415046	         -1	          0	    3500	    15	       100	                44	                   0	
      4415146	         -1	          0	    3600	    15	       100	                44	                   0	
      4415246	         -1	          0	    3700	    16	       100	                44	                   0	
      4415346	         -1	          0	    3800	    15	       100	                44	                   0	
      4415446	         -1	          0	    3900	    15	       100	                44	                   0	
      4415546	         -1	          0	    4000	    16	       100	                45	                   0	
      4415646	         -1	          0	    4100	    16	       100	                45	                   0	
      4415746	         -1	          0	    4200	    17	       100	                45	                   0	
      4415846	         -1	          0	    4300	    17	        99	                45	                   0	
      4415946	         -1	          0	    4400	    17	       100	                45	                   0	
      4416046	         -1	          0	    4500	    17	       100	                46	                   0	
      4416146	         -1	          0	    4600	    17	       100	                46	                   0	
      4416246	         -1	          0	    4700	    17	        99	                46	                   0	
      4416346	         -1	          0	    4800	    18	        99	                46	                   0	
      4416446	         -1	          0	    4900	    17	        99	                46	                   0	
      4416546	         -1	          0	    5000	    18	       100	                46	                   0	
      4416646	         -1	          0	    5100	    17	       100	                46	                   0	
      4416746	         -1	          0	    5200	    18	       100	                46	                   0	
      4416846	         -1	          0	    5300	    19	       100	                47	                   0	
      4416946	         -1	          0	    5400	    18	        99	                47	                   0	
      4417046	         -1	          0	    5500	    19	       100	                47	                   0	
      4417146	         -1	          0	    5600	    18	        99	                47	                   0	
      4417246	         -1	          0	    5700	    19	       100	                47	                   0	
      4417346	         -1	          0	    5800	    19	        99	                47	                   0	
      4417446	         -1	          0	    5900	    20	        99	                47	                   0	
      4417546	         -1	          0	    6000	    20	        99	                48	                   0	
      4417646	         -1	          0	    6100	    19	        99	                48	                   0	
      4417746	         -1	          0	    6200	    19	       100	                48	                   0	
      4417846	         -1	          0	    6300	    20	        99	                48	                   0	
      4417946	         -1	          0	    6400	    20	        99	                48	                   0	
      4418046	         -1	          0	    6500	    21	        99	                48	                   0	
      4418146	         -1	          0	    6600	    20	        99	                48	                   0	
      4418246	         -1	          0	    6700	    20	        99	                48	                   0	
      4418346	         -1	          0	    6800	    20	        99	                48	                   0	
      4418446	         -1	          0	    6900	    21	        99	                49	                   0	
      4418545	         -1	          0	    7000	    20	        99	                49	                   0	
      4418646	         -1	          0	    7100	    21	        99	                49	                   0	
      4418745	         -1	          0	    7200	    21	        99	                49	                   0	
      4418845	         -1	          0	    7300	    21	        99	                49	                   0	
      4418945	         -1	          0	    7400	    21	        99	                49	                   0	
      4419045	         -1	          0	    7500	    22	        99	                49	                   0	
      4419145	         -1	          0	    7600	    22	        99	                49	                   0	
      4419245	         -1	          0	    7700	    22	        98	                49	                   0	
      4419345	         -1	          0	    7800	    22	        99	                49	                   0	
      4419445	         -1	          0	    7900	    22	        99	                49	                   0	
      4419545	         -1	          0	    8000	    23	        99	                49	                   0	
      4419645	         -1	          0	    8100	    22	        99	                49	                   0	
      4419745	         -1	          0	    8200	    23	        98	                50	                   0	
      4419845	         -1	          0	    8300	    23	        98	                50	                   0	
      4419945	         -1	          0	    8400	    23	        98	                50	                   0	
      4420045	         -1	          0	    8500	    23	        99	                50	                   0	
      4420145	         -1	          0	    8600	    24	        98	                50	                   0	
      4420245	         -1	          0	    8700	    24	        98	                50	                   0	
      4420345	         -1	          0	    8800	    24	        99	                50	                   0	
      4420445	         -1	          0	    8900	    24	        98	                50	                   0	
      4420545	         -1	          0	    9000	    24	        99	                50	                   0	
      4420645	         -1	          0	    9100	    24	        99	                50	                   0	
      4420745	         -1	          0	    9200	    24	        98	                50	                   0	
      4420845	         -1	          0	    9300	    24	        98	                50	                   0	
      4420945	         -1	          0	    9400	    25	        99	                50	                   0	
      4421045	         -1	          0	    9500	    25	        98	                50	                   0	
      4421145	         -1	          0	    9600	    25	        98	                51	                   0	
      4421245	         -1	          0	    9700	    25	        99	                51	                   0	
      4421345	         -1	          0	    9800	    25	        98	                51	                   0	
      4421445	         -1	          0	    9900	    25	        98	                51	                   0	
      4421545	         -1	          0	   10000	    25	        99	                51	                   0	
      4421645	         -1	          0	   10100	    25	        98	                51	                   0	
      4421745	         -1	          0	   10200	    25	        99	                51	                   0	
      4421845	         -1	          0	   10300	    26	        98	                51	                   0	
      4421945	         -1	          0	   10400	    25	        98	                51	                   0	
      4422045	         -1	          0	   10500	    26	        98	                51	                   0	
      4422145	         -1	          0	   10600	    26	        98	                51	                   0	
      4422245	         -1	          0	   10700	    26	        98	                51	                   0	
      4422345	         -1	          0	   10800	    26	        98	                51	                   0	
      4422445	         -1	          0	   10900	    26	        98	                51	                   0	
      4422545	         -1	          0	   11000	    26	        98	                51	                   0	
      4422645	         -1	          0	   11100	    26	        98	                51	                   0	
      4422745	         -1	          0	   11200	    27	        98	                51	                   0	
      4422845	         -1	          0	   11300	    27	        98	                51	                   0	
      4422945	         -1	          0	   11400	    27	        98	                51	                   0	
      4423045	         -1	          0	   11500	    27	        98	                51	                   0	
      4423145	         -1	          0	   11600	    27	        98	                51	                   0	
      4423245	         -1	          0	   11700	    27	        98	                51	                   0	
      4423345	         -1	          0	   11800	    27	        98	                51	                   0	
      4423445	         -1	          0	   11900	    27	        98	                51	                   0	
      4423545	         -1	          0	   12000	    28	        98	                51	                   0	
      4423645	         -1	          0	   12100	    27	        98	                51	                   0	
      4423745	         -1	          0	   12200	    27	        98	                51	                   0	
      4423844	         -1	          0	   12300	    28	        98	                51	                   0	
      4423945	         -1	          0	   12400	    27	        98	                51	                   0	
      4424045	         -1	          0	   12500	    28	        97	                51	                   0	
      4424145	         -1	          0	   12600	    28	        98	                51	                   0	
      4424244	         -1	          0	   12700	    29	        97	                51	                   0	
      4424345	         -1	          0	   12800	    29	        97	                51	                   0	
      4424445	         -1	          0	   12900	    28	        98	                51	                   0	
      4424544	         -1	          0	   13000	    28	        97	                52	                   0	
      4424645	         -1	          0	   13100	    29	        98	                51	                   0	
      4424744	         -1	          0	   13200	    29	        98	                52	                   0	
      4424844	         -1	          0	   13300	    29	        98	                52	                   0	
      4424944	         -1	          0	   13400	    29	        98	                52	                   0	
      4425044	         -1	          0	   13500	    30	        98	                52	                   0	
      4425144	         -1	          0	   13600	    30	        98	                52	                   0	
      4425244	         -1	          0	   13700	    29	        98	                52	                   0	
      4425344	         -1	          0	   13800	    30	        97	                52	                   0	
      4425444	         -1	          0	   13900	    29	        97	                52	                   0	
      4425544	         -1	          0	   14000	    29	        98	                52	                   0	
      4425644	         -1	          0	   14100	    30	        97	                52	                   0	
      4425744	         -1	          0	   14200	    30	        97	                52	                   0	
      4425844	         -1	          0	   14300	    30	        98	                52	                   0	
      4425944	         -1	          0	   14400	    30	        98	                52	                   0	
      4426044	         -1	          0	   14500	    30	        98	                52	                   0	
      4426144	         -1	          0	   14600	    29	        97	                52	                   0	
      4426244	         -1	          0	   14700	    29	        98	                52	                   0	
      4426344	         -1	          0	   14800	    30	        98	                52	                   0	
