Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
2	76	13.4	17.4369	12.9477	
2	93	13.3997	17.4369	12.9453	
2	110	13.4021	17.4334	12.9455	
2	126	13.3999	17.4382	12.9523	
2	143	13.4019	17.4419	12.949	
2	160	13.3993	17.4392	12.9483	
2	176	13.4011	17.4467	12.9502	
2	193	13.3991	17.4391	12.9578	
2	210	13.4003	17.4372	12.9533	
2	226	13.3986	17.443	12.9634	
2	243	13.3981	17.4426	12.9576	
2	260	13.3974	17.4432	12.9619	
2	276	13.3943	17.4456	12.9587	
2	293	13.3926	17.4499	12.9637	
2	310	13.3904	17.4452	12.9645	
2	326	13.3883	17.4498	12.9666	
2	343	13.3882	17.4489	12.9685	
2	360	13.3819	17.4507	12.9704	
2	376	13.3831	17.4495	12.9714	
2	393	13.3811	17.45	12.9809	
2	410	13.3761	17.452	12.9807	
2	426	13.3747	17.4553	12.977	
2	443	13.3701	17.459	12.9782	
2	460	13.3662	17.4557	12.9825	
2	476	13.3663	17.4613	12.9847	
2	493	13.3637	17.4555	12.9867	
2	510	13.3612	17.4562	12.9862	
2	526	13.3572	17.4603	12.9848	
2	543	13.3553	17.4546	12.9877	
2	560	13.353	17.4551	12.9903	
2	576	13.3476	17.4588	12.9859	
2	593	13.3465	17.4522	12.9937	
2	610	13.3462	17.4633	12.9924	
2	626	13.3405	17.4556	12.9975	
2	643	13.3398	17.4569	12.9911	
2	660	13.3381	17.4505	12.9958	
2	676	13.3335	17.4528	12.9879	
2	693	13.3365	17.4547	12.9999	
2	710	13.3316	17.4516	12.9925	
2	726	13.3311	17.4477	12.9901	
2	743	13.3311	17.4555	13.0002	
2	760	13.3279	17.4545	12.9963	
2	776	13.3263	17.4444	13.002	
2	793	13.3243	17.4484	12.9957	
2	810	13.3266	17.4455	12.996	
2	826	13.3282	17.4502	13.0023	
2	843	13.326	17.4429	13.0027	
2	860	13.3264	17.4443	13.0012	
2	876	13.3256	17.4397	13.0016	
2	893	13.328	17.4397	13.0037	
2	910	13.3294	17.4403	13.0063	
2	926	13.3278	17.4424	13.0031	
2	943	13.331	17.437	13.0049	
2	960	13.3321	17.4436	12.9974	
2	976	13.3336	17.437	13.0025	
2	993	13.3342	17.4411	13.0062	
2	1010	13.3348	17.4417	13.0006	
2	1026	13.3348	17.4433	13.0093	
2	1043	13.3356	17.4449	13.0036	
2	1060	13.3401	17.4466	13.0075	
2	1076	13.3398	17.4369	13.0059	
2	1093	13.3426	17.4432	13.004	
2	1110	13.3453	17.4438	13.0064	
2	1126	13.3448	17.4411	13.0046	
2	1143	13.3456	17.4454	13.0083	
2	1160	13.3507	17.4458	13.0092	
2	1176	13.3507	17.4421	13.0091	
2	1193	13.3503	17.4478	13.0081	
2	1210	13.3508	17.4517	12.9997	
2	1226	13.3528	17.4475	13.0048	
2	1243	13.353	17.4493	12.9983	
2	1260	13.3568	17.453	12.9967	
2	1276	13.3576	17.4559	12.9991	
2	1293	13.3524	17.4556	12.9981	
2	1310	13.3619	17.4617	12.9947	
2	1326	13.357	17.4607	12.9919	
2	1343	13.36	17.4593	12.9851	
2	1360	13.3641	17.4657	12.9931	
2	1376	13.3588	17.4671	12.9865	
2	1393	13.3571	17.468	12.9763	
2	1410	13.3574	17.47	12.9704	
2	1426	13.3569	17.4747	12.971	
2	1443	13.3596	17.4821	12.966	
2	1460	13.3585	17.4721	12.9665	
2	1476	13.3597	17.4788	12.9563	
2	1493	13.3564	17.4799	12.9523	
2	1510	13.3554	17.4832	12.9512	
2	1526	13.3566	17.4854	12.9467	
2	1543	13.3501	17.4838	12.9374	
2	1560	13.3526	17.4869	12.9376	
2	1576	13.3562	17.4978	12.9307	
2	1593	13.3501	17.4926	12.9332	
2	1610	13.3514	17.4957	12.9197	
2	1626	13.3498	17.4937	12.9128	
2	1643	13.3479	17.4916	12.9077	
2	1660	13.3511	17.4962	12.9089	
2	1676	13.3475	17.4983	12.9055	
