TimeStamp	ForceValue	AxialAngle	LateralAngle	MetalSeverity	InAccurateSeverity	NeedZeroing	
  4557342	   7.71539	      -155	          74	            0	                 0	          0	
  4557392	  7.701027	      -155	          69	            0	                 0	          0	
  4557442	  7.260263	      -155	          74	            0	                 0	          0	
  4557492	  7.207941	      -154	          83	            0	                 0	          0	
  4557542	  7.177722	      -153	          75	            0	                 0	          0	
  4557592	   7.26594	      -151	          70	            0	                 0	          0	
  4557642	  7.494232	      -152	          70	            0	                 0	          0	
  4557692	   7.42307	      -154	          67	            0	                 0	          0	
  4557742	  7.598786	      -153	          65	            0	                 0	          0	
  4557792	   7.64451	      -151	          69	            0	                 0	          0	
  4557842	  7.379893	      -152	          76	            0	                 0	          0	
  4557892	  7.271489	      -156	          75	            0	                 0	          0	
  4557942	  7.352375	      -156	          74	            0	                 0	          0	
  4557992	  7.453644	      -154	          76	            0	                 0	          0	
  4558042	  7.647995	      -153	          67	            0	                 0	          0	
  4558092	  7.315763	      -152	          72	            0	                 0	          0	
  4558142	  7.291193	      -152	          73	            0	                 0	          0	
  4558192	  7.405579	      -152	          69	            0	                 0	          0	
  4558242	  7.070722	      -151	          81	            0	                 0	          0	
  4558292	  7.325618	      -151	          82	            0	                 0	          0	
  4558342	  7.329777	      -150	          81	            0	                 0	          0	
  4558392	  7.083129	      -150	          78	            0	                 0	          0	
  4558442	   6.98385	      -151	          73	            0	                 0	          0	
  4558492	  6.840661	      -150	          78	            0	                 0	          0	
  4558542	  6.988267	      -150	          81	            0	                 0	          0	
  4558592	  7.094475	      -151	          71	            0	                 0	          0	
  4558642	  7.388676	      -152	          66	            0	                 0	          0	
  4558692	  7.283329	      -153	          77	            0	                 0	          0	
  4558742	   7.22437	      -152	          87	            0	                 0	          0	
  4558792	  7.078638	      -152	          84	            0	                 0	          0	
  4558842	  7.090734	      -151	          79	            0	                 0	          0	
  4558892	  7.420601	      -151	          76	            0	                 0	          0	
  4558942	  7.526804	      -152	          75	            0	                 0	          0	
  4558992	  7.373669	      -151	          72	            0	                 0	          0	
  4559042	  7.304851	      -153	          74	            0	                 0	          0	
  4559092	  7.140064	      -153	          77	            0	                 0	          0	
  4559142	  7.155569	      -151	          79	            0	                 0	          0	
  4559192	  7.167736	      -150	          79	            0	                 0	          0	
  4559242	  7.029722	      -149	          82	            0	                 0	          0	
  4559292	   7.21371	      -149	          79	            0	                 0	          0	
  4559342	  7.498313	      -149	          75	            0	                 0	          0	
  4559392	  7.412782	      -149	          75	            0	                 0	          0	
  4559442	   7.02277	      -149	          78	            0	                 0	          0	
  4559492	  7.012931	      -149	          79	            0	                 0	          0	
  4559542	  7.065156	      -148	          78	            0	                 0	          0	
  4559592	  6.890704	      -149	          79	            0	                 0	          0	
  4559642	    6.7029	      -152	          83	            0	                 0	          0	
  4559692	    6.8035	      -153	          88	            0	                 0	          0	
  4559742	  7.072907	      -150	          84	            0	                 0	          0	
  4559792	  7.239405	      -151	          78	            0	                 0	          0	
  4559842	  7.079332	      -152	          77	            0	                 0	          0	
  4559892	   6.80688	      -150	          87	            0	                 0	          0	
  4559942	   6.70593	      -149	          81	            0	                 0	          0	
  4559992	  6.965881	      -150	          74	            0	                 0	          0	
  4560042	  7.254861	      -150	          80	            0	                 0	          0	
  4560092	  7.283935	      -150	          83	            0	                 0	          0	
  4560142	  7.128996	      -149	          81	            0	                 0	          0	
  4560192	  7.083362	      -147	          81	            0	                 0	          0	
  4560242	  7.141508	      -147	          86	            0	                 0	          0	
  4560292	  7.055565	      -148	          90	            0	                 0	          0	
  4560342	  7.110964	      -148	          88	            0	                 0	          0	
  4560392	  7.313846	      -149	          85	            0	                 0	          0	
  4560442	  7.377922	      -151	          87	            0	                 0	          0	
  4560492	  7.067066	      -150	          92	            0	                 0	          0	
  4560542	    6.6117	      -150	          92	            0	                 0	          0	
  4560592	  6.812822	      -149	          90	            0	                 0	          0	
  4560642	  7.247936	      -149	          93	            0	                 0	          0	
  4560692	   7.11805	      -150	          85	            0	                 0	          0	
  4560742	  7.029581	      -150	          83	            0	                 0	          0	
  4560792	  6.851836	      -150	          83	            0	                 0	          0	
  4560842	    6.9074	      -150	          78	            0	                 0	          0	
  4560892	  7.124722	      -151	          87	            0	                 0	          0	
  4560942	  6.977008	      -152	          86	            0	                 0	          0	
  4560992	   6.91709	      -152	          86	            0	                 0	          0	
  4561042	  6.797359	      -152	          88	            0	                 0	          0	
  4561092	   6.71719	      -152	          90	            0	                 0	          0	
  4561142	  6.942439	      -152	          81	            0	                 0	          0	
  4561192	  7.278897	      -151	          78	            0	                 0	          0	
  4561242	  7.278439	      -151	          87	            0	                 0	          0	
  4561292	  7.183428	      -150	          88	            0	                 0	          0	
  4561342	  7.113002	      -147	          87	            0	                 0	          0	
  4561392	  7.006726	      -149	          83	            0	                 0	          0	
  4561442	  6.913373	      -152	          90	            0	                 0	          0	
  4561492	  6.970083	      -152	          91	            0	                 0	          0	
  4561542	  6.905317	      -150	          85	            0	                 0	          0	
  4561592	  6.816429	      -150	          80	            0	                 0	          0	
  4561642	  7.005486	      -150	          81	            0	                 0	          0	
  4561692	  7.250928	      -149	          83	            0	                 0	          0	
  4561742	  7.202267	      -148	          85	            0	                 0	          0	
  4561792	  7.133087	      -149	          87	            0	                 0	          0	
  4561842	  7.033145	      -151	          84	            0	                 0	          0	
  4561892	  6.871037	      -150	          89	            0	                 0	          0	
  4561942	  6.952821	      -148	          89	            0	                 0	          0	
  4561992	  7.029154	      -149	          88	            0	                 0	          0	
  4562042	  7.020183	      -150	          87	            0	                 0	          0	
  4562092	  7.015575	      -149	          87	            0	                 0	          0	
  4562142	  6.891909	      -149	          92	            0	                 0	          0	
  4562192	  6.801531	      -150	          93	            0	                 0	          0	
  4562242	  6.776511	      -149	          89	            0	                 0	          0	
  4562292	  6.936919	      -150	          88	            0	                 0	          0	
  4562342	   7.26311	      -150	          83	            0	                 0	          0	
  4562392	  7.203536	      -151	          85	            0	                 0	          0	
  4562442	   6.79646	      -148	          89	            0	                 0	          0	
  4562492	  6.899707	      -145	          86	            0	                 0	          0	
  4562542	  7.053819	      -148	          92	            0	                 0	          0	
  4562592	  6.881036	      -150	         102	            0	                 0	          0	
  4562642	  6.652002	      -149	          97	            0	                 0	          0	
  4562692	  6.861198	      -149	          88	            0	                 0	          0	
  4562742	  7.015556	      -149	          90	            0	                 0	          0	
  4562792	   7.08117	      -150	          94	            0	                 0	          0	
  4562842	  6.873045	      -151	          92	            0	                 0	          0	
  4562892	  6.850385	      -150	          91	            0	                 0	          0	
  4562942	  7.090029	      -149	          90	            0	                 0	          0	
  4562992	  6.915167	      -149	          89	            0	                 0	          0	
  4563042	   6.81331	      -149	          93	            0	                 0	          0	
  4563092	  6.742006	      -150	          88	            0	                 0	          0	
  4563142	  6.663521	      -149	          90	            0	                 0	          0	
  4563192	  6.798043	      -149	          98	            0	                 0	          0	
  4563242	    7.0553	      -150	          90	            0	                 0	          0	
  4563292	  7.327577	      -149	          89	            0	                 0	          0	
  4563342	  7.233787	      -148	          89	            0	                 0	          0	
  4563392	  7.132771	      -148	          85	            0	                 0	          0	
  4563442	   7.02557	      -148	          92	            0	                 0	          0	
  4563492	  6.919727	      -147	          90	            0	                 0	          0	
  4563542	  6.821214	      -148	          87	            0	                 0	          0	
  4563592	   7.04064	      -148	         101	            0	                 0	          0	
  4563642	  6.973125	      -147	          93	            0	                 0	          0	
  4563692	  7.146568	      -146	          80	            0	                 0	          0	
  4563742	  6.767365	      -148	          87	            0	                 0	          0	
  4563792	  6.841453	      -150	          89	            0	                 0	          0	
  4563842	  6.793719	      -151	          93	            0	                 0	          0	
  4563892	  6.606729	      -152	          99	            0	                 0	          0	
  4563942	  6.881076	      -152	          95	            0	                 0	          0	
  4563992	  6.986485	      -148	          93	            0	                 0	          0	
