TimeStamp	ForceValue	AxialAngle	LateralAngle	MetalSeverity	InAccurateSeverity	NeedZeroing	
  4629942	  7.538303	      -139	          95	            0	                 0	          0	
  4629992	  7.498255	      -136	          99	            0	                 0	          0	
  4630042	  7.422228	      -132	          96	            0	                 0	          0	
  4630092	  7.453273	      -133	          95	            0	                 0	          0	
  4630142	   7.40869	      -132	         108	            0	                 0	          0	
  4630192	  7.387295	      -134	         103	            0	                 0	          0	
  4630242	  7.503418	      -135	          98	            0	                 0	          0	
  4630292	  7.272242	      -132	          98	            0	                 0	          0	
  4630342	  7.192972	      -135	          96	            0	                 0	          0	
  4630392	  7.099382	      -135	          98	            0	                 0	          0	
  4630442	  7.082355	      -134	         102	            0	                 0	          0	
  4630492	   7.16432	      -134	         107	            0	                 0	          0	
  4630542	  7.226188	      -133	         104	            0	                 0	          0	
  4630592	  7.299955	      -136	          95	            0	                 0	          0	
  4630642	   7.22641	      -135	         101	            0	                 0	          0	
  4630692	  7.231723	      -135	         105	            0	                 0	          0	
  4630742	  7.128358	      -136	         101	            0	                 0	          0	
  4630792	   7.16029	      -134	         105	            0	                 0	          0	
  4630842	   7.56217	      -135	         108	            0	                 0	          0	
  4630892	  7.756863	      -136	         103	            0	                 0	          0	
  4630942	   7.37088	      -135	          97	            0	                 0	          0	
  4630992	  6.901153	      -133	          95	            0	                 0	          0	
  4631042	  7.076846	      -133	         102	            0	                 0	          0	
  4631092	  7.245876	      -134	         105	            0	                 0	          0	
  4631142	  7.207626	      -135	         103	            0	                 0	          0	
  4631192	  7.140725	      -135	         100	            0	                 0	          0	
  4631242	  6.972325	      -135	         102	            0	                 0	          0	
  4631292	  6.934991	      -134	         101	            0	                 0	          0	
  4631342	  6.857855	      -134	          95	            0	                 0	          0	
  4631392	  7.077128	      -134	          93	            0	                 0	          0	
  4631442	  7.466407	      -134	          95	            0	                 0	          0	
  4631492	  7.753799	      -134	         106	            0	                 0	          0	
  4631542	  7.451542	      -134	         106	            0	                 0	          0	
  4631592	   7.07137	      -134	          98	            0	                 0	          0	
  4631642	  7.336828	      -133	         107	            0	                 0	          0	
  4631692	  7.299373	      -135	         104	            0	                 0	          0	
  4631742	  7.455684	      -134	         107	            0	                 0	          0	
  4631792	  7.905395	      -134	         115	            0	                 0	          0	
  4631842	  7.630965	      -136	         108	            0	                 0	          0	
  4631892	  7.418204	      -136	         105	            0	                 0	          0	
  4631942	  7.439095	      -136	         104	            0	                 0	          0	
  4631992	  7.592834	      -137	         102	            0	                 0	          0	
  4632042	  7.357605	      -136	         103	            0	                 0	          0	
  4632092	  7.225468	      -135	         103	            0	                 0	          0	
  4632142	  7.228154	      -135	         107	            0	                 0	          0	
  4632192	  7.372558	      -135	         110	            0	                 0	          0	
  4632242	  7.438879	      -135	         102	            0	                 0	          0	
  4632292	  7.270106	      -135	         103	            0	                 0	          0	
  4632342	  7.181639	      -135	         104	            0	                 0	          0	
  4632392	  7.212178	      -135	         102	            0	                 0	          0	
  4632442	  7.296609	      -134	         105	            0	                 0	          0	
  4632492	  7.263245	      -135	         107	            0	                 0	          0	
  4632542	  7.478696	      -134	         108	            0	                 0	          0	
  4632592	  7.521384	      -133	         106	            0	                 0	          0	
  4632642	  7.358706	      -135	         105	            0	                 0	          0	
  4632692	  7.482551	      -136	         107	            0	                 0	          0	
  4632742	  7.270791	      -136	         107	            0	                 0	          0	
  4632792	  7.069775	      -135	         103	            0	                 0	          0	
  4632842	  7.087075	      -134	         100	            0	                 0	          0	
  4632892	  7.181174	      -135	         102	            0	                 0	          0	
  4632942	  7.288816	      -137	         105	            0	                 0	          0	
  4632992	  7.468597	      -135	         107	            0	                 0	          0	
  4633042	  7.307495	      -134	          99	            0	                 0	          0	
  4633092	  7.138843	      -133	          94	            0	                 0	          0	
  4633142	  7.261441	      -132	         107	            0	                 0	          0	
  4633192	  7.307578	      -133	         110	            0	                 0	          0	
  4633242	  7.244145	      -134	         106	            0	                 0	          0	
  4633292	  7.413685	      -136	         105	            0	                 0	          0	
  4633342	  7.643006	      -136	         111	            0	                 0	          0	
  4633392	  7.450119	      -135	         115	            0	                 0	          0	
  4633442	  7.123452	      -136	         110	            0	                 0	          0	
