Sensor_Positions_2.0
Sensor#	Time	X	Y	Z
1	1176	13.5727	20.7107	12.6129	
1	1193	13.5723	20.7164	12.6118	
1	1210	13.5728	20.7203	12.6033	
1	1226	13.575	20.7161	12.6084	
1	1243	13.5751	20.7178	12.6021	
1	1260	13.5789	20.7216	12.6003	
1	1276	13.5796	20.7245	12.6027	
1	1293	13.5745	20.7241	12.6017	
1	1310	13.5839	20.7303	12.5982	
1	1326	13.5791	20.7293	12.5955	
1	1343	13.5821	20.7278	12.5887	
1	1360	13.5861	20.7343	12.5966	
1	1376	13.581	20.7357	12.59	
1	1393	13.5793	20.7365	12.5797	
1	1410	13.5797	20.7385	12.5739	
1	1426	13.5791	20.7432	12.5743	
1	1443	13.5818	20.7506	12.5692	
1	1460	13.5809	20.7406	12.5698	
1	1476	13.5821	20.7473	12.5595	
1	1493	13.5787	20.7484	12.5555	
1	1510	13.5779	20.7517	12.5543	
1	1526	13.5792	20.7538	12.5498	
1	1543	13.5728	20.7522	12.5405	
1	1560	13.5753	20.7553	12.5406	
1	1576	13.5789	20.7662	12.5334	
1	1593	13.5729	20.761	12.5361	
1	1610	13.5743	20.7641	12.5224	
1	1626	13.5727	20.7621	12.5154	
1	1643	13.5709	20.76	12.5104	
1	1660	13.5742	20.7646	12.5114	
1	1676	13.5706	20.7667	12.5081	
1	1693	13.5656	20.76	12.5013	
1	1710	13.5679	20.7684	12.502	
1	1726	13.5702	20.7736	12.4988	
1	1743	13.5674	20.7687	12.4929	
1	1760	13.5629	20.7672	12.4851	
1	1776	13.5625	20.7702	12.4777	
1	1793	13.5644	20.774	12.487	
1	1810	13.5649	20.7755	12.4893	
1	1826	13.5603	20.7742	12.4798	
1	1843	13.5587	20.7734	12.4735	
1	1860	13.5592	20.768	12.4764	
1	1876	13.559	20.7772	12.4735	
1	1893	13.5554	20.7763	12.4681	
1	1910	13.555	20.7743	12.4756	
1	1926	13.5578	20.7734	12.4778	
1	1943	13.554	20.774	12.4738	
1	1960	13.5572	20.7791	12.4719	
1	1976	13.5555	20.7797	12.4739	
1	1993	13.5551	20.7717	12.4805	
1	2010	13.5536	20.78	12.4766	
1	2026	13.557	20.7759	12.4801	
1	2043	13.5522	20.775	12.4783	
1	2060	13.5546	20.7742	12.4729	
1	2076	13.5533	20.7717	12.4789	
1	2093	13.5526	20.7734	12.4763	
1	2110	13.5528	20.7752	12.4886	
1	2126	13.5583	20.7746	12.4917	
1	2143	13.5528	20.7697	12.4809	
1	2160	13.5511	20.7737	12.4804	
1	2176	13.5535	20.775	12.4796	
1	2193	13.5535	20.7685	12.4834	
1	2210	13.5564	20.7679	12.4894	
1	2226	13.5578	20.7658	12.4899	
1	2243	13.5567	20.7731	12.4883	
1	2260	13.5533	20.7625	12.4968	
1	2276	13.5557	20.7653	12.4869	
1	2293	13.5552	20.7665	12.492	
1	2310	13.5588	20.7626	12.4923	
1	2326	13.5598	20.764	12.4954	
1	2343	13.5584	20.7646	12.4981	
1	2360	13.5569	20.7605	12.4967	
1	2376	13.5572	20.7499	12.4921	
1	2393	13.5586	20.7564	12.496	
1	2410	13.5594	20.7534	12.4951	
1	2426	13.5608	20.7473	12.4979	
1	2443	13.5597	20.7476	12.4962	
1	2460	13.5635	20.7391	12.4998	
1	2476	13.5627	20.7425	12.4977	
1	2493	13.5612	20.7423	12.4968	

