Sensor_Positions_2.0
Sensor#	Time	X	Y	Z
1	-7	13.6161	20.7099	12.5426	
1	10	13.6199	20.6985	12.544	
1	26	13.6171	20.7002	12.5473	
1	43	13.619	20.7047	12.54	
1	60	13.6188	20.6993	12.5469	
1	76	13.6216	20.7055	12.5518	
1	93	13.6214	20.7056	12.5494	
1	110	13.6236	20.7021	12.5497	
1	126	13.6214	20.7069	12.5564	
1	143	13.6233	20.7105	12.553	
1	160	13.6208	20.7079	12.5523	
1	176	13.6226	20.7154	12.5541	
1	193	13.6205	20.7077	12.5619	
1	210	13.6217	20.7059	12.5573	
1	226	13.62	20.7117	12.5673	
1	243	13.6195	20.7112	12.5615	
1	260	13.6188	20.7118	12.5657	
1	276	13.6157	20.7143	12.5625	
1	293	13.614	20.7185	12.5674	
1	310	13.6118	20.7138	12.5682	
1	326	13.6098	20.7184	12.5703	
1	343	13.6097	20.7175	12.5722	
1	360	13.6033	20.7193	12.574	
1	376	13.6047	20.7181	12.575	
1	393	13.6026	20.7186	12.5844	
1	410	13.5977	20.7206	12.5842	
1	426	13.5964	20.7238	12.5803	
1	443	13.5918	20.7276	12.5815	
1	460	13.588	20.7243	12.5858	
1	476	13.588	20.7299	12.5879	
1	493	13.5854	20.7241	12.5899	
1	510	13.5829	20.7247	12.5893	
1	526	13.5789	20.7288	12.588	
1	543	13.5772	20.7231	12.5908	
1	560	13.5748	20.7236	12.5935	
1	576	13.5695	20.7273	12.589	
1	593	13.5684	20.7208	12.5969	
1	610	13.5681	20.7318	12.5954	
1	626	13.5624	20.7241	12.6006	
1	643	13.5617	20.7254	12.5942	
1	660	13.5601	20.7191	12.599	
1	676	13.5555	20.7214	12.5909	
1	693	13.5585	20.7232	12.603	
1	710	13.5536	20.7201	12.5956	
1	726	13.5532	20.7162	12.5933	
1	743	13.5532	20.7241	12.6033	
1	760	13.5501	20.723	12.5994	
1	776	13.5484	20.7129	12.6053	
1	793	13.5465	20.7169	12.599	
1	810	13.5489	20.714	12.5992	
1	826	13.5504	20.7187	12.6055	
1	843	13.5482	20.7114	12.606	
1	860	13.5486	20.7128	12.6044	
1	876	13.5479	20.7082	12.605	
1	893	13.5502	20.7083	12.6071	
1	910	13.5516	20.7089	12.6097	
1	926	13.55	20.7109	12.6065	
1	943	13.5533	20.7056	12.6084	
1	960	13.5543	20.7121	12.6008	
1	976	13.5558	20.7055	12.6061	
1	993	13.5564	20.7096	12.6096	
1	1010	13.557	20.7102	12.6041	
1	1026	13.557	20.7118	12.6128	
1	1043	13.5578	20.7134	12.6072	
1	1060	13.5623	20.7152	12.611	
1	1076	13.562	20.7055	12.6096	
1	1093	13.5647	20.7118	12.6077	
1	1110	13.5674	20.7124	12.6102	
1	1126	13.5669	20.7097	12.6083	
1	1143	13.5678	20.7139	12.612	
1	1160	13.5728	20.7144	12.6129	
