PiuTimeStamp	Irrigation	Power Mode	AblTime1	Power1	Impedance1	DistalTemperature1	ProximalTemperature1	
      4198178	         -1	          0	     600	     8	       114	                33	                   0	
      4198278	         -1	          0	     700	    10	       114	                34	                   0	
      4198378	         -1	          0	     800	    10	       114	                34	                   0	
      4198478	         -1	          0	     900	    10	       113	                35	                   0	
      4198578	         -1	          0	    1000	    10	       114	                35	                   0	
      4198678	         -1	          0	    1100	    10	       113	                36	                   0	
      4198778	         -1	          0	    1200	    11	       114	                36	                   0	
      4198878	         -1	          0	    1300	    12	       113	                37	                   0	
      4198978	         -1	          0	    1400	    12	       113	                37	                   0	
      4199078	         -1	          0	    1500	    11	       113	                38	                   0	
      4199177	         -1	          0	    1600	    12	       113	                38	                   0	
      4199277	         -1	          0	    1700	    12	       113	                39	                   0	
      4199377	         -1	          0	    1800	    12	       113	                39	                   0	
      4199477	         -1	          0	    1900	    12	       113	                39	                   0	
      4199577	         -1	          0	    2000	    13	       113	                40	                   0	
      4199677	         -1	          0	    2100	    13	       113	                40	                   0	
      4199777	         -1	          0	    2200	    13	       113	                40	                   0	
      4199877	         -1	          0	    2300	    13	       112	                41	                   0	
      4199977	         -1	          0	    2400	    13	       113	                41	                   0	
      4200077	         -1	          0	    2500	    13	       112	                41	                   0	
      4200177	         -1	          0	    2600	    14	       112	                42	                   0	
      4200277	         -1	          0	    2700	    13	       112	                42	                   0	
      4200377	         -1	          0	    2800	    13	       112	                42	                   0	
      4200477	         -1	          0	    2900	    14	       112	                43	                   0	
      4200577	         -1	          0	    3000	    15	       112	                43	                   0	
      4200677	         -1	          0	    3100	    14	       112	                43	                   0	
      4200777	         -1	          0	    3200	    14	       112	                43	                   0	
      4200877	         -1	          0	    3300	    14	       112	                44	                   0	
      4200977	         -1	          0	    3400	    15	       112	                44	                   0	
      4201077	         -1	          0	    3500	    15	       112	                44	                   0	
      4201177	         -1	          0	    3600	    16	       112	                44	                   0	
      4201277	         -1	          0	    3700	    16	       112	                44	                   0	
      4201377	         -1	          0	    3800	    16	       112	                45	                   0	
      4201477	         -1	          0	    3900	    16	       112	                45	                   0	
      4201577	         -1	          0	    4000	    16	       112	                45	                   0	
      4201677	         -1	          0	    4100	    17	       112	                45	                   0	
      4201777	         -1	          0	    4200	    16	       112	                45	                   0	
      4201877	         -1	          0	    4300	    17	       112	                45	                   0	
      4201977	         -1	          0	    4400	    17	       112	                46	                   0	
      4202077	         -1	          0	    4500	    17	       112	                46	                   0	
      4202177	         -1	          0	    4600	    17	       111	                46	                   0	
      4202277	         -1	          0	    4700	    18	       111	                46	                   0	
      4202377	         -1	          0	    4800	    17	       111	                46	                   0	
      4202477	         -1	          0	    4900	    18	       112	                46	                   0	
      4202577	         -1	          0	    5000	    18	       111	                47	                   0	
      4202677	         -1	          0	    5100	    18	       112	                47	                   0	
      4202777	         -1	          0	    5200	    18	       111	                47	                   0	
      4202877	         -1	          0	    5300	    18	       111	                47	                   0	
      4202977	         -1	          0	    5400	    18	       111	                47	                   0	
      4203077	         -1	          0	    5500	    19	       111	                47	                   0	
      4203177	         -1	          0	    5600	    18	       111	                48	                   0	
      4203277	         -1	          0	    5700	    19	       112	                48	                   0	
      4203377	         -1	          0	    5800	    19	       111	                48	                   0	
      4203477	         -1	          0	    5900	    19	       112	                48	                   0	
      4203576	         -1	          0	    6000	    19	       112	                48	                   0	
      4203676	         -1	          0	    6100	    19	       111	                48	                   0	
      4203776	         -1	          0	    6200	    19	       112	                48	                   0	
      4203876	         -1	          0	    6300	    20	       111	                48	                   0	
      4203976	         -1	          0	    6400	    20	       111	                49	                   0	
      4204076	         -1	          0	    6500	    20	       112	                48	                   0	
      4204176	         -1	          0	    6600	    20	       111	                49	                   0	
      4204276	         -1	          0	    6700	    20	       111	                49	                   0	
      4204376	         -1	          0	    6800	    20	       111	                49	                   0	
      4204476	         -1	          0	    6900	    20	       111	                49	                   0	
      4204575	         -1	          0	    7000	    21	       111	                49	                   0	
      4204676	         -1	          0	    7100	    21	       111	                49	                   0	
      4204775	         -1	          0	    7200	    21	       111	                49	                   0	
      4204876	         -1	          0	    7300	    21	       111	                49	                   0	
      4204975	         -1	          0	    7400	    21	       111	                49	                   0	
      4205076	         -1	          0	    7500	    21	       111	                50	                   0	
      4205176	         -1	          0	    7600	    21	       111	                50	                   0	
      4205275	         -1	          0	    7700	    21	       111	                50	                   0	
      4205375	         -1	          0	    7800	    22	       111	                50	                   0	
      4205475	         -1	          0	    7900	    22	       111	                50	                   0	
      4205575	         -1	          0	    8000	    21	       111	                50	                   0	
      4205675	         -1	          0	    8100	    22	       110	                50	                   0	
      4205775	         -1	          0	    8200	    22	       110	                50	                   0	
      4205875	         -1	          0	    8300	    22	       110	                50	                   0	
      4205975	         -1	          0	    8400	    22	       111	                50	                   0	
      4206075	         -1	          0	    8500	    22	       110	                50	                   0	
      4206175	         -1	          0	    8600	    22	       110	                50	                   0	
      4206275	         -1	          0	    8700	    23	       110	                51	                   0	
      4206375	         -1	          0	    8800	    23	       111	                51	                   0	
      4206475	         -1	          0	    8900	    23	       110	                51	                   0	
      4206575	         -1	          0	    9000	    23	       110	                51	                   0	
      4206675	         -1	          0	    9100	    22	       110	                51	                   0	
      4206775	         -1	          0	    9200	    23	       110	                51	                   0	
      4206875	         -1	          0	    9300	    23	       110	                51	                   0	
      4206975	         -1	          0	    9400	    22	       111	                51	                   0	
      4207075	         -1	          0	    9500	    23	       110	                51	                   0	
      4207175	         -1	          0	    9600	    23	       110	                51	                   0	
      4207275	         -1	          0	    9700	    23	       110	                51	                   0	
      4207375	         -1	          0	    9800	    24	       110	                51	                   0	
      4207475	         -1	          0	    9900	    23	       110	                51	                   0	
      4207575	         -1	          0	   10000	    24	       110	                52	                   0	
      4207675	         -1	          0	   10100	    24	       110	                52	                   0	
      4207775	         -1	          0	   10200	    23	       110	                51	                   0	
      4207875	         -1	          0	   10300	    24	       110	                52	                   0	
      4207975	         -1	          0	   10400	    24	       110	                52	                   0	
      4208075	         -1	          0	   10500	    24	       110	                52	                   0	
      4208175	         -1	          0	   10600	    24	       110	                52	                   0	
      4208275	         -1	          0	   10700	    24	       110	                52	                   0	
      4208375	         -1	          0	   10800	    24	       110	                52	                   0	
      4208475	         -1	          0	   10900	    24	       110	                52	                   0	
      4208575	         -1	          0	   11000	    25	       110	                52	                   0	
      4208675	         -1	          0	   11100	    24	       110	                52	                   0	
      4208775	         -1	          0	   11200	    24	       110	                52	                   0	
      4208875	         -1	          0	   11300	    24	       110	                52	                   0	
      4208975	         -1	          0	   11400	    24	       110	                52	                   0	
