TimeStamp	ForceValue	AxialAngle	LateralAngle	MetalSeverity	InAccurateSeverity	NeedZeroing	
  4304542	  2.331602	         0	           0	            0	                 0	          0	
  4304592	  1.784418	         0	           0	            0	                 0	          0	
  4304642	  1.805781	         0	           0	            0	                 0	          0	
  4304692	  1.978977	         0	           0	            0	                 0	          0	
  4304742	    1.9163	         0	           0	            0	                 0	          0	
  4304792	  1.761359	         0	           0	            0	                 0	          0	
  4304842	  1.744585	         0	           0	            0	                 0	          0	
  4304892	  1.566522	         0	           0	            0	                 0	          0	
  4304942	  1.734024	         0	           0	            0	                 0	          0	
  4304992	  1.659922	         0	           0	            0	                 0	          0	
  4305042	  1.619755	         0	           0	            0	                 0	          0	
  4305092	  1.841255	         0	           0	            0	                 0	          0	
  4305142	  1.615844	         0	           0	            0	                 0	          0	
  4305192	  1.401879	         0	           0	            0	                 0	          0	
  4305242	  1.394175	         0	           0	            0	                 0	          0	
  4305292	  1.381478	         0	           0	            0	                 0	          0	
  4305342	  1.735798	         0	           0	            0	                 0	          0	
  4305392	    1.6725	         0	           0	            0	                 0	          0	
  4305442	  1.515317	         0	           0	            0	                 0	          0	
  4305492	  1.739025	         0	           0	            0	                 0	          0	
  4305542	  1.885685	         0	           0	            0	                 0	          0	
  4305592	  1.669909	         0	           0	            0	                 0	          0	
  4305642	  1.743878	         0	           0	            0	                 0	          0	
  4305692	  1.789685	         0	           0	            0	                 0	          0	
  4305742	   1.46379	         0	           0	            0	                 0	          0	
  4305792	  1.472783	         0	           0	            0	                 0	          0	
  4305842	  1.857522	         0	           0	            0	                 0	          0	
  4305892	  1.915223	         0	           0	            0	                 0	          0	
  4305942	  2.507547	         0	           0	            0	                 0	          0	
  4305992	   2.84378	         0	           0	            0	                 0	          0	
  4306042	   2.28122	         0	           0	            0	                 0	          0	
  4306092	  1.685965	         0	           0	            0	                 0	          0	
  4306142	  1.432176	         0	           0	            0	                 0	          0	
  4306192	  1.652069	         0	           0	            0	                 0	          0	
  4306242	  1.662037	         0	           0	            0	                 0	          0	
  4306292	   1.58325	         0	           0	            0	                 0	          0	
  4306342	  1.878676	         0	           0	            0	                 0	          0	
  4306392	  1.885678	         0	           0	            0	                 0	          0	
  4306442	  2.287795	         0	           0	            0	                 0	          0	
  4306492	  2.717816	         0	           0	            0	                 0	          0	
  4306542	  2.171896	         0	           0	            0	                 0	          0	
  4306592	  1.659438	         0	           0	            0	                 0	          0	
  4306642	  1.364194	         0	           0	            0	                 0	          0	
  4306692	  1.597223	         0	           0	            0	                 0	          0	
  4306742	  1.672427	         0	           0	            0	                 0	          0	
  4306792	  1.356977	         0	           0	            0	                 0	          0	
  4306842	  1.591077	         0	           0	            0	                 0	          0	
  4306892	  2.021284	         0	           0	            0	                 0	          0	
  4306942	  2.393924	         0	           0	            0	                 0	          0	
  4306992	  2.238673	         0	           0	            0	                 0	          0	
  4307042	  1.753535	         0	           0	            0	                 0	          0	
  4307092	  1.836469	         0	           0	            0	                 0	          0	
  4307142	   2.39262	         0	           0	            0	                 0	          0	
  4307192	  2.150253	         0	           0	            0	                 0	          0	
  4307242	  1.238273	         0	           0	            0	                 0	          0	
  4307292	  1.274764	         0	           0	            0	                 0	          0	
  4307342	  2.500117	         0	           0	            0	                 0	          0	
  4307392	  2.361424	         0	           0	            0	                 0	          0	
  4307442	   1.70815	         0	           0	            0	                 0	          0	
  4307492	  2.042106	         0	           0	            0	                 0	          0	
