Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	4	13.4967	20.0749	12.5415	
1	21	13.4995	20.0795	12.5396	
1	38	13.4959	20.0815	12.5366	
1	54	13.5013	20.0852	12.5373	
1	71	13.4976	20.088	12.5359	
1	88	13.5013	20.0926	12.5397	
1	104	13.501	20.086	12.5435	
1	121	13.4991	20.0933	12.5343	
1	138	13.4939	20.0879	12.5346	
1	154	13.5023	20.0922	12.5384	
1	171	13.5009	20.0935	12.5366	
1	188	13.498	20.0949	12.5272	
1	204	13.5027	20.0974	12.5347	
1	221	13.5043	20.1056	12.5313	
1	238	13.5026	20.1018	12.5322	
1	254	13.5066	20.1063	12.5309	
1	271	13.5094	20.1076	12.5287	
1	288	13.503	20.1113	12.5238	
1	304	13.5071	20.1101	12.524	
1	321	13.5077	20.1149	12.5216	
1	338	13.5097	20.121	12.5226	
1	354	13.5101	20.1236	12.5182	
1	371	13.5141	20.1207	12.5251	
1	388	13.516	20.1259	12.5223	
1	404	13.5157	20.1273	12.5186	
1	421	13.5124	20.1289	12.5196	
1	438	13.5162	20.1309	12.5198	
1	454	13.5145	20.1369	12.5197	
1	471	13.5172	20.1365	12.5145	
1	488	13.5191	20.1336	12.5216	
1	504	13.5181	20.1391	12.515	
1	521	13.5206	20.1382	12.5107	
1	538	13.5209	20.1465	12.5205	
1	554	13.5216	20.1378	12.5125	
1	571	13.5186	20.1355	12.5144	
1	588	13.5202	20.1389	12.508	
1	604	13.5232	20.137	12.5169	
1	621	13.5222	20.1379	12.514	
1	638	13.5246	20.1406	12.5203	
1	654	13.5248	20.1416	12.5159	
1	671	13.5209	20.1335	12.5135	
1	688	13.5251	20.1336	12.5163	
1	704	13.5255	20.136	12.5252	
1	721	13.5228	20.138	12.5217	
1	738	13.5252	20.1405	12.5216	
1	754	13.5252	20.137	12.5253	
1	771	13.5264	20.1279	12.5303	
1	788	13.5237	20.1342	12.5332	
1	804	13.5253	20.1355	12.5341	
1	821	13.5238	20.1262	12.5417	
1	838	13.5282	20.1237	12.5388	
1	854	13.5253	20.1262	12.5425	
1	871	13.5263	20.1257	12.5469	
1	888	13.5278	20.1242	12.561	
1	904	13.5274	20.1225	12.5586	
1	921	13.5254	20.1176	12.5545	
1	938	13.5291	20.1211	12.5649	
1	954	13.529	20.1161	12.5722	
1	971	13.5277	20.1172	12.5712	
1	988	13.5303	20.1223	12.5774	
1	1004	13.525	20.114	12.5717	
1	1021	13.53	20.1151	12.5885	
1	1038	13.5278	20.1135	12.5904	
1	1054	13.5297	20.1131	12.5896	
1	1071	13.5287	20.1026	12.5946	
1	1088	13.5296	20.1069	12.5933	
1	1104	13.5267	20.1013	12.5961	
1	1121	13.5343	20.1055	12.6052	
1	1138	13.5296	20.1038	12.6098	
1	1154	13.5314	20.1082	12.6077	
1	1171	13.5327	20.1019	12.611	
1	1188	13.5338	20.1042	12.6184	
1	1204	13.5341	20.0995	12.615	
1	1221	13.5323	20.0993	12.6113	
1	1238	13.5379	20.099	12.6185	
1	1254	13.5322	20.0976	12.6174	
1	1271	13.5352	20.0921	12.6228	
1	1288	13.5366	20.0982	12.6227	
1	1304	13.5388	20.0944	12.6268	
1	1321	13.5336	20.096	12.6185	
1	1338	13.5358	20.0912	12.6174	
1	1354	13.5352	20.0899	12.6133	
1	1371	13.5365	20.0899	12.6163	
1	1388	13.5356	20.0839	12.6218	
1	1404	13.5375	20.0865	12.6158	
1	1421	13.5368	20.089	12.6176	
1	1438	13.5367	20.0843	12.6145	
1	1454	13.5392	20.0824	12.6201	
1	1471	13.5384	20.0794	12.6158	
1	1488	13.5367	20.0828	12.6063	
1	1504	13.5395	20.084	12.6139	
1	1521	13.5376	20.0827	12.6094	
1	1538	13.5383	20.0808	12.613	
1	1554	13.5349	20.0785	12.6078	
1	1571	13.5385	20.0778	12.6171	
1	1588	13.5383	20.0831	12.6199	
1	1604	13.5377	20.0806	12.6188	
1	1621	13.54	20.0777	12.6161	
1	1638	13.536	20.0775	12.6148	
1	1654	13.5337	20.0778	12.6091	
1	1671	13.5357	20.0717	12.6155	
1	1688	13.5371	20.0776	12.6225	
1	1704	13.5358	20.078	12.6116	
1	1721	13.5361	20.0769	12.614	
1	1738	13.5351	20.0726	12.6227	
1	1754	13.5341	20.074	12.6154	
1	1771	13.5339	20.078	12.6163	
1	1788	13.5353	20.0806	12.6232	
1	1804	13.5358	20.0737	12.6256	
1	1821	13.5333	20.0805	12.6212	
1	1838	13.5307	20.0802	12.6287	
1	1854	13.5315	20.0784	12.628	
1	1871	13.5332	20.0856	12.6305	
1	1888	13.5286	20.0801	12.6234	
1	1904	13.5278	20.0874	12.6266	
